Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
LDL-size,178,1.072 [0.985-1.167],1.000,,Average Diameter for LDL Particles
XXL-VLDL-FC%,173,1.049 [0.986-1.115],1.000,,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-HDL-CE%,562,1.019 [0.982-1.057],1.000,,Cholesteryl Esters to Total-Lipids in Large HDL percentage
S-VLDL-CE%,509,1.011 [0.975-1.049],1.000,,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
LDL-FC,411,1.005 [0.971-1.039],1.000,,Free Cholesterol in LDL
LDL-CE,506,0.988 [0.954-1.024],1.000,,Cholesteryl Esters in LDL
XS-VLDL-PL,635,0.974 [0.950-0.999],1.000,,Phospholipids in Very Small VLDL
XL-VLDL-L,578,0.941 [0.909-0.975],1.000,,Total-Lipids in Very Large VLDL
XL-VLDL-FC,610,0.929 [0.898-0.962],1.000,,Free Cholesterol in Very Large VLDL
S-LDL-CE%,545,0.914 [0.882-0.948],0.211,,Cholesteryl Esters to Total-Lipids in Small LDL percentage
