Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-HDL-PL%,367,1.014 [1.001-1.027],1.000,,Phospholipids to Total-Lipids in Small HDL percentage
HDL-size,600,1.012 [1.002-1.022],1.000,,Average Diameter for HDL Particles
S-LDL-TG%,594,1.009 [0.996-1.022],1.000,,Triglycerides to Total-Lipids in Small LDL percentage
M-VLDL-TG%,609,1.007 [0.991-1.024],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
S-HDL-C,410,1.004 [0.988-1.020],1.000,,Cholesterol in Small HDL
Pyruvate,37,0.993 [0.946-1.041],1.000,,Pyruvate
M-VLDL-P,612,0.986 [0.974-0.997],1.000,,Concentration of Medium VLDL Particles
S-VLDL-CE,626,0.985 [0.975-0.996],1.000,,Cholesteryl Esters in Small VLDL
LDL-C,476,0.973 [0.960-0.986],1.000,,LDL Cholesterol
L-VLDL-FC%,331,0.969 [0.958-0.979],0.005,**,Free Cholesterol to Total-Lipids in Large VLDL percentage
