Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-HDL-PL,489,1.128 [0.967-1.317],1.000,,Phospholipids in Small HDL
Total-PL,628,1.094 [0.969-1.235],1.000,,Total-Phospholipids in Lipoprotein Particles
Omega-6/Omega-3,257,1.090 [1.020-1.165],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
L-LDL-CE,502,1.064 [0.930-1.217],1.000,,Cholesteryl Esters in Large LDL
ApoB,565,1.007 [0.889-1.140],1.000,,Apolipoprotein B
HDL-TG,593,0.994 [0.903-1.095],1.000,,Triglycerides in HDL
XS-VLDL-PL,635,0.984 [0.897-1.080],1.000,,Phospholipids in Very Small VLDL
S-VLDL-C,618,0.964 [0.859-1.081],1.000,,Cholesterol in Small VLDL
S-VLDL-PL,664,0.952 [0.848-1.068],1.000,,Phospholipids in Small VLDL
S-HDL-C%,436,0.911 [0.833-0.996],1.000,,Cholesterol to Total-Lipids in Small HDL percentage
