Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-VLDL-FC%,0.95 [0.94-0.96],4.014e-13,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
XS-VLDL-L,0.95 [0.94-0.96],2.665e-14,***,Total-Lipids in Very Small VLDL
IDL-FC%,0.95 [0.94-0.96],1.491e-14,***,Free Cholesterol to Total-Lipids in IDL percentage
XL-HDL-CE%,0.95 [0.94-0.96],4.158e-14,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
XS-VLDL-P,0.95 [0.94-0.96],2.346e-15,***,Concentration of Very Small VLDL Particles
S-VLDL-CE%,0.95 [0.94-0.96],7.249e-16,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
S-LDL-P,0.95 [0.94-0.96],4.670e-16,***,Concentration of Small LDL Particles
S-HDL-CE,0.95 [0.94-0.96],3.041e-16,***,Cholesteryl Esters in Small HDL
XS-VLDL-FC,0.95 [0.94-0.96],9.586e-17,***,Free Cholesterol in Very Small VLDL
Unsaturation,0.95 [0.94-0.96],9.158e-15,***,Degree of Unsaturation
S-LDL-PL,0.95 [0.94-0.96],1.458e-17,***,Phospholipids in Small LDL
S-HDL-P,0.95 [0.94-0.96],1.593e-17,***,Concentration of Small HDL Particles
L-LDL-P,0.94 [0.93-0.96],7.077e-19,***,Concentration of Large LDL Particles
L-VLDL-CE%,0.94 [0.93-0.96],4.492e-17,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
L-HDL-CE%,0.94 [0.93-0.96],5.538e-16,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
S-HDL-C,0.94 [0.93-0.95],1.445e-19,***,Cholesterol in Small HDL
S-LDL-L,0.94 [0.93-0.95],4.275e-20,***,Total-Lipids in Small LDL
S-LDL-CE,0.94 [0.93-0.95],2.553e-20,***,Cholesteryl Esters in Small LDL
M-LDL-PL,0.94 [0.93-0.95],1.121e-20,***,Phospholipids in Medium LDL
LDL-P,0.94 [0.93-0.95],1.296e-20,***,Concentration of LDL Particles
XL-VLDL-CE%,0.94 [0.93-0.95],2.881e-18,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
M-LDL-CE,0.94 [0.93-0.95],1.327e-20,***,Cholesteryl Esters in Medium LDL
XL-VLDL-C%,0.94 [0.93-0.95],2.823e-18,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
DHA,0.94 [0.93-0.95],3.400e-19,***,Docosahexaenoic Acid
L-HDL-FC%,0.94 [0.93-0.95],1.203e-18,***,Free Cholesterol to Total-Lipids in Large HDL percentage
