Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Creatinine,0.1543,0.2299,Creatinine
XL-HDL-FC%,0.0972,0.2127,Free Cholesterol to Total-Lipids in Very Large HDL percentage
GlycA,0.1405,0.0926,Glycoprotein Acetyls
Albumin,0.1147,0.0845,Albumin
Leu,0.0880,0.0765,Leucine
Gly,0.0827,0.0566,Glycine
IDL-TG,0.0547,0.0485,Triglycerides in IDL
L-HDL-TG,0.0338,0.0274,Triglycerides in Large HDL
Omega-3,0.0287,0.0209,Omega-3 Fatty Acids
Citrate,0.0308,0.0190,Citrate
XL-HDL-C%,0.0172,0.0166,Cholesterol to Total-Lipids in Very Large HDL percentage
L-HDL-PL,0.0222,0.0166,Phospholipids in Large HDL
HDL-FC,0.0197,0.0136,Free Cholesterol in HDL
Tyr,0.0190,0.0127,Tyrosine
HDL-PL,0.0075,0.0116,Phospholipids in HDL
Val,0.0152,0.0098,Valine
Total-BCAA,0.0145,0.0082,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
HDL-L,0.0055,0.0075,Total-Lipids in HDL
XS-VLDL-TG,0.0070,0.0053,Triglycerides in Very Small VLDL
M-HDL-P,0.0037,0.0042,Concentration of Medium HDL Particles
Acetoacetate,0.0075,0.0040,Acetoacetate
S-HDL-FC%,0.0050,0.0031,Free Cholesterol to Total-Lipids in Small HDL percentage
Phosphoglyc,0.0027,0.0023,Phosphoglycerides
3-Hydroxybutyrate,0.0045,0.0021,3-Hydroxybutyrate
Omega-6%,0.0027,0.0018,Omega-6 Fatty Acids to Total-Fatty Acids percentage
IDL-CE%,0.0032,0.0018,Cholesteryl Esters to Total-Lipids in IDL percentage
LA%,0.0023,0.0017,Linoleic Acid to Total-Fatty Acids percentage
XL-HDL-CE,0.0017,0.0010,Cholesteryl Esters in Very Large HDL
S-HDL-CE%,0.0012,0.0009,Cholesteryl Esters to Total-Lipids in Small HDL percentage
L-LDL-CE%,0.0013,0.0007,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Glu,0.0015,0.0007,Glucose
Pyruvate,0.0010,0.0005,Pyruvate
IDL-FC%,0.0010,0.0005,Free Cholesterol to Total-Lipids in IDL percentage
XXL-VLDL-FC%,0.0008,0.0005,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Lactate,0.0008,0.0004,Lactate
IDL-PL%,0.0007,0.0004,Phospholipids to Total-Lipids in IDL percentage
Glu-lactate,0.0007,0.0004,Glucose-lactate
L-LDL-TG,0.0005,0.0003,Triglycerides in Large LDL
Omega-6/Omega-3,0.0005,0.0003,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Acetone,0.0007,0.0003,Acetone
Acetate,0.0005,0.0003,Acetate
L-HDL-P,0.0005,0.0003,Concentration of Large HDL Particles
HDL-size,0.0005,0.0003,Average Diameter for HDL Particles
His,0.0005,0.0002,Histidine
S-HDL-PL%,0.0003,0.0002,Phospholipids to Total-Lipids in Small HDL percentage
Ile,0.0002,0.0001,Isoleucine
Phe,0.0002,9.3271e-05,Phenylalanine
Gln,0.0002,8.5280e-05,Glutamine
VLDL-size,0.0002,7.2475e-05,Average Diameter for VLDL Particles
Ala,0.0002,6.4686e-05,Alanine
