Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Creatinine,0.1778,0.2051,Creatinine
Gly,0.0790,0.0616,Glycine
GlycA,0.0598,0.0521,Glycoprotein Acetyls
Tyr,0.0493,0.0495,Tyrosine
TG/PG,0.0545,0.0449,Triglycerides to Phosphoglycerides ratio
LDL-size,0.0470,0.0439,Average Diameter for LDL Particles
VLDL-size,0.0283,0.0419,Average Diameter for VLDL Particles
Gln,0.0357,0.0372,Glutamine
Citrate,0.0460,0.0361,Citrate
Albumin,0.0412,0.0343,Albumin
Lactate,0.0210,0.0328,Lactate
Leu,0.0505,0.0278,Leucine
SFA%,0.0105,0.0263,Saturated Fatty Acids to Total-Fatty Acids percentage
Acetone,0.0133,0.0208,Acetone
3-Hydroxybutyrate,0.0132,0.0171,3-Hydroxybutyrate
Ala,0.0230,0.0131,Alanine
M-LDL-C%,0.0100,0.0128,Cholesterol to Total-Lipids in Medium LDL percentage
Val,0.0088,0.0127,Valine
Pyruvate,0.0163,0.0120,Pyruvate
M-LDL-PL%,0.0130,0.0118,Phospholipids to Total-Lipids in Medium LDL percentage
Acetate,0.0137,0.0113,Acetate
L-HDL-C%,0.0103,0.0107,Cholesterol to Total-Lipids in Large HDL percentage
Omega-6/Omega-3,0.0093,0.0103,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
XS-VLDL-PL%,0.0083,0.0102,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-HDL-C%,0.0070,0.0098,Cholesterol to Total-Lipids in Medium HDL percentage
Acetoacetate,0.0095,0.0096,Acetoacetate
His,0.0083,0.0081,Histidine
M-HDL-CE%,0.0053,0.0081,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
XL-VLDL-PL%,0.0088,0.0080,Phospholipids to Total-Lipids in Very Large VLDL percentage
S-HDL-FC,0.0027,0.0077,Free Cholesterol in Small HDL
Omega-6%,0.0062,0.0076,Omega-6 Fatty Acids to Total-Fatty Acids percentage
Phe,0.0047,0.0073,Phenylalanine
XXL-VLDL-CE%,0.0053,0.0062,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
IDL-PL%,0.0068,0.0062,Phospholipids to Total-Lipids in IDL percentage
IDL-CE%,0.0042,0.0057,Cholesteryl Esters to Total-Lipids in IDL percentage
Ile,0.0103,0.0052,Isoleucine
XS-VLDL-FC%,0.0057,0.0050,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
XXL-VLDL-FC%,0.0062,0.0040,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-HDL-C%,0.0023,0.0038,Cholesterol to Total-Lipids in Very Large HDL percentage
Omega-3%,0.0067,0.0036,Omega-3 Fatty Acids to Total-Fatty Acids percentage
ApoB/ApoA1,0.0037,0.0035,Apolipoprotein B to Apolipoprotein A1 ratio
IDL-FC%,0.0020,0.0034,Free Cholesterol to Total-Lipids in IDL percentage
L-VLDL-FC%,0.0035,0.0034,Free Cholesterol to Total-Lipids in Large VLDL percentage
M-LDL-TG,0.0035,0.0033,Triglycerides in Medium LDL
M-LDL-TG%,0.0035,0.0033,Triglycerides to Total-Lipids in Medium LDL percentage
L-VLDL-TG%,0.0018,0.0032,Triglycerides to Total-Lipids in Large VLDL percentage
L-LDL-PL%,0.0037,0.0031,Phospholipids to Total-Lipids in Large LDL percentage
M-LDL-CE%,0.0018,0.0031,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
Glu-lactate,0.0013,0.0030,Glucose-lactate
L-HDL-TG,0.0030,0.0027,Triglycerides in Large HDL
M-VLDL-TG,0.0032,0.0025,Triglycerides in Medium VLDL
L-LDL-TG%,0.0018,0.0022,Triglycerides to Total-Lipids in Large LDL percentage
XL-HDL-PL,0.0075,0.0020,Phospholipids in Very Large HDL
XL-HDL-FC,0.0078,0.0020,Free Cholesterol in Very Large HDL
L-HDL-PL%,0.0015,0.0019,Phospholipids to Total-Lipids in Large HDL percentage
IDL-FC,0.0005,0.0017,Free Cholesterol in IDL
XL-HDL-CE%,0.0018,0.0016,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
L-LDL-CE%,0.0007,0.0014,Cholesteryl Esters to Total-Lipids in Large LDL percentage
XXL-VLDL-C%,0.0007,0.0013,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
LA%,0.0005,0.0013,Linoleic Acid to Total-Fatty Acids percentage
XXL-VLDL-PL%,0.0010,0.0012,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Glu,0.0008,0.0011,Glucose
XXL-VLDL-CE,0.0003,0.0007,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
S-LDL-FC%,0.0007,0.0007,Free Cholesterol to Total-Lipids in Small LDL percentage
XXL-VLDL-TG%,0.0007,0.0007,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-VLDL-CE%,0.0003,0.0006,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
PUFA%,0.0003,0.0006,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
PUFA/MUFA,0.0003,0.0005,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
Sc-ala,0.0008,0.0004,Spectrometer-corrected alanine
XS-VLDL-CE,0.0002,0.0004,Cholesteryl Esters in Very Small VLDL
IDL-C%,0.0003,0.0003,Cholesterol to Total-Lipids in IDL percentage
Total-BCAA,0.0003,0.0003,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
