Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Glu-lactate,0.0822,0.1637,Glucose-lactate
Glu,0.1149,0.1508,Glucose
L-HDL-TG,0.0727,0.0525,Triglycerides in Large HDL
Acetone,0.0473,0.0457,Acetone
IDL-CE%,0.0543,0.0402,Cholesteryl Esters to Total-Lipids in IDL percentage
XL-HDL-CE,0.0428,0.0393,Cholesteryl Esters in Very Large HDL
Sc-ala,0.0617,0.0363,Spectrometer-corrected alanine
XS-VLDL-PL%,0.0290,0.0338,Phospholipids to Total-Lipids in Very Small VLDL percentage
Creatinine,0.0290,0.0328,Creatinine
Tyr,0.0145,0.0255,Tyrosine
Omega-3,0.0185,0.0236,Omega-3 Fatty Acids
IDL-PL%,0.0163,0.0223,Phospholipids to Total-Lipids in IDL percentage
Acetoacetate,0.0137,0.0218,Acetoacetate
XS-VLDL-CE%,0.0305,0.0206,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
His,0.0282,0.0157,Histidine
Unsaturation,0.0150,0.0153,Degree of Unsaturation
Gly,0.0237,0.0152,Glycine
Albumin,0.0172,0.0151,Albumin
DHA,0.0130,0.0145,Docosahexaenoic Acid
IDL-TG%,0.0203,0.0141,Triglycerides to Total-Lipids in IDL percentage
Gln,0.0202,0.0136,Glutamine
M-LDL-C%,0.0125,0.0116,Cholesterol to Total-Lipids in Medium LDL percentage
GlycA,0.0165,0.0111,Glycoprotein Acetyls
L-LDL-PL%,0.0130,0.0091,Phospholipids to Total-Lipids in Large LDL percentage
Ala,0.0152,0.0086,Alanine
Omega-3%,0.0065,0.0083,Omega-3 Fatty Acids to Total-Fatty Acids percentage
XL-HDL-C,0.0098,0.0079,Cholesterol in Very Large HDL
Acetate,0.0093,0.0078,Acetate
XL-HDL-FC%,0.0108,0.0074,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Lactate,0.0098,0.0063,Lactate
Ile,0.0103,0.0062,Isoleucine
XS-VLDL-TG%,0.0072,0.0061,Triglycerides to Total-Lipids in Very Small VLDL percentage
Phe,0.0083,0.0060,Phenylalanine
XS-VLDL-C%,0.0080,0.0057,Cholesterol to Total-Lipids in Very Small VLDL percentage
DHA%,0.0035,0.0054,Docosahexaenoic Acid to Total-Fatty Acids percentage
3-Hydroxybutyrate,0.0043,0.0053,3-Hydroxybutyrate
ApoB/ApoA1,0.0012,0.0046,Apolipoprotein B to Apolipoprotein A1 ratio
Val,0.0057,0.0043,Valine
M-LDL-TG%,0.0052,0.0041,Triglycerides to Total-Lipids in Medium LDL percentage
M-HDL-TG%,0.0020,0.0039,Triglycerides to Total-Lipids in Medium HDL percentage
IDL-PL,0.0052,0.0039,Phospholipids in IDL
S-VLDL-FC%,0.0053,0.0036,Free Cholesterol to Total-Lipids in Small VLDL percentage
LA%,0.0052,0.0035,Linoleic Acid to Total-Fatty Acids percentage
XXL-VLDL-PL%,0.0023,0.0032,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Leu,0.0038,0.0030,Leucine
M-LDL-PL%,0.0040,0.0028,Phospholipids to Total-Lipids in Medium LDL percentage
HDL-FC,0.0025,0.0027,Free Cholesterol in HDL
L-HDL-CE,0.0050,0.0026,Cholesteryl Esters in Large HDL
S-LDL-C%,0.0035,0.0024,Cholesterol to Total-Lipids in Small LDL percentage
Omega-6/Omega-3,0.0018,0.0022,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
LDL-size,0.0022,0.0020,Average Diameter for LDL Particles
XL-HDL-C%,0.0008,0.0020,Cholesterol to Total-Lipids in Very Large HDL percentage
Citrate,0.0013,0.0019,Citrate
XL-VLDL-PL%,0.0013,0.0019,Phospholipids to Total-Lipids in Very Large VLDL percentage
S-HDL-CE,0.0035,0.0019,Cholesteryl Esters in Small HDL
Total-L,0.0042,0.0019,Total-Lipids in Lipoprotein Particles
PUFA,0.0023,0.0015,Polyunsaturated Fatty Acids
L-LDL-C%,0.0018,0.0015,Cholesterol to Total-Lipids in Large LDL percentage
XL-VLDL-C,0.0025,0.0014,Cholesterol in Very Large VLDL
S-LDL-CE%,0.0017,0.0014,Cholesteryl Esters to Total-Lipids in Small LDL percentage
S-HDL-FC%,0.0018,0.0012,Free Cholesterol to Total-Lipids in Small HDL percentage
IDL-FC%,0.0003,0.0011,Free Cholesterol to Total-Lipids in IDL percentage
Total-BCAA,0.0015,0.0009,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
XXL-VLDL-TG,0.0010,0.0009,Triglycerides in Chylomicrons and Extremely Large VLDL
M-HDL-C%,0.0012,0.0008,Cholesterol to Total-Lipids in Medium HDL percentage
M-LDL-FC%,0.0002,0.0008,Free Cholesterol to Total-Lipids in Medium LDL percentage
L-VLDL-FC%,0.0005,0.0007,Free Cholesterol to Total-Lipids in Large VLDL percentage
L-HDL-CE%,0.0017,0.0006,Cholesteryl Esters to Total-Lipids in Large HDL percentage
M-HDL-C,0.0008,0.0006,Cholesterol in Medium HDL
L-HDL-FC,0.0015,0.0005,Free Cholesterol in Large HDL
S-LDL-C,0.0012,0.0005,Cholesterol in Small LDL
Pyruvate,0.0005,0.0004,Pyruvate
PUFA%,0.0005,0.0004,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
M-VLDL-CE,0.0008,0.0004,Cholesteryl Esters in Medium VLDL
XXL-VLDL-FC%,0.0015,0.0003,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-VLDL-TG%,0.0002,0.0002,Triglycerides to Total-Lipids in Large VLDL percentage
L-VLDL-PL%,0.0003,0.0002,Phospholipids to Total-Lipids in Large VLDL percentage
