Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Creatinine,0.2818,0.1687,Creatinine
HDL-FC,0.0578,0.1614,Free Cholesterol in HDL
XS-VLDL-CE%,0.0673,0.1279,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
Omega-6,0.0485,0.0667,Omega-6 Fatty Acids
M-VLDL-CE,0.0357,0.0512,Cholesteryl Esters in Medium VLDL
HDL-CE,0.0238,0.0498,Cholesteryl Esters in HDL
HDL-C,0.0205,0.0477,HDL Cholesterol
L-LDL-TG%,0.0628,0.0382,Triglycerides to Total-Lipids in Large LDL percentage
PUFA,0.0320,0.0331,Polyunsaturated Fatty Acids
L-HDL-P,0.0205,0.0327,Concentration of Large HDL Particles
S-LDL-C%,0.0363,0.0309,Cholesterol to Total-Lipids in Small LDL percentage
LA,0.0392,0.0207,Linoleic Acid
M-VLDL-C,0.0123,0.0198,Cholesterol in Medium VLDL
IDL-TG%,0.0162,0.0187,Triglycerides to Total-Lipids in IDL percentage
3-Hydroxybutyrate,0.0368,0.0162,3-Hydroxybutyrate
L-HDL-FC,0.0080,0.0152,Free Cholesterol in Large HDL
Gly,0.0383,0.0151,Glycine
S-LDL-CE%,0.0173,0.0128,Cholesteryl Esters to Total-Lipids in Small LDL percentage
Albumin,0.0265,0.0115,Albumin
Pyruvate,0.0287,0.0108,Pyruvate
M-HDL-PL,0.0123,0.0094,Phospholipids in Medium HDL
XL-HDL-L,0.0063,0.0070,Total-Lipids in Very Large HDL
Acetone,0.0078,0.0046,Acetone
IDL-FC%,0.0108,0.0039,Free Cholesterol to Total-Lipids in IDL percentage
Total-C,0.0047,0.0037,Total-Cholesterol
IDL-CE%,0.0098,0.0035,Cholesteryl Esters to Total-Lipids in IDL percentage
IDL-CE,0.0032,0.0024,Cholesteryl Esters in IDL
XL-HDL-C,0.0027,0.0024,Cholesterol in Very Large HDL
Glu,0.0037,0.0023,Glucose
Glu-lactate,0.0058,0.0022,Glucose-lactate
HDL-L,0.0017,0.0021,Total-Lipids in HDL
Acetoacetate,0.0050,0.0017,Acetoacetate
LDL-size,0.0053,0.0014,Average Diameter for LDL Particles
LA%,0.0028,0.0012,Linoleic Acid to Total-Fatty Acids percentage
His,0.0015,0.0006,Histidine
Gln,0.0022,0.0006,Glutamine
S-LDL-PL%,0.0005,0.0005,Phospholipids to Total-Lipids in Small LDL percentage
DHA%,0.0010,0.0003,Docosahexaenoic Acid to Total-Fatty Acids percentage
XL-HDL-PL%,0.0005,0.0002,Phospholipids to Total-Lipids in Very Large HDL percentage
XL-HDL-C%,0.0005,0.0001,Cholesterol to Total-Lipids in Very Large HDL percentage
S-HDL-PL%,0.0003,0.0001,Phospholipids to Total-Lipids in Small HDL percentage
Lactate,0.0005,9.2643e-05,Lactate
Citrate,0.0002,5.6471e-05,Citrate
SFA%,0.0002,5.3241e-05,Saturated Fatty Acids to Total-Fatty Acids percentage
XL-HDL-FC,0.0002,4.6189e-05,Free Cholesterol in Very Large HDL
