Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Glu-lactate,0.2303,0.3104,Glucose-lactate
IDL-CE,0.0983,0.1783,Cholesteryl Esters in IDL
XS-VLDL-CE%,0.1257,0.1566,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
Glu,0.0848,0.1105,Glucose
Sc-ala,0.0613,0.0337,Spectrometer-corrected alanine
S-LDL-CE%,0.0752,0.0320,Cholesteryl Esters to Total-Lipids in Small LDL percentage
L-LDL-C%,0.0442,0.0312,Cholesterol to Total-Lipids in Large LDL percentage
Total-CE,0.0202,0.0290,Total-Esterified Cholesterol
3-Hydroxybutyrate,0.0560,0.0245,3-Hydroxybutyrate
LA,0.0373,0.0207,Linoleic Acid
Cholines,0.0167,0.0135,Total-Cholines
IDL-CE%,0.0203,0.0091,Cholesteryl Esters to Total-Lipids in IDL percentage
IDL-C,0.0063,0.0090,Cholesterol in IDL
Tyr,0.0193,0.0071,Tyrosine
Total-C,0.0040,0.0051,Total-Cholesterol
IDL-TG%,0.0115,0.0037,Triglycerides to Total-Lipids in IDL percentage
Gln,0.0157,0.0031,Glutamine
XS-VLDL-PL%,0.0055,0.0030,Phospholipids to Total-Lipids in Very Small VLDL percentage
Albumin,0.0122,0.0026,Albumin
XL-HDL-P,0.0087,0.0025,Concentration of Very Large HDL Particles
L-HDL-PL%,0.0098,0.0024,Phospholipids to Total-Lipids in Large HDL percentage
Total-PL,0.0017,0.0021,Total-Phospholipids in Lipoprotein Particles
XS-VLDL-CE,0.0055,0.0017,Cholesteryl Esters in Very Small VLDL
Gly,0.0027,0.0016,Glycine
XS-VLDL-TG%,0.0038,0.0012,Triglycerides to Total-Lipids in Very Small VLDL percentage
XXL-VLDL-PL%,0.0052,0.0009,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Creatinine,0.0037,0.0008,Creatinine
Val,0.0030,0.0006,Valine
XS-VLDL-C%,0.0022,0.0006,Cholesterol to Total-Lipids in Very Small VLDL percentage
Ala,0.0003,0.0005,Alanine
L-LDL-TG%,0.0027,0.0005,Triglycerides to Total-Lipids in Large LDL percentage
Citrate,0.0018,0.0004,Citrate
His,0.0022,0.0004,Histidine
Omega-6/Omega-3,0.0002,0.0002,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
IDL-FC%,0.0007,0.0001,Free Cholesterol to Total-Lipids in IDL percentage
GlycA,0.0003,0.0001,Glycoprotein Acetyls
Pyruvate,0.0005,0.0001,Pyruvate
Unsaturation,0.0003,4.2176e-05,Degree of Unsaturation
