Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
L-LDL-TG%,0.0905,0.2296,Triglycerides to Total-Lipids in Large LDL percentage
GlycA,0.2238,0.2219,Glycoprotein Acetyls
Albumin,0.1642,0.1638,Albumin
Creatinine,0.0912,0.0711,Creatinine
LA%,0.0438,0.0429,Linoleic Acid to Total-Fatty Acids percentage
IDL-C%,0.0338,0.0404,Cholesterol to Total-Lipids in IDL percentage
Leu,0.0530,0.0392,Leucine
S-LDL-CE,0.0403,0.0333,Cholesteryl Esters in Small LDL
Total-BCAA,0.0282,0.0234,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Gly,0.0352,0.0203,Glycine
Glu,0.0337,0.0170,Glucose
S-LDL-CE%,0.0253,0.0159,Cholesteryl Esters to Total-Lipids in Small LDL percentage
IDL-CE%,0.0165,0.0134,Cholesteryl Esters to Total-Lipids in IDL percentage
XXL-VLDL-CE,0.0207,0.0124,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
IDL-TG%,0.0127,0.0085,Triglycerides to Total-Lipids in IDL percentage
Citrate,0.0133,0.0064,Citrate
Glu-lactate,0.0105,0.0056,Glucose-lactate
Val,0.0088,0.0054,Valine
LA,0.0078,0.0051,Linoleic Acid
S-LDL-C%,0.0103,0.0049,Cholesterol to Total-Lipids in Small LDL percentage
VLDL-size,0.0092,0.0044,Average Diameter for VLDL Particles
Non-HDL-C,0.0042,0.0043,Total-Cholesterol Minus HDL-C
XXL-VLDL-C,0.0040,0.0022,Cholesterol in Chylomicrons and Extremely Large VLDL
S-LDL-PL%,0.0032,0.0017,Phospholipids to Total-Lipids in Small LDL percentage
M-LDL-CE%,0.0020,0.0011,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
His,0.0025,0.0011,Histidine
L-HDL-PL%,0.0025,0.0009,Phospholipids to Total-Lipids in Large HDL percentage
ApoB/ApoA1,0.0013,0.0008,Apolipoprotein B to Apolipoprotein A1 ratio
L-LDL-C%,0.0017,0.0007,Cholesterol to Total-Lipids in Large LDL percentage
Tyr,0.0020,0.0006,Tyrosine
XS-VLDL-FC%,0.0010,0.0005,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
Acetoacetate,0.0010,0.0004,Acetoacetate
XXL-VLDL-TG,0.0007,0.0003,Triglycerides in Chylomicrons and Extremely Large VLDL
L-HDL-CE%,0.0007,0.0002,Cholesteryl Esters to Total-Lipids in Large HDL percentage
XL-HDL-FC,0.0003,0.0001,Free Cholesterol in Very Large HDL
Lactate,0.0002,7.3330e-05,Lactate
