Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
SFA%,0.0862,0.0898,Saturated Fatty Acids to Total-Fatty Acids percentage
PUFA%,0.0583,0.0687,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
Lactate,0.0822,0.0614,Lactate
Creatinine,0.0543,0.0597,Creatinine
Pyruvate,0.0537,0.0433,Pyruvate
Acetone,0.0675,0.0401,Acetone
L-LDL-PL%,0.0277,0.0347,Phospholipids to Total-Lipids in Large LDL percentage
Glu-lactate,0.0535,0.0323,Glucose-lactate
LDL-size,0.0308,0.0314,Average Diameter for LDL Particles
Ala,0.0310,0.0290,Alanine
Gly,0.0193,0.0276,Glycine
GlycA,0.0272,0.0273,Glycoprotein Acetyls
XXL-VLDL-C%,0.0162,0.0260,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XXL-VLDL-PL%,0.0232,0.0252,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Unsaturation,0.0237,0.0220,Degree of Unsaturation
Sc-ala,0.0107,0.0214,Spectrometer-corrected alanine
Gln,0.0173,0.0206,Glutamine
Albumin,0.0125,0.0185,Albumin
S-HDL-PL%,0.0132,0.0175,Phospholipids to Total-Lipids in Small HDL percentage
IDL-FC%,0.0150,0.0174,Free Cholesterol to Total-Lipids in IDL percentage
VLDL-size,0.0232,0.0160,Average Diameter for VLDL Particles
Total-L,0.0200,0.0155,Total-Lipids in Lipoprotein Particles
3-Hydroxybutyrate,0.0147,0.0154,3-Hydroxybutyrate
L-LDL-CE%,0.0160,0.0149,Cholesteryl Esters to Total-Lipids in Large LDL percentage
MUFA%,0.0135,0.0115,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-LDL-FC%,0.0038,0.0114,Free Cholesterol to Total-Lipids in Medium LDL percentage
L-HDL-FC%,0.0035,0.0106,Free Cholesterol to Total-Lipids in Large HDL percentage
L-HDL-TG,0.0085,0.0104,Triglycerides in Large HDL
XXL-VLDL-CE%,0.0115,0.0102,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-VLDL-TG%,0.0103,0.0092,Triglycerides to Total-Lipids in Large VLDL percentage
S-HDL-FC%,0.0067,0.0091,Free Cholesterol to Total-Lipids in Small HDL percentage
L-HDL-PL%,0.0102,0.0091,Phospholipids to Total-Lipids in Large HDL percentage
Val,0.0080,0.0086,Valine
S-VLDL-CE%,0.0112,0.0086,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
PUFA,0.0077,0.0082,Polyunsaturated Fatty Acids
Acetate,0.0062,0.0070,Acetate
PUFA/MUFA,0.0087,0.0065,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
XS-VLDL-FC%,0.0048,0.0064,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
Acetoacetate,0.0038,0.0061,Acetoacetate
L-HDL-P,0.0040,0.0061,Concentration of Large HDL Particles
HDL-FC,0.0038,0.0061,Free Cholesterol in HDL
M-VLDL-TG%,0.0072,0.0058,Triglycerides to Total-Lipids in Medium VLDL percentage
Ile,0.0068,0.0055,Isoleucine
XXL-VLDL-TG%,0.0040,0.0054,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-HDL-FC,0.0037,0.0052,Free Cholesterol in Small HDL
Citrate,0.0060,0.0052,Citrate
LA%,0.0048,0.0050,Linoleic Acid to Total-Fatty Acids percentage
Glu,0.0030,0.0048,Glucose
His,0.0037,0.0047,Histidine
XL-HDL-CE%,0.0022,0.0045,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
S-LDL-PL%,0.0037,0.0042,Phospholipids to Total-Lipids in Small LDL percentage
Omega-6/Omega-3,0.0048,0.0041,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Tyr,0.0027,0.0035,Tyrosine
M-HDL-PL,0.0050,0.0031,Phospholipids in Medium HDL
Omega-6%,0.0047,0.0029,Omega-6 Fatty Acids to Total-Fatty Acids percentage
XL-HDL-TG,0.0023,0.0022,Triglycerides in Very Large HDL
XXL-VLDL-FC%,0.0023,0.0022,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-VLDL-FC%,0.0025,0.0022,Free Cholesterol to Total-Lipids in Large VLDL percentage
Leu,0.0012,0.0021,Leucine
M-LDL-PL%,0.0012,0.0018,Phospholipids to Total-Lipids in Medium LDL percentage
XS-VLDL-TG,0.0020,0.0017,Triglycerides in Very Small VLDL
IDL-PL%,0.0012,0.0014,Phospholipids to Total-Lipids in IDL percentage
M-LDL-C%,0.0010,0.0010,Cholesterol to Total-Lipids in Medium LDL percentage
Omega-6,0.0003,0.0003,Omega-6 Fatty Acids
Total-BCAA,0.0002,0.0003,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
MUFA,0.0003,0.0003,Monounsaturated Fatty Acids
