Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Creatinine,0.1383,0.1356,Creatinine
Gly,0.1197,0.0977,Glycine
Citrate,0.0652,0.0669,Citrate
HDL-FC,0.0643,0.0567,Free Cholesterol in HDL
Glu,0.0548,0.0501,Glucose
Acetate,0.0260,0.0430,Acetate
S-HDL-PL%,0.0392,0.0426,Phospholipids to Total-Lipids in Small HDL percentage
XL-HDL-FC%,0.0242,0.0319,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Ala,0.0232,0.0271,Alanine
XL-VLDL-PL%,0.0162,0.0252,Phospholipids to Total-Lipids in Very Large VLDL percentage
Gln,0.0293,0.0248,Glutamine
Acetone,0.0190,0.0228,Acetone
HDL-size,0.0185,0.0219,Average Diameter for HDL Particles
Omega-3%,0.0297,0.0194,Omega-3 Fatty Acids to Total-Fatty Acids percentage
IDL-PL%,0.0153,0.0154,Phospholipids to Total-Lipids in IDL percentage
Val,0.0118,0.0153,Valine
Omega-6,0.0198,0.0139,Omega-6 Fatty Acids
Tyr,0.0077,0.0124,Tyrosine
Lactate,0.0117,0.0113,Lactate
S-HDL-FC%,0.0135,0.0108,Free Cholesterol to Total-Lipids in Small HDL percentage
GlycA,0.0123,0.0104,Glycoprotein Acetyls
Unsaturation,0.0100,0.0091,Degree of Unsaturation
SFA%,0.0072,0.0091,Saturated Fatty Acids to Total-Fatty Acids percentage
His,0.0082,0.0088,Histidine
XXL-VLDL-PL%,0.0078,0.0087,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
IDL-CE%,0.0085,0.0080,Cholesteryl Esters to Total-Lipids in IDL percentage
L-HDL-TG,0.0083,0.0080,Triglycerides in Large HDL
LDL-size,0.0067,0.0080,Average Diameter for LDL Particles
S-LDL-CE%,0.0043,0.0078,Cholesteryl Esters to Total-Lipids in Small LDL percentage
XXL-VLDL-CE%,0.0078,0.0077,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-VLDL-CE%,0.0090,0.0077,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
M-LDL-PL%,0.0070,0.0073,Phospholipids to Total-Lipids in Medium LDL percentage
L-HDL-C%,0.0073,0.0073,Cholesterol to Total-Lipids in Large HDL percentage
S-LDL-PL,0.0063,0.0065,Phospholipids in Small LDL
XS-VLDL-CE,0.0048,0.0064,Cholesteryl Esters in Very Small VLDL
3-Hydroxybutyrate,0.0100,0.0063,3-Hydroxybutyrate
VLDL-L,0.0012,0.0061,Total-Lipids in VLDL
Omega-3,0.0042,0.0061,Omega-3 Fatty Acids
Sc-ala,0.0077,0.0061,Spectrometer-corrected alanine
HDL-L,0.0067,0.0057,Total-Lipids in HDL
Phe,0.0045,0.0056,Phenylalanine
LA%,0.0075,0.0056,Linoleic Acid to Total-Fatty Acids percentage
IDL-CE,0.0067,0.0054,Cholesteryl Esters in IDL
XL-HDL-FC,0.0033,0.0050,Free Cholesterol in Very Large HDL
DHA%,0.0127,0.0050,Docosahexaenoic Acid to Total-Fatty Acids percentage
XL-VLDL-FC%,0.0047,0.0049,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
S-VLDL-CE%,0.0030,0.0048,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
L-VLDL-TG%,0.0053,0.0045,Triglycerides to Total-Lipids in Large VLDL percentage
Glu-lactate,0.0057,0.0043,Glucose-lactate
XS-VLDL-TG,0.0005,0.0041,Triglycerides in Very Small VLDL
M-VLDL-C,0.0033,0.0041,Cholesterol in Medium VLDL
L-VLDL-C%,0.0023,0.0035,Cholesterol to Total-Lipids in Large VLDL percentage
S-VLDL-FC,0.0020,0.0034,Free Cholesterol in Small VLDL
M-VLDL-C%,0.0048,0.0029,Cholesterol to Total-Lipids in Medium VLDL percentage
ApoB/ApoA1,0.0017,0.0027,Apolipoprotein B to Apolipoprotein A1 ratio
XS-VLDL-FC%,0.0015,0.0027,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
S-HDL-CE,0.0015,0.0025,Cholesteryl Esters in Small HDL
M-LDL-C%,0.0032,0.0025,Cholesterol to Total-Lipids in Medium LDL percentage
HDL-C,0.0015,0.0024,HDL Cholesterol
M-LDL-TG,0.0033,0.0024,Triglycerides in Medium LDL
XL-HDL-P,0.0015,0.0024,Concentration of Very Large HDL Particles
Leu,0.0015,0.0024,Leucine
Ile,0.0008,0.0018,Isoleucine
M-HDL-PL%,0.0033,0.0018,Phospholipids to Total-Lipids in Medium HDL percentage
VLDL-size,0.0015,0.0018,Average Diameter for VLDL Particles
IDL-FC%,0.0028,0.0016,Free Cholesterol to Total-Lipids in IDL percentage
Total-BCAA,0.0020,0.0015,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
S-LDL-PL%,0.0022,0.0015,Phospholipids to Total-Lipids in Small LDL percentage
Pyruvate,0.0015,0.0014,Pyruvate
L-VLDL-PL%,0.0013,0.0014,Phospholipids to Total-Lipids in Large VLDL percentage
XXL-VLDL-TG%,0.0013,0.0011,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Acetoacetate,0.0010,0.0011,Acetoacetate
L-VLDL-FC%,0.0010,0.0010,Free Cholesterol to Total-Lipids in Large VLDL percentage
XL-HDL-C%,0.0007,0.0009,Cholesterol to Total-Lipids in Very Large HDL percentage
Omega-6/Omega-3,0.0008,0.0009,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
XXL-VLDL-FC,0.0015,0.0009,Free Cholesterol in Chylomicrons and Extremely Large VLDL
S-HDL-TG,0.0005,0.0008,Triglycerides in Small HDL
XL-HDL-PL,0.0010,0.0007,Phospholipids in Very Large HDL
M-LDL-CE%,0.0007,0.0006,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
M-HDL-C%,0.0012,0.0005,Cholesterol to Total-Lipids in Medium HDL percentage
L-LDL-CE%,0.0002,0.0002,Cholesteryl Esters to Total-Lipids in Large LDL percentage
