Code,N_snp,Beta(95%CI),P(Bonferroni),P-star,LONGNAME,Chapter_name
F5_ALZHDEMENT,2076,0.022 [0.017-0.03],3.698e-11,***,Dementia in Alzheimer disease,Mental and behavioural
K11_APPENDACUT,1379,0.022 [0.016-0.03],1.741e-09,***,Acute appendicitis,Digestive
K11_CHRONPANC,105,0.022 [0.015-0.03],5.944e-06,***,Chronic pancreatitis,Digestive
M13_OLECRANONBURSITIS,147,0.021 [0.016-0.03],6.055e-12,***,Olecranon bursitis,Musculoskeletal
M13_MENISCUSDERANGEMENTS,937,0.020 [0.015-0.03],4.178e-09,***,Meniscus derangement,Musculoskeletal
I9_PHLETHROMBDVTLOW,3262,0.020 [0.018-0.02],2.135e-43,***,DVT of lower extremities,Circulatory
M13_TRIGGERFINGER,2255,0.020 [0.017-0.02],6.398e-26,***,Trigger finger,Musculoskeletal
H7_PARASTRA6,76,0.020 [0.016-0.02],3.831e-13,***,Sixth [abducent] nerve palsy,Eye and adnexa
M13_ARTHROSIS_KNEE,5080,0.019 [0.015-0.02],3.361e-16,***,Gonarthrosis,Musculoskeletal
D3_THROMBOCYTOPENIANAS,73,0.019 [0.012-0.03],0.013,*,"Thrombocytopenia, unspecified",Blood and immune
CD2_BENIGN_PITUITARY_CRANIPHAR,90,0.018 [0.014-0.02],3.407e-08,***,"Benign neoplasm: Pituitary gland, craniopharyngeal duct",Neoplasms
E4_OVARDYS,221,0.017 [0.014-0.02],5.884e-13,***,Ovarian dysfunction,Endocrine and metabolic
E4_GOITRENOD,331,0.017 [0.014-0.02],3.168e-14,***,Nontoxic single thyroid nodule,Endocrine and metabolic
G6_BASDEGENOTH,96,0.016 [0.010-0.02],0.021,*,Other degenerative diseases of the basal ganglia,Nervous
N14_ENDOMETRIOSIS_NOS,246,0.016 [0.012-0.02],8.188e-08,***,Unspecified/other endometriosis,Genitourinary
E4_OBESITYXTRMALV,103,0.016 [0.013-0.02],3.698e-16,***,Extreme obesity with alveolar hypoventilation,Endocrine and metabolic
M13_ADHCAPSULITIS,1742,0.016 [0.011-0.02],5.288e-08,***,Adhesive capsulitis of shoulder,Musculoskeletal
H7_CHOROIDRETINA,12847,0.016 [0.013-0.02],6.271e-43,***,Disorders of choroid and retina,Eye and adnexa
K11_DIAHER,628,0.015 [0.011-0.02],1.576e-07,***,Diaphragmatic hernia,Digestive
ULCERENTER,63,0.015 [0.010-0.02],0.001,**,Ulcerative enterocolitis,Digestive
ALLERG_RHINITIS,746,0.015 [0.009-0.02],0.026,*,Allergic rhinitis,Respiratory
H7_EYELIDFUNC,23,0.015 [0.011-0.02],5.208e-08,***,Other disorders affecting eyelid function,Eye and adnexa
D3_BLOODNAS,64,0.015 [0.010-0.02],4.004e-04,***,Other and unspecified diseases of blood and blood-forming organs,Blood and immune
PRIM_KNEEARTHROSIS,1523,0.014 [0.010-0.02],0.001,**,"Primary gonarthrosis, bilateral",Musculoskeletal
I9_CARDMYOOTH,228,0.014 [0.011-0.02],8.142e-10,***,"Cardiomyopathy, other and unspecified",Circulatory
M13_ARTHTROSIS_COX,3783,0.014 [0.011-0.02],1.518e-13,***,Coxarthrosis,Musculoskeletal
H7_RETINALBREAK,282,0.014 [0.010-0.02],2.020e-07,***,Retinal breaks without detachment,Eye and adnexa
DM_NEPHROPATHY,7402,0.013 [0.012-0.01],2.728e-103,***,Diabetic nephropathy,Genitourinary
L12_ULCERLOWLIMB,2421,0.013 [0.010-0.02],2.462e-10,***,"Ulcer of lower limb, not elsewhere classified",Skin
C3_CORPUS_UTERI,169,0.013 [0.009-0.02],2.862e-04,***,Malignant neoplasm of corpus uteri,Neoplasms
L12_NONIONRADISKINNAS,27,0.013 [0.008-0.02],0.001,**,Other and unspecified skin changes due to chronic exposure to nonionizing radiation,Skin
I9_VTE,4387,0.013 [0.009-0.02],3.743e-09,***,Venous thromboembolism,Circulatory
N14_ENDOMETRIOSIS_PELVICPERITONEUM,1404,0.012 [0.010-0.01],2.445e-16,***,Endometriosis of pelvic peritoneum,Genitourinary
H7_OPTNERVE,2671,0.012 [0.011-0.01],4.709e-43,***,Disorders of optic nerve and visual pathways,Eye and adnexa
N14_CERVICAL_DYSPLASIA_ALL,5631,0.012 [0.010-0.01],7.013e-25,***,All dysplastic lesions of the cervix uteri,Genitourinary
I9_CARDMYO,446,0.012 [0.009-0.02],2.189e-10,***,Cardiomyopathy,Circulatory
N14_FEMALE_GENITAL_HSIL,6550,0.012 [0.010-0.01],2.632e-41,***,"HSIL lesion of the cervix uteri, vagina or vulva",Genitourinary
G6_HYDROCEPH,204,0.012 [0.007-0.02],0.027,*,Hydrocephalus,Nervous
E4_PCOS,353,0.011 [0.009-0.01],1.131e-13,***,Polycystic ovarian syndrome,Endocrine and metabolic
