Code,N_snp,Beta(95%CI),P(Bonferroni),P-star,LONGNAME,Chapter_name
N14_RENALTUB,449,0.438 [0.425-0.45],1.000e-315,***,Renal tubulo-interstitial diseases,Genitourinary
E4_LIPOPROTNAS,242,0.397 [0.349-0.44],1.161e-53,***,"Disorder of lipoprotein metabolism, unspecified",Endocrine and metabolic
K11_OESSTODUO,43,0.326 [0.255-0.40],2.587e-14,***,"Diseases of oesophagus, stomach and duodenum",Digestive
M13_SOFTTISSUE,1904,0.277 [0.258-0.30],4.458e-177,***,Soft tissue disorders,Musculoskeletal
E4_HYPERLIPNAS,1251,0.273 [0.247-0.30],7.526e-87,***,"Hyperlipidaemia, other/unspecified",Endocrine and metabolic
K11_OTHDISDIG,25,0.241 [0.217-0.26],6.839e-81,***,Other diseases of the digestive system,Digestive
K11_FUNCDYSP,169,0.233 [0.226-0.24],1.000e-315,***,Functional dyspepsia,Digestive
E4_FH,518,0.214 [0.180-0.25],6.075e-30,***,Familial hypercholesterolemia,Endocrine and metabolic
E4_METABOLIA,4834,0.198 [0.177-0.22],6.930e-76,***,Metabolic disorders,Endocrine and metabolic
K11_CHRONGASTR,210,0.197 [0.188-0.21],1.000e-315,***,Chronic gastritis,Digestive
JOINTPAIN,1595,0.189 [0.177-0.20],3.754e-199,***,Pain in joint,Musculoskeletal
PD_DEMENTIA,12,0.183 [0.119-0.25],0.005,**,Dementia due to Parkinson's disease,Mental and behavioural
G6_MIGRAINE_WITH_AURA,143,0.171 [0.159-0.18],3.675e-150,***,Migraine with aura,Nervous
M13_MUSCLE,168,0.169 [0.165-0.17],1.000e-315,***,Disorders of muscles,Musculoskeletal
I9_POSTAMI,149,0.166 [0.125-0.21],4.110e-10,***,Status post-ami,Circulatory
K11_OTHENTERCOL,751,0.156 [0.147-0.17],7.354e-248,***,Other noninfective gastroenteritis and colitis,Digestive
D3_AGRANULOCYTOSIS,347,0.149 [0.146-0.15],1.000e-315,***,Agranulocytosis,Blood and immune
L12_DERMATITISNAS,2477,0.139 [0.132-0.15],1.000e-315,***,Dermatitis,Skin
