Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-HDL-PL,0.77 [0.72-0.82],1.618e-08,***,Phospholipids in Medium HDL
M-HDL-L,0.76 [0.71-0.81],3.385e-10,***,Total-Lipids in Medium HDL
XL-HDL-FC,0.75 [0.70-0.82],5.627e-07,***,Free Cholesterol in Very Large HDL
M-HDL-CE,0.74 [0.69-0.80],1.997e-11,***,Cholesteryl Esters in Medium HDL
M-HDL-C,0.74 [0.69-0.79],5.625e-12,***,Cholesterol in Medium HDL
M-HDL-FC%,0.74 [0.69-0.78],4.765e-17,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
ApoA1,0.73 [0.68-0.79],7.859e-13,***,Apolipoprotein A1
M-HDL-P,0.73 [0.68-0.79],1.256e-11,***,Concentration of Medium HDL Particles
Gly,0.73 [0.67-0.78],2.027e-11,***,Glycine
M-HDL-FC,0.72 [0.67-0.78],4.625e-13,***,Free Cholesterol in Medium HDL
HDL-PL,0.72 [0.67-0.77],2.019e-14,***,Phospholipids in HDL
HDL-L,0.71 [0.66-0.76],2.416e-16,***,Total-Lipids in HDL
HDL-CE,0.69 [0.64-0.74],2.129e-17,***,Cholesteryl Esters in HDL
HDL-C,0.69 [0.64-0.74],4.772e-18,***,HDL Cholesterol
HDL-FC,0.68 [0.63-0.73],1.223e-17,***,Free Cholesterol in HDL
XL-HDL-C,0.67 [0.61-0.73],8.271e-15,***,Cholesterol in Very Large HDL
XL-HDL-L,0.66 [0.60-0.72],7.584e-16,***,Total-Lipids in Very Large HDL
XL-HDL-P,0.66 [0.60-0.72],6.410e-15,***,Concentration of Very Large HDL Particles
XL-HDL-PL,0.65 [0.60-0.71],8.046e-16,***,Phospholipids in Very Large HDL
XL-HDL-CE,0.65 [0.59-0.71],1.671e-16,***,Cholesteryl Esters in Very Large HDL
L-HDL-PL,0.65 [0.60-0.70],4.658e-20,***,Phospholipids in Large HDL
HDL-size,0.64 [0.59-0.69],8.396e-21,***,Average Diameter for HDL Particles
L-HDL-L,0.64 [0.59-0.69],7.998e-22,***,Total-Lipids in Large HDL
L-HDL-C,0.63 [0.58-0.68],5.552e-21,***,Cholesterol in Large HDL
L-HDL-CE,0.63 [0.58-0.68],1.274e-20,***,Cholesteryl Esters in Large HDL
L-HDL-FC,0.63 [0.57-0.68],8.215e-20,***,Free Cholesterol in Large HDL
L-HDL-P,0.61 [0.56-0.67],1.726e-20,***,Concentration of Large HDL Particles
