Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-VLDL-PL,0.86 [0.83-0.89],2.458e-11,***,Phospholipids in Medium VLDL
S-HDL-C,0.86 [0.83-0.89],2.337e-12,***,Cholesterol in Small HDL
HDL-P,0.86 [0.83-0.89],1.761e-11,***,Concentration of HDL Particles
S-VLDL-CE%,0.86 [0.83-0.89],3.874e-14,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
S-HDL-P,0.86 [0.83-0.89],2.077e-12,***,Concentration of Small HDL Particles
XS-VLDL-FC,0.86 [0.83-0.89],3.867e-12,***,Free Cholesterol in Very Small VLDL
Phosphoglyc,0.86 [0.83-0.89],1.392e-13,***,Phosphoglycerides
Omega-6,0.86 [0.83-0.89],4.302e-14,***,Omega-6 Fatty Acids
PC,0.85 [0.82-0.88],8.587e-15,***,Phosphatidylcholines
M-VLDL-CE%,0.85 [0.83-0.88],7.046e-22,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-VLDL-FC,0.85 [0.82-0.88],2.360e-14,***,Free Cholesterol in Medium VLDL
S-VLDL-FC,0.85 [0.82-0.88],2.348e-14,***,Free Cholesterol in Small VLDL
LA,0.85 [0.82-0.88],3.053e-16,***,Linoleic Acid
M-HDL-FC%,0.85 [0.82-0.88],2.714e-16,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
S-LDL-P,0.85 [0.82-0.88],7.072e-15,***,Concentration of Small LDL Particles
L-LDL-FC%,0.85 [0.82-0.88],9.144e-19,***,Free Cholesterol to Total-Lipids in Large LDL percentage
VLDL-CE,0.85 [0.82-0.88],1.439e-15,***,Cholesteryl Esters in VLDL
S-LDL-PL,0.85 [0.82-0.88],6.476e-16,***,Phospholipids in Small LDL
Cholines,0.84 [0.82-0.87],1.456e-17,***,Total-Cholines
M-VLDL-C%,0.84 [0.82-0.87],2.533e-21,***,Cholesterol to Total-Lipids in Medium VLDL percentage
L-LDL-P,0.84 [0.81-0.87],3.089e-16,***,Concentration of Large LDL Particles
Total-P,0.84 [0.81-0.87],2.801e-16,***,Total-Concentration of Lipoprotein Particles
M-VLDL-FC%,0.84 [0.82-0.87],2.389e-20,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
S-LDL-L,0.84 [0.81-0.87],4.087e-18,***,Total-Lipids in Small LDL
LDL-P,0.84 [0.81-0.87],9.162e-18,***,Concentration of LDL Particles
M-VLDL-PL%,0.84 [0.81-0.87],4.245e-22,***,Phospholipids to Total-Lipids in Medium VLDL percentage
S-LDL-CE,0.84 [0.81-0.87],3.844e-18,***,Cholesteryl Esters in Small LDL
S-VLDL-C%,0.84 [0.81-0.87],2.173e-21,***,Cholesterol to Total-Lipids in Small VLDL percentage
M-LDL-P,0.83 [0.81-0.86],1.205e-18,***,Concentration of Medium LDL Particles
Total-L,0.83 [0.81-0.86],7.520e-22,***,Total-Lipids in Lipoprotein Particles
L-LDL-C%,0.83 [0.81-0.86],3.471e-23,***,Cholesterol to Total-Lipids in Large LDL percentage
M-LDL-PL,0.83 [0.80-0.86],1.051e-19,***,Phospholipids in Medium LDL
M-LDL-CE,0.83 [0.80-0.86],5.733e-20,***,Cholesteryl Esters in Medium LDL
M-LDL-L,0.83 [0.80-0.86],5.572e-21,***,Total-Lipids in Medium LDL
Total-PL,0.83 [0.80-0.86],2.149e-22,***,Total-Phospholipids in Lipoprotein Particles
S-LDL-C,0.83 [0.80-0.86],5.815e-21,***,Cholesterol in Small LDL
ApoB,0.83 [0.80-0.86],7.364e-22,***,Apolipoprotein B
XS-VLDL-C,0.83 [0.80-0.86],4.064e-21,***,Cholesterol in Very Small VLDL
M-LDL-C,0.83 [0.80-0.85],7.962e-23,***,Cholesterol in Medium LDL
M-VLDL-C,0.82 [0.80-0.85],2.139e-22,***,Cholesterol in Medium VLDL
S-LDL-FC,0.82 [0.80-0.85],4.243e-23,***,Free Cholesterol in Small LDL
M-LDL-C%,0.82 [0.80-0.85],5.671e-30,***,Cholesterol to Total-Lipids in Medium LDL percentage
SM,0.82 [0.79-0.85],5.044e-24,***,Sphingomyelins
S-VLDL-PL%,0.82 [0.79-0.85],3.018e-25,***,Phospholipids to Total-Lipids in Small VLDL percentage
S-VLDL-FC%,0.82 [0.79-0.85],2.143e-27,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
XS-VLDL-CE,0.82 [0.79-0.85],5.200e-24,***,Cholesteryl Esters in Very Small VLDL
LDL-CE,0.82 [0.79-0.85],2.986e-26,***,Cholesteryl Esters in LDL
LDL-L,0.82 [0.79-0.84],1.818e-27,***,Total-Lipids in LDL
Citrate,0.82 [0.79-0.85],2.197e-22,***,Citrate
S-LDL-C%,0.82 [0.79-0.84],9.268e-31,***,Cholesterol to Total-Lipids in Small LDL percentage
XS-VLDL-C%,0.82 [0.79-0.84],1.654e-31,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
IDL-C%,0.82 [0.79-0.84],6.583e-34,***,Cholesterol to Total-Lipids in IDL percentage
M-VLDL-CE,0.81 [0.79-0.84],1.408e-25,***,Cholesteryl Esters in Medium VLDL
M-LDL-FC,0.81 [0.79-0.84],6.208e-26,***,Free Cholesterol in Medium LDL
L-LDL-CE,0.81 [0.79-0.84],2.470e-27,***,Cholesteryl Esters in Large LDL
LDL-PL,0.81 [0.79-0.84],2.219e-27,***,Phospholipids in LDL
LDL-C,0.81 [0.79-0.84],6.077e-29,***,LDL Cholesterol
XS-VLDL-CE%,0.81 [0.79-0.84],3.157e-33,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
Remnant-C,0.81 [0.79-0.84],8.023e-29,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
IDL-CE%,0.81 [0.79-0.84],1.591e-34,***,Cholesteryl Esters to Total-Lipids in IDL percentage
L-LDL-L,0.81 [0.78-0.84],1.806e-29,***,Total-Lipids in Large LDL
Non-HDL-C,0.81 [0.78-0.84],6.878e-31,***,Total-Cholesterol Minus HDL-C
