Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
S-VLDL-CE,0.68 [0.62-0.75],8.470e-10,***,Cholesteryl Esters in Small VLDL
M-VLDL-C%,0.68 [0.63-0.73],6.266e-22,***,Cholesterol to Total-Lipids in Medium VLDL percentage
L-HDL-C,0.68 [0.61-0.76],9.753e-07,***,Cholesterol in Large HDL
S-HDL-CE,0.68 [0.62-0.74],2.397e-12,***,Cholesteryl Esters in Small HDL
M-VLDL-L,0.67 [0.62-0.74],1.455e-11,***,Total-Lipids in Medium VLDL
S-VLDL-C%,0.67 [0.62-0.73],1.535e-17,***,Cholesterol to Total-Lipids in Small VLDL percentage
L-LDL-FC%,0.67 [0.62-0.72],4.027e-21,***,Free Cholesterol to Total-Lipids in Large LDL percentage
L-HDL-FC,0.67 [0.60-0.75],4.341e-07,***,Free Cholesterol in Large HDL
XL-HDL-C,0.67 [0.60-0.75],2.895e-07,***,Cholesterol in Very Large HDL
L-HDL-P,0.67 [0.59-0.75],6.854e-07,***,Concentration of Large HDL Particles
HDL-L,0.66 [0.60-0.73],2.298e-12,***,Total-Lipids in HDL
S-HDL-C,0.66 [0.61-0.72],2.002e-14,***,Cholesterol in Small HDL
ApoA1,0.66 [0.60-0.72],2.719e-13,***,Apolipoprotein A1
M-VLDL-FC%,0.66 [0.61-0.71],2.538e-23,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
XL-HDL-CE,0.66 [0.59-0.74],1.215e-07,***,Cholesteryl Esters in Very Large HDL
M-HDL-FC,0.66 [0.59-0.72],7.126e-12,***,Free Cholesterol in Medium HDL
S-VLDL-PL,0.66 [0.60-0.72],1.495e-12,***,Phospholipids in Small VLDL
XL-HDL-P,0.65 [0.58-0.73],1.116e-07,***,Concentration of Very Large HDL Particles
M-LDL-C%,0.65 [0.61-0.70],2.789e-28,***,Cholesterol to Total-Lipids in Medium LDL percentage
M-HDL-FC%,0.65 [0.60-0.70],4.291e-22,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
S-HDL-P,0.65 [0.59-0.71],4.649e-15,***,Concentration of Small HDL Particles
XS-VLDL-L,0.65 [0.59-0.71],2.346e-14,***,Total-Lipids in Very Small VLDL
M-VLDL-PL%,0.65 [0.60-0.70],5.033e-26,***,Phospholipids to Total-Lipids in Medium VLDL percentage
S-VLDL-C,0.65 [0.59-0.71],2.071e-13,***,Cholesterol in Small VLDL
S-HDL-FC,0.65 [0.59-0.71],1.289e-15,***,Free Cholesterol in Small HDL
S-LDL-C%,0.65 [0.60-0.70],8.691e-26,***,Cholesterol to Total-Lipids in Small LDL percentage
VLDL-C,0.65 [0.59-0.71],1.603e-15,***,VLDL Cholesterol
HDL-CE,0.64 [0.58-0.71],2.299e-13,***,Cholesteryl Esters in HDL
XS-VLDL-P,0.64 [0.58-0.70],1.615e-14,***,Concentration of Very Small VLDL Particles
HDL-C,0.63 [0.57-0.70],2.019e-14,***,HDL Cholesterol
M-VLDL-P,0.63 [0.57-0.69],8.606e-15,***,Concentration of Medium VLDL Particles
