Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-PL,0.92 [0.89-0.94],1.795e-05,***,Phospholipids in IDL
Cholines,0.92 [0.89-0.94],2.025e-05,***,Total-Cholines
Omega-3%,0.91 [0.89-0.94],7.737e-05,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
M-HDL-L,0.91 [0.89-0.94],5.081e-05,***,Total-Lipids in Medium HDL
M-LDL-C%,0.91 [0.89-0.94],1.651e-06,***,Cholesterol to Total-Lipids in Medium LDL percentage
XXL-VLDL-FC%,0.91 [0.89-0.94],3.388e-04,***,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
SM,0.91 [0.89-0.94],4.231e-06,***,Sphingomyelins
L-LDL-FC,0.91 [0.89-0.94],2.572e-06,***,Free Cholesterol in Large LDL
Total-C,0.91 [0.89-0.94],8.682e-07,***,Total-Cholesterol
IDL-L,0.91 [0.89-0.94],6.150e-07,***,Total-Lipids in IDL
S-VLDL-C%,0.91 [0.89-0.93],5.607e-07,***,Cholesterol to Total-Lipids in Small VLDL percentage
Total-CE,0.91 [0.88-0.93],8.662e-08,***,Total-Esterified Cholesterol
IDL-FC,0.91 [0.88-0.93],1.786e-07,***,Free Cholesterol in IDL
HDL-P,0.91 [0.88-0.93],9.872e-07,***,Concentration of HDL Particles
Total-P,0.91 [0.88-0.93],5.303e-07,***,Total-Concentration of Lipoprotein Particles
L-HDL-FC%,0.91 [0.88-0.93],2.949e-09,***,Free Cholesterol to Total-Lipids in Large HDL percentage
M-HDL-P,0.90 [0.88-0.93],3.141e-07,***,Concentration of Medium HDL Particles
M-HDL-CE%,0.90 [0.88-0.93],1.317e-08,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
IDL-C,0.90 [0.88-0.93],2.929e-09,***,Cholesterol in IDL
IDL-CE,0.90 [0.88-0.92],1.744e-09,***,Cholesteryl Esters in IDL
S-HDL-FC%,0.90 [0.88-0.93],6.941e-08,***,Free Cholesterol to Total-Lipids in Small HDL percentage
M-VLDL-PL%,0.90 [0.88-0.92],2.012e-10,***,Phospholipids to Total-Lipids in Medium VLDL percentage
Omega-6%,0.90 [0.87-0.92],1.131e-09,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
ApoA1,0.90 [0.87-0.92],2.186e-09,***,Apolipoprotein A1
M-HDL-CE,0.90 [0.87-0.92],2.700e-09,***,Cholesteryl Esters in Medium HDL
HDL-PL,0.90 [0.87-0.92],2.599e-09,***,Phospholipids in HDL
M-HDL-C,0.89 [0.87-0.92],1.355e-09,***,Cholesterol in Medium HDL
L-HDL-CE%,0.89 [0.87-0.92],3.496e-12,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
M-VLDL-CE%,0.89 [0.87-0.92],1.749e-13,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
L-VLDL-CE%,0.89 [0.87-0.92],2.641e-10,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
M-HDL-FC,0.89 [0.87-0.92],9.629e-10,***,Free Cholesterol in Medium HDL
XL-VLDL-FC%,0.89 [0.87-0.92],1.392e-09,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
M-LDL-FC%,0.89 [0.87-0.92],5.817e-12,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
DHA,0.89 [0.87-0.92],3.572e-10,***,Docosahexaenoic Acid
M-VLDL-FC%,0.89 [0.87-0.91],6.541e-13,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
IDL-CE%,0.89 [0.87-0.91],1.187e-13,***,Cholesteryl Esters to Total-Lipids in IDL percentage
DHA%,0.89 [0.87-0.91],3.024e-11,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
IDL-C%,0.89 [0.87-0.91],2.931e-14,***,Cholesterol to Total-Lipids in IDL percentage
M-VLDL-C%,0.89 [0.87-0.91],2.669e-14,***,Cholesterol to Total-Lipids in Medium VLDL percentage
L-HDL-C%,0.89 [0.86-0.91],6.582e-15,***,Cholesterol to Total-Lipids in Large HDL percentage
LA%,0.88 [0.86-0.91],6.146e-13,***,Linoleic Acid to Total-Fatty Acids percentage
L-LDL-C%,0.88 [0.86-0.91],1.309e-14,***,Cholesterol to Total-Lipids in Large LDL percentage
HDL-L,0.88 [0.86-0.91],1.336e-12,***,Total-Lipids in HDL
S-VLDL-FC%,0.88 [0.86-0.91],4.780e-15,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
S-VLDL-PL%,0.88 [0.86-0.91],7.345e-15,***,Phospholipids to Total-Lipids in Small VLDL percentage
M-HDL-C%,0.88 [0.86-0.90],5.350e-15,***,Cholesterol to Total-Lipids in Medium HDL percentage
L-LDL-FC%,0.88 [0.86-0.90],1.925e-16,***,Free Cholesterol to Total-Lipids in Large LDL percentage
XL-VLDL-CE%,0.88 [0.86-0.91],2.081e-13,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
XS-VLDL-C%,0.88 [0.86-0.90],4.969e-17,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
XL-VLDL-C%,0.88 [0.85-0.90],1.243e-13,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
XS-VLDL-CE%,0.88 [0.85-0.90],2.768e-18,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
PUFA%,0.87 [0.85-0.89],2.037e-18,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
HDL-FC,0.87 [0.84-0.89],4.460e-17,***,Free Cholesterol in HDL
M-HDL-FC%,0.86 [0.84-0.89],1.120e-21,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
HDL-C,0.86 [0.84-0.89],6.946e-19,***,HDL Cholesterol
HDL-CE,0.86 [0.84-0.89],7.492e-19,***,Cholesteryl Esters in HDL
XL-HDL-FC,0.86 [0.84-0.89],4.178e-17,***,Free Cholesterol in Very Large HDL
Unsaturation,0.86 [0.84-0.88],6.515e-22,***,Degree of Unsaturation
L-HDL-PL,0.86 [0.83-0.88],6.752e-19,***,Phospholipids in Large HDL
HDL-size,0.86 [0.83-0.88],2.535e-18,***,Average Diameter for HDL Particles
XL-HDL-PL,0.85 [0.82-0.88],1.248e-19,***,Phospholipids in Very Large HDL
L-HDL-L,0.85 [0.82-0.87],1.483e-21,***,Total-Lipids in Large HDL
XL-HDL-L,0.84 [0.82-0.87],2.248e-21,***,Total-Lipids in Very Large HDL
XL-HDL-P,0.84 [0.82-0.87],4.039e-21,***,Concentration of Very Large HDL Particles
PUFA/MUFA,0.84 [0.82-0.87],5.358e-27,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
L-HDL-FC,0.84 [0.82-0.87],2.425e-22,***,Free Cholesterol in Large HDL
L-HDL-P,0.84 [0.81-0.87],1.379e-22,***,Concentration of Large HDL Particles
L-HDL-C,0.84 [0.81-0.86],2.138e-24,***,Cholesterol in Large HDL
XL-HDL-C,0.84 [0.81-0.86],4.429e-24,***,Cholesterol in Very Large HDL
L-HDL-CE,0.84 [0.81-0.86],1.161e-24,***,Cholesteryl Esters in Large HDL
XL-HDL-CE,0.83 [0.81-0.86],3.932e-25,***,Cholesteryl Esters in Very Large HDL
