Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-FC%,1.10 [1.06-1.14],0.002,**,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
L-LDL-C%,1.10 [1.06-1.13],0.008,**,Cholesterol to Total-Lipids in Large LDL percentage
IDL-CE%,1.09 [1.06-1.13],0.007,**,Cholesteryl Esters to Total-Lipids in IDL percentage
M-HDL-L,1.09 [1.06-1.13],0.008,**,Total-Lipids in Medium HDL
M-LDL-L,0.92 [0.89-0.95],0.025,*,Total-Lipids in Medium LDL
M-LDL-CE%,0.92 [0.89-0.95],0.027,*,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
M-LDL-PL,0.92 [0.89-0.95],0.029,*,Phospholipids in Medium LDL
XXL-VLDL-PL%,0.92 [0.89-0.95],0.008,**,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-LDL-CE,0.92 [0.89-0.95],0.012,*,Cholesteryl Esters in Small LDL
SFA,0.92 [0.89-0.95],0.016,*,Saturated Fatty Acids
M-VLDL-PL,0.92 [0.89-0.95],0.013,*,Phospholipids in Medium VLDL
M-LDL-CE,0.92 [0.89-0.94],0.005,**,Cholesteryl Esters in Medium LDL
S-VLDL-PL,0.91 [0.88-0.94],0.001,**,Phospholipids in Small VLDL
Total-FA,0.91 [0.88-0.94],5.699e-04,***,Total-Fatty Acids
GlycA,0.91 [0.88-0.94],0.003,**,Glycoprotein Acetyls
M-VLDL-P,0.91 [0.88-0.94],4.269e-04,***,Concentration of Medium VLDL Particles
IDL-TG,0.91 [0.88-0.94],0.001,**,Triglycerides in IDL
ApoB/ApoA1,0.91 [0.88-0.94],1.851e-04,***,Apolipoprotein B to Apolipoprotein A1 ratio
XS-VLDL-PL%,0.90 [0.87-0.93],5.447e-05,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-LDL-TG%,0.90 [0.87-0.93],7.759e-05,***,Triglycerides to Total-Lipids in Medium LDL percentage
VLDL-P,0.90 [0.87-0.93],3.419e-05,***,Concentration of VLDL Particles
Ala,0.90 [0.87-0.92],4.007e-06,***,Alanine
XL-HDL-C%,0.89 [0.86-0.92],6.392e-07,***,Cholesterol to Total-Lipids in Very Large HDL percentage
Ile,0.89 [0.86-0.92],5.122e-07,***,Isoleucine
Lactate,0.89 [0.86-0.92],4.666e-08,***,Lactate
L-LDL-TG%,0.89 [0.86-0.92],2.090e-07,***,Triglycerides to Total-Lipids in Large LDL percentage
VLDL-FC,0.89 [0.86-0.92],4.190e-08,***,Free Cholesterol in VLDL
M-VLDL-L,0.89 [0.86-0.92],1.544e-08,***,Total-Lipids in Medium VLDL
L-LDL-TG,0.88 [0.85-0.91],1.829e-08,***,Triglycerides in Large LDL
XS-VLDL-TG,0.88 [0.85-0.91],1.405e-08,***,Triglycerides in Very Small VLDL
Leu,0.88 [0.85-0.91],3.936e-09,***,Leucine
S-VLDL-TG%,0.88 [0.85-0.91],4.425e-11,***,Triglycerides to Total-Lipids in Small VLDL percentage
L-VLDL-CE,0.88 [0.85-0.91],5.138e-10,***,Cholesteryl Esters in Large VLDL
Sc-ala,0.88 [0.85-0.91],2.333e-10,***,Spectrometer-corrected alanine
S-VLDL-L,0.88 [0.85-0.90],6.605e-11,***,Total-Lipids in Small VLDL
XL-VLDL-TG%,0.87 [0.85-0.90],9.117e-15,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
MUFA,0.87 [0.84-0.90],3.343e-11,***,Monounsaturated Fatty Acids
VLDL-PL,0.87 [0.84-0.90],1.243e-11,***,Phospholipids in VLDL
S-VLDL-P,0.87 [0.84-0.90],6.131e-12,***,Concentration of Small VLDL Particles
L-VLDL-PL%,0.87 [0.84-0.89],1.816e-16,***,Phospholipids to Total-Lipids in Large VLDL percentage
M-HDL-TG%,0.87 [0.84-0.90],5.743e-13,***,Triglycerides to Total-Lipids in Medium HDL percentage
XL-VLDL-CE,0.87 [0.84-0.90],1.849e-12,***,Cholesteryl Esters in Very Large VLDL
Total-BCAA,0.87 [0.84-0.89],2.471e-12,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
IDL-TG%,0.86 [0.84-0.89],4.438e-13,***,Triglycerides to Total-Lipids in IDL percentage
M-HDL-PL%,0.86 [0.84-0.89],4.594e-12,***,Phospholipids to Total-Lipids in Medium HDL percentage
L-HDL-PL%,0.86 [0.83-0.89],3.748e-12,***,Phospholipids to Total-Lipids in Large HDL percentage
LDL-TG,0.86 [0.83-0.89],1.424e-12,***,Triglycerides in LDL
S-LDL-TG%,0.86 [0.84-0.89],1.605e-13,***,Triglycerides to Total-Lipids in Small LDL percentage
Val,0.86 [0.83-0.89],8.003e-14,***,Valine
VLDL-L,0.85 [0.83-0.88],5.730e-17,***,Total-Lipids in VLDL
L-VLDL-C,0.85 [0.82-0.88],1.036e-16,***,Cholesterol in Large VLDL
XL-VLDL-C,0.85 [0.82-0.88],8.166e-17,***,Cholesterol in Very Large VLDL
L-HDL-TG%,0.85 [0.82-0.87],4.029e-18,***,Triglycerides to Total-Lipids in Large HDL percentage
M-VLDL-TG%,0.84 [0.82-0.87],1.078e-20,***,Triglycerides to Total-Lipids in Medium VLDL percentage
M-LDL-TG,0.84 [0.81-0.87],1.514e-17,***,Triglycerides in Medium LDL
MUFA%,0.84 [0.81-0.87],1.119e-18,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XXL-VLDL-CE,0.84 [0.81-0.87],4.668e-19,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
S-HDL-TG%,0.84 [0.81-0.87],1.115e-21,***,Triglycerides to Total-Lipids in Small HDL percentage
XL-VLDL-FC,0.84 [0.81-0.86],4.080e-20,***,Free Cholesterol in Very Large VLDL
XXL-VLDL-TG,0.83 [0.81-0.86],2.994e-19,***,Triglycerides in Chylomicrons and Extremely Large VLDL
M-VLDL-TG,0.83 [0.81-0.86],1.751e-21,***,Triglycerides in Medium VLDL
