Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-VLDL-C%,0.91 [0.89-0.93],2.587e-09,***,Cholesterol to Total-Lipids in Medium VLDL percentage
PUFA%,0.91 [0.89-0.93],4.032e-08,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
XL-VLDL-C%,0.91 [0.88-0.93],1.864e-08,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-VLDL-CE%,0.91 [0.88-0.93],5.309e-09,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
M-LDL-C%,0.90 [0.88-0.93],6.014e-12,***,Cholesterol to Total-Lipids in Medium LDL percentage
IDL-CE%,0.90 [0.88-0.93],1.094e-11,***,Cholesteryl Esters to Total-Lipids in IDL percentage
LA%,0.90 [0.88-0.93],4.357e-10,***,Linoleic Acid to Total-Fatty Acids percentage
PUFA/MUFA,0.90 [0.88-0.93],5.203e-10,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
L-LDL-FC%,0.90 [0.88-0.92],2.224e-12,***,Free Cholesterol to Total-Lipids in Large LDL percentage
S-LDL-C%,0.90 [0.88-0.92],6.541e-13,***,Cholesterol to Total-Lipids in Small LDL percentage
S-VLDL-PL%,0.90 [0.88-0.92],5.774e-12,***,Phospholipids to Total-Lipids in Small VLDL percentage
S-VLDL-FC%,0.90 [0.88-0.92],1.887e-12,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
XS-VLDL-C%,0.90 [0.88-0.92],3.276e-13,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
L-LDL-C%,0.90 [0.88-0.92],5.064e-13,***,Cholesterol to Total-Lipids in Large LDL percentage
XS-VLDL-CE%,0.90 [0.88-0.92],1.442e-13,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
IDL-C%,0.90 [0.88-0.92],1.438e-14,***,Cholesterol to Total-Lipids in IDL percentage
