Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-PL%,0.84 [0.80-0.87],5.839e-10,***,Phospholipids to Total-Lipids in Very Large HDL percentage
L-HDL-CE%,0.84 [0.80-0.88],5.345e-09,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
S-VLDL-C%,0.84 [0.80-0.88],4.550e-08,***,Cholesterol to Total-Lipids in Small VLDL percentage
M-VLDL-CE,0.83 [0.79-0.88],3.051e-07,***,Cholesteryl Esters in Medium VLDL
HDL-P,0.83 [0.79-0.88],6.282e-07,***,Concentration of HDL Particles
M-HDL-C%,0.83 [0.79-0.87],7.481e-08,***,Cholesterol to Total-Lipids in Medium HDL percentage
L-LDL-C%,0.83 [0.79-0.87],5.635e-09,***,Cholesterol to Total-Lipids in Large LDL percentage
Total-FC,0.83 [0.79-0.87],9.814e-09,***,Total-Free Cholesterol
L-LDL-FC,0.83 [0.79-0.87],1.426e-08,***,Free Cholesterol in Large LDL
PUFA,0.83 [0.79-0.87],8.194e-09,***,Polyunsaturated Fatty Acids
Phosphoglyc,0.83 [0.79-0.87],5.475e-09,***,Phosphoglycerides
Total-P,0.82 [0.78-0.87],4.055e-08,***,Total-Concentration of Lipoprotein Particles
Total-PL,0.82 [0.78-0.86],1.033e-09,***,Total-Phospholipids in Lipoprotein Particles
M-HDL-CE,0.82 [0.78-0.86],3.429e-08,***,Cholesteryl Esters in Medium HDL
M-HDL-P,0.82 [0.78-0.86],6.244e-08,***,Concentration of Medium HDL Particles
Total-C,0.82 [0.78-0.86],3.997e-11,***,Total-Cholesterol
L-HDL-C%,0.82 [0.78-0.85],4.114e-13,***,Cholesterol to Total-Lipids in Large HDL percentage
L-LDL-FC%,0.82 [0.78-0.85],5.000e-12,***,Free Cholesterol to Total-Lipids in Large LDL percentage
L-HDL-FC%,0.82 [0.78-0.85],2.508e-15,***,Free Cholesterol to Total-Lipids in Large HDL percentage
M-HDL-C,0.81 [0.77-0.86],5.126e-09,***,Cholesterol in Medium HDL
M-VLDL-CE%,0.81 [0.78-0.85],1.075e-16,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
Total-CE,0.81 [0.78-0.85],8.208e-12,***,Total-Esterified Cholesterol
L-VLDL-C%,0.81 [0.77-0.86],3.724e-10,***,Cholesterol to Total-Lipids in Large VLDL percentage
Cholines,0.81 [0.77-0.85],1.933e-11,***,Total-Cholines
Omega-3,0.81 [0.77-0.86],2.578e-09,***,Omega-3 Fatty Acids
XS-VLDL-C,0.81 [0.77-0.85],8.416e-11,***,Cholesterol in Very Small VLDL
IDL-L,0.81 [0.77-0.85],3.343e-12,***,Total-Lipids in IDL
PC,0.81 [0.77-0.85],1.706e-11,***,Phosphatidylcholines
IDL-CE,0.81 [0.77-0.85],5.173e-12,***,Cholesteryl Esters in IDL
SM,0.81 [0.77-0.85],1.592e-11,***,Sphingomyelins
M-VLDL-PL%,0.81 [0.77-0.85],3.063e-14,***,Phospholipids to Total-Lipids in Medium VLDL percentage
S-VLDL-PL%,0.81 [0.77-0.85],8.613e-12,***,Phospholipids to Total-Lipids in Small VLDL percentage
S-VLDL-FC%,0.81 [0.77-0.85],6.181e-13,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
XXL-VLDL-FC%,0.81 [0.76-0.85],5.282e-08,***,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
IDL-C,0.81 [0.77-0.85],1.111e-12,***,Cholesterol in IDL
XS-VLDL-C%,0.80 [0.77-0.84],1.204e-14,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-CE%,0.80 [0.77-0.84],3.591e-15,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
ApoA1,0.80 [0.76-0.85],2.927e-11,***,Apolipoprotein A1
IDL-PL,0.80 [0.76-0.84],1.175e-12,***,Phospholipids in IDL
XS-VLDL-CE,0.80 [0.76-0.84],1.154e-12,***,Cholesteryl Esters in Very Small VLDL
Omega-3%,0.80 [0.76-0.84],4.061e-12,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
IDL-FC,0.80 [0.76-0.84],3.154e-13,***,Free Cholesterol in IDL
M-VLDL-C%,0.80 [0.76-0.83],1.684e-17,***,Cholesterol to Total-Lipids in Medium VLDL percentage
M-HDL-FC,0.80 [0.76-0.84],3.301e-11,***,Free Cholesterol in Medium HDL
M-VLDL-FC%,0.80 [0.76-0.83],1.213e-16,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
DHA%,0.80 [0.76-0.84],6.918e-13,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
HDL-PL,0.80 [0.75-0.84],3.747e-12,***,Phospholipids in HDL
PUFA%,0.79 [0.76-0.83],7.360e-15,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
XL-VLDL-CE%,0.78 [0.74-0.83],7.994e-14,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
L-VLDL-CE%,0.78 [0.74-0.82],6.286e-17,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
HDL-L,0.78 [0.74-0.82],2.497e-15,***,Total-Lipids in HDL
XL-VLDL-FC%,0.78 [0.74-0.82],3.754e-14,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
DHA,0.77 [0.73-0.82],6.765e-15,***,Docosahexaenoic Acid
XL-VLDL-C%,0.77 [0.73-0.82],5.288e-15,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
S-HDL-FC%,0.77 [0.73-0.81],3.468e-16,***,Free Cholesterol to Total-Lipids in Small HDL percentage
HDL-CE,0.76 [0.72-0.80],3.627e-18,***,Cholesteryl Esters in HDL
HDL-C,0.75 [0.71-0.79],2.572e-19,***,HDL Cholesterol
M-HDL-FC%,0.75 [0.71-0.79],5.138e-27,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
PUFA/MUFA,0.75 [0.71-0.79],1.627e-22,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
HDL-FC,0.74 [0.70-0.78],7.424e-21,***,Free Cholesterol in HDL
Unsaturation,0.73 [0.69-0.76],6.699e-30,***,Degree of Unsaturation
L-HDL-PL,0.72 [0.68-0.77],1.230e-21,***,Phospholipids in Large HDL
XL-HDL-FC,0.72 [0.68-0.77],1.687e-22,***,Free Cholesterol in Very Large HDL
HDL-size,0.71 [0.67-0.76],3.721e-23,***,Average Diameter for HDL Particles
L-HDL-L,0.71 [0.67-0.76],2.094e-24,***,Total-Lipids in Large HDL
L-HDL-C,0.70 [0.66-0.74],4.580e-26,***,Cholesterol in Large HDL
L-HDL-CE,0.70 [0.65-0.74],1.041e-25,***,Cholesteryl Esters in Large HDL
L-HDL-FC,0.69 [0.65-0.74],8.699e-26,***,Free Cholesterol in Large HDL
XL-HDL-PL,0.69 [0.65-0.74],2.017e-25,***,Phospholipids in Very Large HDL
L-HDL-P,0.69 [0.65-0.74],2.189e-25,***,Concentration of Large HDL Particles
XL-HDL-L,0.69 [0.64-0.73],3.246e-27,***,Total-Lipids in Very Large HDL
XL-HDL-P,0.68 [0.64-0.72],1.966e-27,***,Concentration of Very Large HDL Particles
XL-HDL-C,0.68 [0.64-0.72],1.991e-28,***,Cholesterol in Very Large HDL
XL-HDL-CE,0.67 [0.63-0.72],5.862e-29,***,Cholesteryl Esters in Very Large HDL
