Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-CE%,0.83 [0.79-0.87],5.330e-09,***,Cholesteryl Esters to Total-Lipids in IDL percentage
S-VLDL-PL%,0.82 [0.78-0.87],1.763e-07,***,Phospholipids to Total-Lipids in Small VLDL percentage
LDL-C,0.82 [0.78-0.87],6.009e-08,***,LDL Cholesterol
S-VLDL-FC%,0.82 [0.78-0.87],2.988e-08,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
Total-FC,0.82 [0.78-0.87],6.101e-08,***,Total-Free Cholesterol
L-LDL-L,0.82 [0.78-0.87],5.523e-08,***,Total-Lipids in Large LDL
L-LDL-CE,0.82 [0.78-0.87],1.057e-07,***,Cholesteryl Esters in Large LDL
M-LDL-FC,0.82 [0.78-0.87],2.300e-07,***,Free Cholesterol in Medium LDL
IDL-L,0.82 [0.78-0.87],2.159e-08,***,Total-Lipids in IDL
L-LDL-PL,0.82 [0.78-0.87],6.908e-08,***,Phospholipids in Large LDL
IDL-FC,0.82 [0.78-0.86],3.962e-08,***,Free Cholesterol in IDL
Clinical LDL-C,0.82 [0.78-0.86],2.628e-09,***,Clinical LDL Cholesterol
L-LDL-C,0.82 [0.78-0.86],1.118e-08,***,Cholesterol in Large LDL
M-VLDL-CE,0.82 [0.77-0.86],4.638e-08,***,Cholesteryl Esters in Medium VLDL
Total-C,0.82 [0.78-0.86],1.165e-09,***,Total-Cholesterol
Total-CE,0.81 [0.77-0.86],7.596e-10,***,Total-Esterified Cholesterol
LDL-FC,0.81 [0.77-0.86],3.173e-09,***,Free Cholesterol in LDL
IDL-C,0.81 [0.77-0.86],1.065e-09,***,Cholesterol in IDL
IDL-CE,0.81 [0.77-0.86],1.187e-09,***,Cholesteryl Esters in IDL
L-LDL-FC,0.81 [0.77-0.85],1.618e-09,***,Free Cholesterol in Large LDL
L-LDL-C%,0.80 [0.76-0.84],5.156e-13,***,Cholesterol to Total-Lipids in Large LDL percentage
