Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-HDL-FC,0.71 [0.66-0.77],6.903e-12,***,Free Cholesterol in Medium HDL
M-HDL-FC%,0.71 [0.67-0.76],1.391e-18,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
XL-HDL-FC,0.71 [0.65-0.77],1.149e-09,***,Free Cholesterol in Very Large HDL
HDL-PL,0.71 [0.66-0.76],1.206e-13,***,Phospholipids in HDL
HDL-L,0.70 [0.65-0.75],3.204e-15,***,Total-Lipids in HDL
HDL-CE,0.68 [0.63-0.73],1.711e-16,***,Cholesteryl Esters in HDL
HDL-C,0.67 [0.62-0.73],3.383e-17,***,HDL Cholesterol
HDL-FC,0.67 [0.61-0.72],9.744e-17,***,Free Cholesterol in HDL
XL-HDL-P,0.64 [0.59-0.71],2.684e-14,***,Concentration of Very Large HDL Particles
XL-HDL-C,0.64 [0.58-0.70],6.025e-16,***,Cholesterol in Very Large HDL
XL-HDL-L,0.63 [0.58-0.69],1.282e-16,***,Total-Lipids in Very Large HDL
L-HDL-PL,0.63 [0.58-0.69],1.245e-19,***,Phospholipids in Large HDL
XL-HDL-PL,0.63 [0.57-0.69],1.092e-16,***,Phospholipids in Very Large HDL
L-HDL-L,0.62 [0.57-0.68],6.325e-21,***,Total-Lipids in Large HDL
XL-HDL-CE,0.62 [0.57-0.68],4.977e-17,***,Cholesteryl Esters in Very Large HDL
HDL-size,0.62 [0.57-0.68],2.056e-20,***,Average Diameter for HDL Particles
L-HDL-CE,0.61 [0.56-0.67],1.072e-19,***,Cholesteryl Esters in Large HDL
L-HDL-C,0.61 [0.56-0.67],3.369e-20,***,Cholesterol in Large HDL
L-HDL-FC,0.61 [0.55-0.67],1.784e-19,***,Free Cholesterol in Large HDL
L-HDL-P,0.61 [0.55-0.67],8.501e-19,***,Concentration of Large HDL Particles
