Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
LDL-L,0.82 [0.77-0.86],9.639e-08,***,Total-Lipids in LDL
LDL-PL,0.81 [0.77-0.86],2.453e-07,***,Phospholipids in LDL
S-VLDL-CE%,0.81 [0.77-0.86],6.992e-09,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
M-LDL-FC,0.81 [0.77-0.86],4.508e-07,***,Free Cholesterol in Medium LDL
XL-HDL-PL%,0.81 [0.77-0.85],9.479e-14,***,Phospholipids to Total-Lipids in Very Large HDL percentage
Total-L,0.81 [0.76-0.85],1.627e-09,***,Total-Lipids in Lipoprotein Particles
XS-VLDL-FC,0.80 [0.76-0.85],1.431e-07,***,Free Cholesterol in Very Small VLDL
LDL-C,0.80 [0.76-0.85],2.058e-09,***,LDL Cholesterol
LDL-size,0.80 [0.75-0.84],2.070e-11,***,Average Diameter for LDL Particles
Non-HDL-C,0.80 [0.75-0.84],4.199e-11,***,Total-Cholesterol Minus HDL-C
M-LDL-FC%,0.79 [0.75-0.84],2.390e-13,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
PUFA/MUFA,0.79 [0.75-0.84],2.431e-09,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
M-VLDL-C,0.79 [0.75-0.84],1.190e-09,***,Cholesterol in Medium VLDL
Remnant-C,0.79 [0.75-0.84],3.149e-11,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
S-HDL-FC%,0.79 [0.74-0.84],1.252e-08,***,Free Cholesterol to Total-Lipids in Small HDL percentage
L-LDL-CE,0.79 [0.75-0.83],3.588e-11,***,Cholesteryl Esters in Large LDL
Unsaturation,0.79 [0.74-0.83],9.595e-11,***,Degree of Unsaturation
PUFA,0.79 [0.74-0.83],1.727e-11,***,Polyunsaturated Fatty Acids
L-LDL-L,0.79 [0.74-0.83],3.200e-12,***,Total-Lipids in Large LDL
Clinical LDL-C,0.78 [0.74-0.83],3.758e-13,***,Clinical LDL Cholesterol
LA,0.78 [0.74-0.83],3.326e-12,***,Linoleic Acid
L-VLDL-C%,0.78 [0.74-0.83],1.199e-11,***,Cholesterol to Total-Lipids in Large VLDL percentage
S-LDL-C%,0.78 [0.74-0.82],2.166e-16,***,Cholesterol to Total-Lipids in Small LDL percentage
L-LDL-PL,0.78 [0.73-0.82],1.134e-12,***,Phospholipids in Large LDL
L-LDL-C,0.78 [0.73-0.82],1.597e-13,***,Cholesterol in Large LDL
Omega-6,0.78 [0.73-0.82],2.033e-13,***,Omega-6 Fatty Acids
L-HDL-CE%,0.77 [0.74-0.81],5.068e-23,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
LA%,0.77 [0.73-0.82],5.876e-14,***,Linoleic Acid to Total-Fatty Acids percentage
IDL-P,0.77 [0.73-0.82],1.789e-12,***,Concentration of IDL Particles
M-LDL-C%,0.77 [0.74-0.81],1.455e-19,***,Cholesterol to Total-Lipids in Medium LDL percentage
LDL-FC,0.77 [0.73-0.82],4.640e-14,***,Free Cholesterol in LDL
M-HDL-C%,0.77 [0.73-0.81],5.885e-17,***,Cholesterol to Total-Lipids in Medium HDL percentage
S-VLDL-C%,0.77 [0.73-0.81],1.166e-17,***,Cholesterol to Total-Lipids in Small VLDL percentage
M-VLDL-CE%,0.76 [0.73-0.79],5.111e-31,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-HDL-PL,0.76 [0.72-0.81],1.608e-13,***,Phospholipids in Medium HDL
IDL-C%,0.76 [0.72-0.80],6.172e-24,***,Cholesterol to Total-Lipids in IDL percentage
L-HDL-FC%,0.76 [0.73-0.79],4.510e-29,***,Free Cholesterol to Total-Lipids in Large HDL percentage
Phosphoglyc,0.75 [0.71-0.80],1.907e-17,***,Phosphoglycerides
IDL-CE%,0.75 [0.72-0.79],3.015e-24,***,Cholesteryl Esters to Total-Lipids in IDL percentage
