Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
HDL-size,1.14 [1.08-1.19],0.173,,Average Diameter for HDL Particles
PUFA/MUFA,1.10 [1.05-1.17],1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
M-LDL-FC%,1.09 [1.03-1.15],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Omega-6/Omega-3,1.07 [1.02-1.12],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
HDL-CE,1.05 [1.00-1.10],1.000,,Cholesteryl Esters in HDL
Total-FA,0.88 [0.83-0.92],0.044,*,Total-Fatty Acids
VLDL-L,0.88 [0.83-0.92],0.014,*,Total-Lipids in VLDL
XL-VLDL-FC,0.87 [0.83-0.92],0.034,*,Free Cholesterol in Very Large VLDL
L-VLDL-PL,0.87 [0.83-0.92],0.015,*,Phospholipids in Large VLDL
MUFA,0.87 [0.83-0.92],0.028,*,Monounsaturated Fatty Acids
Total-TG,0.87 [0.83-0.92],0.015,*,Total-Triglycerides
XL-VLDL-PL,0.87 [0.83-0.92],0.023,*,Phospholipids in Very Large VLDL
L-VLDL-FC,0.87 [0.83-0.91],0.010,**,Free Cholesterol in Large VLDL
M-VLDL-TG,0.87 [0.83-0.91],0.007,**,Triglycerides in Medium VLDL
L-VLDL-P,0.87 [0.83-0.91],0.016,*,Concentration of Large VLDL Particles
XL-HDL-TG%,0.87 [0.82-0.91],0.021,*,Triglycerides to Total-Lipids in Very Large HDL percentage
VLDL-TG,0.87 [0.82-0.91],0.006,**,Triglycerides in VLDL
L-VLDL-L,0.87 [0.82-0.91],0.005,**,Total-Lipids in Large VLDL
XL-VLDL-P,0.87 [0.82-0.91],0.015,*,Concentration of Very Large VLDL Particles
XL-VLDL-L,0.87 [0.82-0.91],0.008,**,Total-Lipids in Very Large VLDL
XL-VLDL-TG,0.86 [0.82-0.91],0.013,*,Triglycerides in Very Large VLDL
L-VLDL-TG,0.86 [0.82-0.91],0.004,**,Triglycerides in Large VLDL
VLDL-size,0.86 [0.81-0.90],6.536e-04,***,Average Diameter for VLDL Particles
