Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-HDL-PL,0.79 [0.72-0.86],0.031,*,Phospholipids in Large HDL
M-LDL-FC,0.79 [0.73-0.84],1.902e-05,***,Free Cholesterol in Medium LDL
M-HDL-CE%,0.78 [0.73-0.84],1.051e-06,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
Total-FC,0.78 [0.73-0.84],3.942e-06,***,Total-Free Cholesterol
L-LDL-C,0.78 [0.73-0.84],2.847e-06,***,Cholesterol in Large LDL
L-LDL-PL,0.77 [0.72-0.83],7.326e-07,***,Phospholipids in Large LDL
XXL-VLDL-CE%,0.77 [0.72-0.83],3.326e-06,***,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-LDL-FC,0.77 [0.72-0.83],1.472e-07,***,Free Cholesterol in Small LDL
XS-VLDL-C,0.77 [0.71-0.82],1.525e-07,***,Cholesterol in Very Small VLDL
Clinical LDL-C,0.77 [0.72-0.82],8.912e-09,***,Clinical LDL Cholesterol
S-HDL-C%,0.77 [0.71-0.82],3.251e-08,***,Cholesterol to Total-Lipids in Small HDL percentage
Total-C,0.77 [0.71-0.82],6.647e-08,***,Total-Cholesterol
M-VLDL-C,0.77 [0.71-0.82],9.822e-08,***,Cholesterol in Medium VLDL
Total-CE,0.76 [0.71-0.82],2.458e-08,***,Total-Esterified Cholesterol
IDL-P,0.76 [0.71-0.82],8.995e-09,***,Concentration of IDL Particles
IDL-FC%,0.76 [0.71-0.81],1.076e-09,***,Free Cholesterol to Total-Lipids in IDL percentage
XXL-VLDL-C%,0.76 [0.70-0.82],6.684e-06,***,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-HDL-C%,0.75 [0.70-0.81],4.115e-10,***,Cholesterol to Total-Lipids in Medium HDL percentage
LDL-FC,0.75 [0.70-0.80],3.995e-10,***,Free Cholesterol in LDL
HDL-size,0.75 [0.68-0.82],7.711e-05,***,Average Diameter for HDL Particles
L-HDL-L,0.75 [0.68-0.81],2.323e-05,***,Total-Lipids in Large HDL
S-VLDL-CE%,0.74 [0.70-0.79],9.859e-14,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
S-LDL-FC%,0.74 [0.70-0.79],2.150e-17,***,Free Cholesterol to Total-Lipids in Small LDL percentage
IDL-PL,0.74 [0.69-0.80],2.056e-10,***,Phospholipids in IDL
L-HDL-P,0.74 [0.68-0.81],2.668e-05,***,Concentration of Large HDL Particles
IDL-L,0.74 [0.69-0.79],2.030e-11,***,Total-Lipids in IDL
XS-VLDL-CE,0.74 [0.69-0.79],4.223e-11,***,Cholesteryl Esters in Very Small VLDL
L-HDL-FC,0.73 [0.67-0.80],5.143e-06,***,Free Cholesterol in Large HDL
L-HDL-FC%,0.73 [0.68-0.78],1.374e-14,***,Free Cholesterol to Total-Lipids in Large HDL percentage
L-LDL-FC,0.73 [0.68-0.79],5.979e-12,***,Free Cholesterol in Large LDL
L-VLDL-C%,0.72 [0.67-0.78],1.393e-13,***,Cholesterol to Total-Lipids in Large VLDL percentage
M-VLDL-PL%,0.72 [0.67-0.76],3.551e-19,***,Phospholipids to Total-Lipids in Medium VLDL percentage
XL-HDL-PL,0.72 [0.66-0.78],8.627e-08,***,Phospholipids in Very Large HDL
S-LDL-C%,0.72 [0.67-0.76],5.146e-19,***,Cholesterol to Total-Lipids in Small LDL percentage
M-VLDL-CE,0.72 [0.67-0.77],5.805e-14,***,Cholesteryl Esters in Medium VLDL
IDL-CE,0.72 [0.67-0.77],5.832e-15,***,Cholesteryl Esters in IDL
XL-HDL-P,0.72 [0.65-0.78],4.574e-08,***,Concentration of Very Large HDL Particles
IDL-FC,0.72 [0.67-0.77],2.356e-14,***,Free Cholesterol in IDL
IDL-C,0.71 [0.67-0.77],2.799e-15,***,Cholesterol in IDL
XS-VLDL-FC%,0.71 [0.67-0.76],4.208e-19,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
M-HDL-FC%,0.71 [0.65-0.77],3.937e-11,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
Unsaturation,0.71 [0.66-0.77],2.586e-13,***,Degree of Unsaturation
IDL-CE%,0.71 [0.67-0.76],4.079e-21,***,Cholesteryl Esters to Total-Lipids in IDL percentage
L-HDL-C,0.71 [0.65-0.77],1.223e-08,***,Cholesterol in Large HDL
XL-HDL-FC,0.70 [0.65-0.76],8.476e-12,***,Free Cholesterol in Very Large HDL
L-HDL-CE,0.70 [0.64-0.77],8.066e-09,***,Cholesteryl Esters in Large HDL
M-VLDL-CE%,0.70 [0.67-0.74],1.759e-30,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
XL-HDL-L,0.70 [0.64-0.77],1.144e-09,***,Total-Lipids in Very Large HDL
M-LDL-FC%,0.70 [0.65-0.75],6.106e-20,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
L-HDL-CE%,0.70 [0.66-0.74],8.324e-24,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
S-VLDL-C%,0.69 [0.65-0.74],2.939e-22,***,Cholesterol to Total-Lipids in Small VLDL percentage
M-VLDL-FC%,0.69 [0.65-0.74],3.150e-24,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
IDL-C%,0.69 [0.65-0.73],7.027e-27,***,Cholesterol to Total-Lipids in IDL percentage
L-HDL-C%,0.68 [0.64-0.73],9.210e-27,***,Cholesterol to Total-Lipids in Large HDL percentage
M-VLDL-C%,0.68 [0.64-0.73],1.749e-28,***,Cholesterol to Total-Lipids in Medium VLDL percentage
M-LDL-C%,0.68 [0.64-0.72],2.111e-32,***,Cholesterol to Total-Lipids in Medium LDL percentage
XL-HDL-C,0.67 [0.62-0.74],6.802e-13,***,Cholesterol in Very Large HDL
XL-HDL-CE,0.67 [0.61-0.73],1.851e-12,***,Cholesteryl Esters in Very Large HDL
L-VLDL-CE%,0.67 [0.62-0.72],4.533e-22,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
XL-VLDL-FC%,0.67 [0.62-0.73],9.221e-18,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
L-LDL-C%,0.67 [0.62-0.71],4.619e-27,***,Cholesterol to Total-Lipids in Large LDL percentage
Omega-6%,0.67 [0.62-0.72],5.428e-24,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
L-LDL-FC%,0.66 [0.62-0.70],1.670e-33,***,Free Cholesterol to Total-Lipids in Large LDL percentage
PUFA%,0.66 [0.61-0.71],1.149e-25,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
S-VLDL-FC%,0.65 [0.61-0.70],2.485e-30,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
S-VLDL-PL%,0.65 [0.60-0.69],4.007e-28,***,Phospholipids to Total-Lipids in Small VLDL percentage
XL-VLDL-CE%,0.64 [0.60-0.69],1.576e-24,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
LA%,0.64 [0.60-0.69],8.285e-29,***,Linoleic Acid to Total-Fatty Acids percentage
XL-VLDL-C%,0.63 [0.58-0.69],1.500e-23,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
XS-VLDL-CE%,0.63 [0.59-0.67],8.690e-42,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
XS-VLDL-C%,0.63 [0.59-0.67],8.271e-41,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
PUFA/MUFA,0.62 [0.58-0.67],4.675e-26,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
