Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-VLDL-C%,0.95 [0.94-0.96],2.200e-07,***,Cholesterol to Total-Lipids in Large VLDL percentage
S-LDL-P,0.95 [0.94-0.96],9.530e-08,***,Concentration of Small LDL Particles
L-HDL-FC,0.95 [0.93-0.96],3.003e-06,***,Free Cholesterol in Large HDL
His,0.95 [0.93-0.96],8.733e-08,***,Histidine
M-LDL-CE,0.95 [0.93-0.96],3.633e-08,***,Cholesteryl Esters in Medium LDL
XL-HDL-L,0.95 [0.93-0.96],2.597e-07,***,Total-Lipids in Very Large HDL
S-LDL-PL,0.95 [0.93-0.96],1.413e-09,***,Phospholipids in Small LDL
M-LDL-PL,0.95 [0.93-0.96],1.792e-09,***,Phospholipids in Medium LDL
Acetate,0.95 [0.93-0.96],1.328e-08,***,Acetate
S-LDL-CE,0.95 [0.93-0.96],2.795e-09,***,Cholesteryl Esters in Small LDL
M-LDL-L,0.95 [0.93-0.96],2.128e-09,***,Total-Lipids in Medium LDL
L-HDL-P,0.95 [0.93-0.96],1.374e-07,***,Concentration of Large HDL Particles
L-HDL-L,0.95 [0.93-0.96],7.493e-07,***,Total-Lipids in Large HDL
SM,0.95 [0.93-0.96],2.987e-08,***,Sphingomyelins
XL-HDL-P,0.95 [0.93-0.96],9.368e-09,***,Concentration of Very Large HDL Particles
S-LDL-L,0.94 [0.93-0.96],4.083e-10,***,Total-Lipids in Small LDL
XS-VLDL-CE,0.94 [0.93-0.96],1.437e-10,***,Cholesteryl Esters in Very Small VLDL
Omega-6,0.94 [0.93-0.96],2.722e-09,***,Omega-6 Fatty Acids
Omega-3,0.94 [0.93-0.96],1.021e-09,***,Omega-3 Fatty Acids
ApoB,0.94 [0.93-0.96],5.074e-11,***,Apolipoprotein B
M-LDL-P,0.94 [0.93-0.96],6.776e-11,***,Concentration of Medium LDL Particles
L-LDL-P,0.94 [0.93-0.96],2.503e-11,***,Concentration of Large LDL Particles
LDL-P,0.94 [0.93-0.96],1.763e-11,***,Concentration of LDL Particles
S-VLDL-CE%,0.94 [0.93-0.95],6.156e-12,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
Remnant-C,0.94 [0.93-0.95],1.065e-11,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
M-LDL-C,0.94 [0.93-0.95],2.926e-12,***,Cholesterol in Medium LDL
IDL-P,0.94 [0.93-0.95],2.430e-14,***,Concentration of IDL Particles
HDL-C,0.94 [0.92-0.95],4.838e-10,***,HDL Cholesterol
S-LDL-C,0.94 [0.92-0.95],5.432e-14,***,Cholesterol in Small LDL
XL-HDL-C,0.94 [0.92-0.95],2.286e-12,***,Cholesterol in Very Large HDL
XL-VLDL-FC%,0.94 [0.92-0.95],6.445e-14,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
HDL-CE,0.94 [0.92-0.95],6.474e-11,***,Cholesteryl Esters in HDL
L-HDL-FC%,0.94 [0.92-0.95],1.046e-08,***,Free Cholesterol to Total-Lipids in Large HDL percentage
PUFA,0.94 [0.92-0.95],6.904e-13,***,Polyunsaturated Fatty Acids
L-HDL-C,0.94 [0.92-0.95],1.273e-11,***,Cholesterol in Large HDL
LDL-L,0.93 [0.92-0.95],3.065e-15,***,Total-Lipids in LDL
LA,0.93 [0.92-0.95],1.936e-14,***,Linoleic Acid
LDL-CE,0.93 [0.92-0.95],2.162e-15,***,Cholesteryl Esters in LDL
XL-HDL-CE,0.93 [0.92-0.95],1.184e-13,***,Cholesteryl Esters in Very Large HDL
L-HDL-CE,0.93 [0.92-0.95],1.462e-12,***,Cholesteryl Esters in Large HDL
LDL-PL,0.93 [0.92-0.95],2.623e-16,***,Phospholipids in LDL
L-VLDL-CE%,0.93 [0.92-0.95],1.274e-14,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
Non-HDL-C,0.93 [0.92-0.95],4.325e-16,***,Total-Cholesterol Minus HDL-C
IDL-PL,0.93 [0.92-0.95],2.105e-16,***,Phospholipids in IDL
M-VLDL-C,0.93 [0.92-0.95],1.774e-17,***,Cholesterol in Medium VLDL
Omega-3%,0.93 [0.92-0.94],1.164e-16,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
L-LDL-L,0.93 [0.92-0.94],4.934e-18,***,Total-Lipids in Large LDL
S-HDL-CE%,0.93 [0.92-0.94],5.152e-19,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
L-LDL-CE,0.93 [0.92-0.94],1.622e-18,***,Cholesteryl Esters in Large LDL
Citrate,0.93 [0.92-0.94],2.334e-18,***,Citrate
LDL-C,0.93 [0.92-0.94],4.408e-19,***,LDL Cholesterol
Total-FC,0.93 [0.92-0.94],1.740e-18,***,Total-Free Cholesterol
M-VLDL-PL%,0.93 [0.91-0.94],2.084e-18,***,Phospholipids to Total-Lipids in Medium VLDL percentage
L-LDL-PL,0.93 [0.91-0.94],1.577e-20,***,Phospholipids in Large LDL
IDL-L,0.93 [0.91-0.94],8.708e-20,***,Total-Lipids in IDL
XS-VLDL-FC%,0.92 [0.91-0.94],4.477e-19,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
L-LDL-C,0.92 [0.91-0.94],8.922e-22,***,Cholesterol in Large LDL
M-LDL-FC,0.92 [0.91-0.94],4.470e-23,***,Free Cholesterol in Medium LDL
XL-VLDL-C%,0.92 [0.91-0.94],3.001e-21,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
M-HDL-CE%,0.92 [0.91-0.94],1.897e-20,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
Clinical LDL-C,0.92 [0.91-0.94],1.288e-23,***,Clinical LDL Cholesterol
XL-VLDL-CE%,0.92 [0.91-0.94],6.113e-22,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
S-LDL-FC,0.92 [0.91-0.94],5.147e-25,***,Free Cholesterol in Small LDL
Total-C,0.92 [0.91-0.93],1.310e-22,***,Total-Cholesterol
M-VLDL-CE,0.92 [0.91-0.93],8.002e-26,***,Cholesteryl Esters in Medium VLDL
S-VLDL-C%,0.92 [0.91-0.93],3.614e-25,***,Cholesterol to Total-Lipids in Small VLDL percentage
XL-HDL-CE%,0.92 [0.91-0.93],1.389e-20,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
Total-CE,0.92 [0.91-0.93],8.142e-24,***,Total-Esterified Cholesterol
IDL-CE,0.92 [0.91-0.93],8.980e-26,***,Cholesteryl Esters in IDL
DHA,0.92 [0.91-0.93],3.657e-23,***,Docosahexaenoic Acid
S-LDL-FC%,0.92 [0.91-0.93],9.954e-27,***,Free Cholesterol to Total-Lipids in Small LDL percentage
M-VLDL-FC%,0.92 [0.90-0.93],4.972e-25,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
IDL-C,0.92 [0.90-0.93],6.010e-27,***,Cholesterol in IDL
LDL-FC,0.92 [0.90-0.93],4.825e-28,***,Free Cholesterol in LDL
IDL-FC,0.92 [0.90-0.93],8.151e-28,***,Free Cholesterol in IDL
IDL-FC%,0.92 [0.90-0.93],5.643e-26,***,Free Cholesterol to Total-Lipids in IDL percentage
