Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-VLDL-CE,0.93 [0.91-0.95],1.614e-10,***,Cholesteryl Esters in Medium VLDL
IDL-FC,0.93 [0.91-0.95],3.280e-10,***,Free Cholesterol in IDL
S-VLDL-FC,0.93 [0.91-0.94],3.634e-11,***,Free Cholesterol in Small VLDL
Creatinine,0.93 [0.91-0.95],3.197e-06,***,Creatinine
M-VLDL-PL,0.93 [0.91-0.94],1.384e-11,***,Phospholipids in Medium VLDL
M-VLDL-C,0.93 [0.91-0.94],3.881e-12,***,Cholesterol in Medium VLDL
Remnant-C,0.93 [0.91-0.94],6.295e-12,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
IDL-C,0.93 [0.91-0.94],1.300e-11,***,Cholesterol in IDL
M-VLDL-FC,0.93 [0.91-0.94],2.388e-12,***,Free Cholesterol in Medium VLDL
IDL-CE,0.92 [0.91-0.94],7.273e-12,***,Cholesteryl Esters in IDL
Total-FC,0.92 [0.91-0.94],1.081e-11,***,Total-Free Cholesterol
S-HDL-C,0.92 [0.91-0.94],3.736e-11,***,Cholesterol in Small HDL
M-VLDL-L,0.92 [0.91-0.94],3.796e-12,***,Total-Lipids in Medium VLDL
M-VLDL-P,0.92 [0.91-0.94],2.092e-12,***,Concentration of Medium VLDL Particles
S-HDL-P,0.92 [0.91-0.94],7.095e-12,***,Concentration of Small HDL Particles
ApoB,0.92 [0.91-0.94],1.482e-13,***,Apolipoprotein B
IDL-CE%,0.92 [0.91-0.94],1.181e-12,***,Cholesteryl Esters to Total-Lipids in IDL percentage
S-HDL-CE,0.92 [0.91-0.94],2.906e-12,***,Cholesteryl Esters in Small HDL
Total-C,0.92 [0.91-0.94],2.180e-12,***,Total-Cholesterol
LDL-P,0.92 [0.91-0.94],8.783e-14,***,Concentration of LDL Particles
Total-CE,0.92 [0.90-0.94],2.203e-12,***,Total-Esterified Cholesterol
IDL-C%,0.92 [0.91-0.94],4.352e-13,***,Cholesterol to Total-Lipids in IDL percentage
S-LDL-PL,0.92 [0.90-0.94],9.428e-15,***,Phospholipids in Small LDL
S-LDL-P,0.92 [0.90-0.94],1.013e-14,***,Concentration of Small LDL Particles
L-LDL-C%,0.92 [0.90-0.94],5.631e-13,***,Cholesterol to Total-Lipids in Large LDL percentage
Non-HDL-C,0.92 [0.90-0.93],6.180e-17,***,Total-Cholesterol Minus HDL-C
XL-HDL-C%,0.91 [0.90-0.93],1.709e-11,***,Cholesterol to Total-Lipids in Very Large HDL percentage
M-LDL-C%,0.91 [0.90-0.93],3.873e-19,***,Cholesterol to Total-Lipids in Medium LDL percentage
L-LDL-L,0.91 [0.90-0.93],1.345e-17,***,Total-Lipids in Large LDL
L-LDL-CE,0.91 [0.90-0.93],7.884e-18,***,Cholesteryl Esters in Large LDL
L-LDL-FC,0.91 [0.90-0.93],6.308e-18,***,Free Cholesterol in Large LDL
S-LDL-L,0.91 [0.90-0.93],1.773e-18,***,Total-Lipids in Small LDL
L-LDL-C,0.91 [0.90-0.93],2.685e-18,***,Cholesterol in Large LDL
S-LDL-CE,0.91 [0.89-0.93],5.495e-19,***,Cholesteryl Esters in Small LDL
L-LDL-PL,0.91 [0.89-0.93],1.799e-19,***,Phospholipids in Large LDL
LDL-L,0.91 [0.89-0.93],8.103e-20,***,Total-Lipids in LDL
LDL-PL,0.91 [0.89-0.92],1.738e-20,***,Phospholipids in LDL
Clinical LDL-C,0.91 [0.89-0.92],7.469e-21,***,Clinical LDL Cholesterol
LDL-CE,0.91 [0.89-0.92],2.673e-20,***,Cholesteryl Esters in LDL
M-LDL-P,0.91 [0.89-0.92],4.557e-20,***,Concentration of Medium LDL Particles
LDL-FC,0.91 [0.89-0.92],1.660e-20,***,Free Cholesterol in LDL
S-LDL-FC,0.91 [0.89-0.92],1.798e-21,***,Free Cholesterol in Small LDL
S-LDL-C,0.91 [0.89-0.92],6.100e-21,***,Cholesterol in Small LDL
LDL-C,0.91 [0.89-0.92],6.378e-21,***,LDL Cholesterol
M-LDL-PL,0.90 [0.89-0.92],5.894e-22,***,Phospholipids in Medium LDL
M-LDL-L,0.90 [0.89-0.92],7.233e-23,***,Total-Lipids in Medium LDL
M-LDL-CE,0.90 [0.89-0.92],7.958e-23,***,Cholesteryl Esters in Medium LDL
M-LDL-FC,0.90 [0.89-0.92],3.509e-24,***,Free Cholesterol in Medium LDL
M-LDL-C,0.90 [0.88-0.92],3.051e-24,***,Cholesterol in Medium LDL
Leu,0.90 [0.88-0.92],4.631e-20,***,Leucine
S-LDL-C%,0.90 [0.88-0.92],1.219e-24,***,Cholesterol to Total-Lipids in Small LDL percentage
Total-BCAA,0.90 [0.88-0.91],4.717e-22,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Albumin,0.90 [0.88-0.91],9.460e-28,***,Albumin
Val,0.89 [0.87-0.91],1.313e-25,***,Valine
