Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
L-LDL-TG%,0.0698,0.1630,Triglycerides to Total-Lipids in Large LDL percentage
Albumin,0.1617,0.1256,Albumin
Creatinine,0.1143,0.1137,Creatinine
IDL-CE%,0.0522,0.1046,Cholesteryl Esters to Total-Lipids in IDL percentage
GlycA,0.0785,0.0596,Glycoprotein Acetyls
S-LDL-PL%,0.0540,0.0568,Phospholipids to Total-Lipids in Small LDL percentage
Omega-6%,0.0505,0.0508,Omega-6 Fatty Acids to Total-Fatty Acids percentage
3-Hydroxybutyrate,0.0630,0.0448,3-Hydroxybutyrate
S-LDL-CE%,0.0495,0.0433,Cholesteryl Esters to Total-Lipids in Small LDL percentage
LA,0.0383,0.0432,Linoleic Acid
His,0.0512,0.0358,Histidine
Leu,0.0242,0.0212,Leucine
LA%,0.0200,0.0203,Linoleic Acid to Total-Fatty Acids percentage
Omega-6/Omega-3,0.0282,0.0199,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Acetoacetate,0.0237,0.0160,Acetoacetate
S-LDL-C%,0.0145,0.0132,Cholesterol to Total-Lipids in Small LDL percentage
Glu,0.0190,0.0119,Glucose
Glu-lactate,0.0160,0.0103,Glucose-lactate
L-VLDL-PL%,0.0123,0.0086,Phospholipids to Total-Lipids in Large VLDL percentage
S-HDL-CE,0.0120,0.0081,Cholesteryl Esters in Small HDL
Citrate,0.0102,0.0063,Citrate
DHA%,0.0085,0.0050,Docosahexaenoic Acid to Total-Fatty Acids percentage
IDL-FC%,0.0048,0.0036,Free Cholesterol to Total-Lipids in IDL percentage
S-HDL-P,0.0050,0.0034,Concentration of Small HDL Particles
Sc-ala,0.0052,0.0034,Spectrometer-corrected alanine
XXL-VLDL-CE,0.0030,0.0018,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
DHA,0.0023,0.0015,Docosahexaenoic Acid
S-HDL-C,0.0013,0.0008,Cholesterol in Small HDL
L-LDL-C%,0.0010,0.0007,Cholesterol to Total-Lipids in Large LDL percentage
Pyruvate,0.0017,0.0007,Pyruvate
Gly,0.0012,0.0006,Glycine
SFA%,0.0010,0.0005,Saturated Fatty Acids to Total-Fatty Acids percentage
Acetone,0.0005,0.0002,Acetone
XS-VLDL-FC%,0.0003,0.0002,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
XL-HDL-CE%,0.0003,0.0002,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
L-HDL-TG,0.0003,9.6699e-05,Triglycerides in Large HDL
IDL-PL,0.0002,7.7890e-05,Phospholipids in IDL
LDL-size,0.0002,5.7828e-05,Average Diameter for LDL Particles
Omega-3%,0.0002,5.7784e-05,Omega-3 Fatty Acids to Total-Fatty Acids percentage
