Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
L-HDL-PL%,0.1495,0.3050,Phospholipids to Total-Lipids in Large HDL percentage
GlycA,0.2513,0.1842,Glycoprotein Acetyls
Albumin,0.2388,0.1827,Albumin
L-LDL-C%,0.0642,0.1367,Cholesterol to Total-Lipids in Large LDL percentage
MUFA%,0.0335,0.0512,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Glu-lactate,0.0520,0.0359,Glucose-lactate
PUFA/MUFA,0.0342,0.0299,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
Pyruvate,0.0232,0.0113,Pyruvate
LA%,0.0095,0.0089,Linoleic Acid to Total-Fatty Acids percentage
LA,0.0147,0.0071,Linoleic Acid
Tyr,0.0158,0.0063,Tyrosine
L-VLDL-FC%,0.0158,0.0053,Free Cholesterol to Total-Lipids in Large VLDL percentage
DHA,0.0105,0.0046,Docosahexaenoic Acid
XS-VLDL-PL%,0.0185,0.0040,Phospholipids to Total-Lipids in Very Small VLDL percentage
3-Hydroxybutyrate,0.0080,0.0035,3-Hydroxybutyrate
S-LDL-CE%,0.0083,0.0034,Cholesteryl Esters to Total-Lipids in Small LDL percentage
DHA%,0.0077,0.0029,Docosahexaenoic Acid to Total-Fatty Acids percentage
L-LDL-CE%,0.0085,0.0029,Cholesteryl Esters to Total-Lipids in Large LDL percentage
VLDL-size,0.0052,0.0026,Average Diameter for VLDL Particles
Glu,0.0042,0.0022,Glucose
L-HDL-TG,0.0068,0.0020,Triglycerides in Large HDL
Omega-3,0.0045,0.0015,Omega-3 Fatty Acids
XS-VLDL-FC%,0.0043,0.0014,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
Omega-3%,0.0023,0.0009,Omega-3 Fatty Acids to Total-Fatty Acids percentage
PUFA%,0.0013,0.0006,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
L-VLDL-CE,0.0007,0.0005,Cholesteryl Esters in Large VLDL
S-LDL-PL%,0.0012,0.0004,Phospholipids to Total-Lipids in Small LDL percentage
IDL-FC%,0.0010,0.0004,Free Cholesterol to Total-Lipids in IDL percentage
PUFA,0.0008,0.0004,Polyunsaturated Fatty Acids
XL-HDL-FC%,0.0010,0.0003,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Creatinine,0.0008,0.0003,Creatinine
Sc-ala,0.0007,0.0002,Spectrometer-corrected alanine
Phe,0.0005,0.0002,Phenylalanine
Gln,0.0005,0.0001,Glutamine
His,0.0002,6.1576e-05,Histidine
