Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
M-LDL-TG%,0.0663,0.0624,Triglycerides to Total-Lipids in Medium LDL percentage
His,0.0640,0.0499,Histidine
Gln,0.0588,0.0462,Glutamine
Tyr,0.0527,0.0425,Tyrosine
Acetate,0.0433,0.0386,Acetate
Lactate,0.0340,0.0381,Lactate
Sc-ala,0.0298,0.0362,Spectrometer-corrected alanine
Pyruvate,0.0170,0.0360,Pyruvate
XXL-VLDL-CE%,0.0275,0.0335,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Ile,0.0263,0.0316,Isoleucine
GlycA,0.0212,0.0298,Glycoprotein Acetyls
Omega-3%,0.0272,0.0257,Omega-3 Fatty Acids to Total-Fatty Acids percentage
3-Hydroxybutyrate,0.0130,0.0215,3-Hydroxybutyrate
DHA%,0.0273,0.0211,Docosahexaenoic Acid to Total-Fatty Acids percentage
Gly,0.0173,0.0194,Glycine
LDL-size,0.0117,0.0188,Average Diameter for LDL Particles
L-LDL-TG%,0.0190,0.0181,Triglycerides to Total-Lipids in Large LDL percentage
Cholines,0.0167,0.0174,Total-Cholines
S-HDL-PL%,0.0128,0.0171,Phospholipids to Total-Lipids in Small HDL percentage
S-LDL-FC%,0.0100,0.0169,Free Cholesterol to Total-Lipids in Small LDL percentage
Albumin,0.0207,0.0168,Albumin
M-LDL-C%,0.0127,0.0167,Cholesterol to Total-Lipids in Medium LDL percentage
Phe,0.0283,0.0153,Phenylalanine
XS-VLDL-PL%,0.0215,0.0153,Phospholipids to Total-Lipids in Very Small VLDL percentage
S-LDL-FC,0.0150,0.0151,Free Cholesterol in Small LDL
Glu,0.0108,0.0149,Glucose
M-VLDL-C,0.0192,0.0146,Cholesterol in Medium VLDL
XL-HDL-CE%,0.0182,0.0144,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
Acetoacetate,0.0195,0.0140,Acetoacetate
Creatinine,0.0052,0.0138,Creatinine
L-VLDL-PL%,0.0182,0.0124,Phospholipids to Total-Lipids in Large VLDL percentage
VLDL-size,0.0100,0.0113,Average Diameter for VLDL Particles
Ala,0.0093,0.0108,Alanine
Unsaturation,0.0112,0.0095,Degree of Unsaturation
L-LDL-FC%,0.0043,0.0095,Free Cholesterol to Total-Lipids in Large LDL percentage
Citrate,0.0148,0.0095,Citrate
LA%,0.0043,0.0094,Linoleic Acid to Total-Fatty Acids percentage
DHA,0.0093,0.0092,Docosahexaenoic Acid
L-HDL-PL%,0.0073,0.0078,Phospholipids to Total-Lipids in Large HDL percentage
XS-VLDL-FC%,0.0073,0.0075,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
Omega-6/Omega-3,0.0082,0.0074,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Glu-lactate,0.0062,0.0073,Glucose-lactate
Leu,0.0057,0.0071,Leucine
