Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
GlycA,0.2288,0.2544,Glycoprotein Acetyls
Albumin,0.1690,0.1947,Albumin
IDL-CE%,0.0430,0.0895,Cholesteryl Esters to Total-Lipids in IDL percentage
S-LDL-CE%,0.0642,0.0688,Cholesteryl Esters to Total-Lipids in Small LDL percentage
S-LDL-PL,0.0633,0.0584,Phospholipids in Small LDL
IDL-C%,0.0297,0.0520,Cholesterol to Total-Lipids in IDL percentage
Val,0.0718,0.0511,Valine
Creatinine,0.0392,0.0285,Creatinine
Sc-ala,0.0385,0.0250,Spectrometer-corrected alanine
Glu,0.0363,0.0246,Glucose
Leu,0.0357,0.0189,Leucine
IDL-PL%,0.0188,0.0162,Phospholipids to Total-Lipids in IDL percentage
Total-BCAA,0.0293,0.0157,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Glu-lactate,0.0187,0.0156,Glucose-lactate
S-LDL-CE,0.0143,0.0112,Cholesteryl Esters in Small LDL
XXL-VLDL-TG%,0.0108,0.0108,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Total-C,0.0110,0.0104,Total-Cholesterol
S-LDL-PL%,0.0080,0.0089,Phospholipids to Total-Lipids in Small LDL percentage
XXL-VLDL-CE%,0.0103,0.0076,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-LDL-CE,0.0053,0.0065,Cholesteryl Esters in Medium LDL
M-LDL-C%,0.0080,0.0048,Cholesterol to Total-Lipids in Medium LDL percentage
Total-CE,0.0050,0.0044,Total-Esterified Cholesterol
Gly,0.0060,0.0037,Glycine
Citrate,0.0078,0.0033,Citrate
Lactate,0.0042,0.0028,Lactate
Ala,0.0038,0.0023,Alanine
XXL-VLDL-C%,0.0030,0.0020,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-LDL-C%,0.0025,0.0017,Cholesterol to Total-Lipids in Large LDL percentage
Omega-3%,0.0025,0.0011,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Omega-3,0.0025,0.0010,Omega-3 Fatty Acids
Omega-6/Omega-3,0.0028,0.0010,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Pyruvate,0.0022,0.0008,Pyruvate
Gln,0.0010,0.0007,Glutamine
XXL-VLDL-FC%,0.0005,0.0007,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Phe,0.0008,0.0003,Phenylalanine
3-Hydroxybutyrate,0.0007,0.0003,3-Hydroxybutyrate
Tyr,0.0003,0.0001,Tyrosine
LA%,0.0002,5.2148e-05,Linoleic Acid to Total-Fatty Acids percentage
