Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
XS-VLDL-CE%,0.0803,0.2803,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
LA%,0.0953,0.1421,Linoleic Acid to Total-Fatty Acids percentage
L-LDL-TG%,0.0637,0.1287,Triglycerides to Total-Lipids in Large LDL percentage
GlycA,0.1988,0.1017,Glycoprotein Acetyls
Glu-lactate,0.1605,0.0795,Glucose-lactate
IDL-CE,0.0358,0.0415,Cholesteryl Esters in IDL
XS-VLDL-CE,0.0395,0.0369,Cholesteryl Esters in Very Small VLDL
IDL-P,0.0307,0.0291,Concentration of IDL Particles
Glu,0.0477,0.0266,Glucose
Albumin,0.0987,0.0262,Albumin
LA,0.0265,0.0240,Linoleic Acid
S-LDL-CE%,0.0400,0.0206,Cholesteryl Esters to Total-Lipids in Small LDL percentage
L-HDL-PL%,0.0188,0.0189,Phospholipids to Total-Lipids in Large HDL percentage
IDL-TG%,0.0040,0.0175,Triglycerides to Total-Lipids in IDL percentage
IDL-CE%,0.0105,0.0054,Cholesteryl Esters to Total-Lipids in IDL percentage
M-VLDL-CE,0.0028,0.0041,Cholesteryl Esters in Medium VLDL
XL-HDL-TG,0.0093,0.0035,Triglycerides in Very Large HDL
Remnant-C,0.0037,0.0025,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
VLDL-CE,0.0040,0.0021,Cholesteryl Esters in VLDL
L-LDL-TG,0.0060,0.0018,Triglycerides in Large LDL
L-LDL-C%,0.0032,0.0013,Cholesterol to Total-Lipids in Large LDL percentage
3-Hydroxybutyrate,0.0042,0.0012,3-Hydroxybutyrate
XXL-VLDL-FC%,0.0047,0.0010,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-HDL-CE%,0.0023,0.0009,Cholesteryl Esters to Total-Lipids in Large HDL percentage
XS-VLDL-PL%,0.0017,0.0005,Phospholipids to Total-Lipids in Very Small VLDL percentage
DHA%,0.0018,0.0004,Docosahexaenoic Acid to Total-Fatty Acids percentage
VLDL-size,0.0008,0.0004,Average Diameter for VLDL Particles
Creatinine,0.0017,0.0004,Creatinine
XXL-VLDL-PL%,0.0010,0.0003,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Unsaturation,0.0005,9.9966e-05,Degree of Unsaturation
S-LDL-PL%,0.0007,9.6320e-05,Phospholipids to Total-Lipids in Small LDL percentage
XS-VLDL-C%,0.0007,9.5722e-05,Cholesterol to Total-Lipids in Very Small VLDL percentage
ApoB/ApoA1,0.0002,6.9617e-05,Apolipoprotein B to Apolipoprotein A1 ratio
