Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Creatinine,0.1562,0.1695,Creatinine
Gly,0.1450,0.1166,Glycine
His,0.0832,0.0903,Histidine
Omega-6/Omega-3,0.0832,0.0739,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Albumin,0.0418,0.0491,Albumin
Acetone,0.0573,0.0474,Acetone
DHA,0.0300,0.0427,Docosahexaenoic Acid
Omega-3,0.0423,0.0351,Omega-3 Fatty Acids
Pyruvate,0.0382,0.0301,Pyruvate
Gln,0.0158,0.0209,Glutamine
XL-VLDL-CE%,0.0258,0.0203,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
M-LDL-CE%,0.0107,0.0187,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
Phe,0.0150,0.0161,Phenylalanine
XS-VLDL-PL%,0.0095,0.0142,Phospholipids to Total-Lipids in Very Small VLDL percentage
LA%,0.0165,0.0141,Linoleic Acid to Total-Fatty Acids percentage
XXL-VLDL-FC%,0.0090,0.0132,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
GlycA,0.0148,0.0130,Glycoprotein Acetyls
3-Hydroxybutyrate,0.0177,0.0128,3-Hydroxybutyrate
Ala,0.0118,0.0125,Alanine
Omega-3%,0.0113,0.0112,Omega-3 Fatty Acids to Total-Fatty Acids percentage
M-LDL-C%,0.0088,0.0101,Cholesterol to Total-Lipids in Medium LDL percentage
L-VLDL-TG,0.0100,0.0097,Triglycerides in Large VLDL
Ile,0.0070,0.0081,Isoleucine
Val,0.0102,0.0080,Valine
XL-HDL-TG,0.0045,0.0074,Triglycerides in Very Large HDL
XXL-VLDL-CE%,0.0045,0.0066,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-HDL-P,0.0023,0.0066,Concentration of Very Large HDL Particles
Tyr,0.0062,0.0065,Tyrosine
LDL-size,0.0068,0.0064,Average Diameter for LDL Particles
L-VLDL-FC%,0.0062,0.0063,Free Cholesterol to Total-Lipids in Large VLDL percentage
XXL-VLDL-PL%,0.0065,0.0059,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-HDL-FC%,0.0053,0.0055,Free Cholesterol to Total-Lipids in Small HDL percentage
Sc-ala,0.0055,0.0052,Spectrometer-corrected alanine
XS-VLDL-C,0.0048,0.0044,Cholesterol in Very Small VLDL
Glu,0.0042,0.0043,Glucose
M-VLDL-PL%,0.0032,0.0040,Phospholipids to Total-Lipids in Medium VLDL percentage
L-HDL-C%,0.0037,0.0037,Cholesterol to Total-Lipids in Large HDL percentage
L-HDL-FC%,0.0023,0.0035,Free Cholesterol to Total-Lipids in Large HDL percentage
S-LDL-C%,0.0030,0.0034,Cholesterol to Total-Lipids in Small LDL percentage
Citrate,0.0038,0.0033,Citrate
Glu-lactate,0.0038,0.0033,Glucose-lactate
S-LDL-CE%,0.0025,0.0032,Cholesteryl Esters to Total-Lipids in Small LDL percentage
IDL-FC%,0.0020,0.0031,Free Cholesterol to Total-Lipids in IDL percentage
XL-HDL-FC%,0.0017,0.0030,Free Cholesterol to Total-Lipids in Very Large HDL percentage
ApoB/ApoA1,0.0025,0.0028,Apolipoprotein B to Apolipoprotein A1 ratio
Acetate,0.0012,0.0027,Acetate
XXL-VLDL-TG,0.0047,0.0027,Triglycerides in Chylomicrons and Extremely Large VLDL
XS-VLDL-FC,0.0017,0.0027,Free Cholesterol in Very Small VLDL
PUFA/MUFA,0.0038,0.0027,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
LDL-TG,0.0013,0.0025,Triglycerides in LDL
S-LDL-PL%,0.0022,0.0023,Phospholipids to Total-Lipids in Small LDL percentage
S-HDL-PL%,0.0013,0.0022,Phospholipids to Total-Lipids in Small HDL percentage
MUFA%,0.0017,0.0021,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
L-LDL-PL%,0.0033,0.0020,Phospholipids to Total-Lipids in Large LDL percentage
XL-HDL-PL%,0.0008,0.0018,Phospholipids to Total-Lipids in Very Large HDL percentage
L-HDL-L,0.0015,0.0018,Total-Lipids in Large HDL
S-LDL-PL,0.0022,0.0017,Phospholipids in Small LDL
XL-HDL-L,0.0010,0.0016,Total-Lipids in Very Large HDL
L-VLDL-PL,0.0008,0.0014,Phospholipids in Large VLDL
M-LDL-PL%,0.0008,0.0013,Phospholipids to Total-Lipids in Medium LDL percentage
Lactate,0.0008,0.0013,Lactate
XL-VLDL-PL%,0.0017,0.0012,Phospholipids to Total-Lipids in Very Large VLDL percentage
Leu,0.0005,0.0011,Leucine
S-HDL-C%,0.0013,0.0009,Cholesterol to Total-Lipids in Small HDL percentage
SM,0.0013,0.0009,Sphingomyelins
Acetoacetate,0.0013,0.0009,Acetoacetate
XL-VLDL-C,0.0007,0.0008,Cholesterol in Very Large VLDL
M-LDL-FC%,0.0015,0.0007,Free Cholesterol to Total-Lipids in Medium LDL percentage
XXL-VLDL-TG%,0.0005,0.0007,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-HDL-CE%,0.0005,0.0007,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
PUFA%,0.0013,0.0006,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
L-LDL-CE%,0.0008,0.0006,Cholesteryl Esters to Total-Lipids in Large LDL percentage
M-LDL-TG%,0.0003,0.0005,Triglycerides to Total-Lipids in Medium LDL percentage
ApoB,0.0008,0.0005,Apolipoprotein B
XS-VLDL-L,0.0008,0.0005,Total-Lipids in Very Small VLDL
XS-VLDL-CE%,0.0005,0.0004,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
XXL-VLDL-C%,0.0002,0.0002,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
IDL-PL%,0.0002,0.0001,Phospholipids to Total-Lipids in IDL percentage
