Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
L-VLDL-TG%,0.0847,0.0753,Triglycerides to Total-Lipids in Large VLDL percentage
Albumin,0.0460,0.0597,Albumin
Phe,0.0467,0.0514,Phenylalanine
M-LDL-PL%,0.0638,0.0490,Phospholipids to Total-Lipids in Medium LDL percentage
Gly,0.0530,0.0416,Glycine
Acetate,0.0490,0.0389,Acetate
His,0.0217,0.0350,Histidine
Ala,0.0442,0.0338,Alanine
Acetone,0.0297,0.0313,Acetone
Glu,0.0282,0.0303,Glucose
Sc-ala,0.0343,0.0299,Spectrometer-corrected alanine
GlycA,0.0310,0.0272,Glycoprotein Acetyls
Tyr,0.0262,0.0269,Tyrosine
L-LDL-CE%,0.0192,0.0262,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Glu-lactate,0.0178,0.0233,Glucose-lactate
M-LDL-FC%,0.0057,0.0230,Free Cholesterol to Total-Lipids in Medium LDL percentage
Val,0.0138,0.0196,Valine
XXL-VLDL-CE%,0.0247,0.0176,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
IDL-CE%,0.0113,0.0166,Cholesteryl Esters to Total-Lipids in IDL percentage
LDL-size,0.0137,0.0166,Average Diameter for LDL Particles
Pyruvate,0.0118,0.0163,Pyruvate
Acetoacetate,0.0123,0.0156,Acetoacetate
Gln,0.0077,0.0155,Glutamine
XXL-VLDL-TG%,0.0165,0.0149,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XXL-VLDL-PL%,0.0163,0.0147,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-VLDL-TG%,0.0172,0.0139,Triglycerides to Total-Lipids in Very Large VLDL percentage
Ile,0.0158,0.0120,Isoleucine
S-LDL-PL%,0.0222,0.0113,Phospholipids to Total-Lipids in Small LDL percentage
Leu,0.0180,0.0113,Leucine
MUFA%,0.0087,0.0102,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Creatinine,0.0085,0.0099,Creatinine
L-VLDL-FC%,0.0117,0.0099,Free Cholesterol to Total-Lipids in Large VLDL percentage
L-HDL-TG%,0.0147,0.0098,Triglycerides to Total-Lipids in Large HDL percentage
Citrate,0.0038,0.0090,Citrate
XXL-VLDL-FC%,0.0092,0.0079,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-LDL-PL%,0.0070,0.0077,Phospholipids to Total-Lipids in Large LDL percentage
PUFA%,0.0052,0.0075,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
XL-HDL-PL%,0.0132,0.0074,Phospholipids to Total-Lipids in Very Large HDL percentage
Omega-3,0.0110,0.0070,Omega-3 Fatty Acids
M-LDL-CE%,0.0065,0.0069,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
S-HDL-FC%,0.0043,0.0069,Free Cholesterol to Total-Lipids in Small HDL percentage
XL-HDL-FC%,0.0070,0.0067,Free Cholesterol to Total-Lipids in Very Large HDL percentage
S-VLDL-TG,0.0063,0.0066,Triglycerides in Small VLDL
XS-VLDL-FC%,0.0037,0.0064,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-TG%,0.0042,0.0059,Triglycerides to Total-Lipids in Very Small VLDL percentage
Omega-3%,0.0087,0.0051,Omega-3 Fatty Acids to Total-Fatty Acids percentage
M-VLDL-L,0.0063,0.0046,Total-Lipids in Medium VLDL
L-LDL-TG%,0.0038,0.0044,Triglycerides to Total-Lipids in Large LDL percentage
Lactate,0.0038,0.0044,Lactate
3-Hydroxybutyrate,0.0018,0.0043,3-Hydroxybutyrate
SFA%,0.0035,0.0041,Saturated Fatty Acids to Total-Fatty Acids percentage
IDL-TG%,0.0037,0.0039,Triglycerides to Total-Lipids in IDL percentage
L-HDL-FC%,0.0032,0.0038,Free Cholesterol to Total-Lipids in Large HDL percentage
M-VLDL-FC%,0.0048,0.0037,Free Cholesterol to Total-Lipids in Medium VLDL percentage
XXL-VLDL-PL,0.0022,0.0036,Phospholipids in Chylomicrons and Extremely Large VLDL
M-VLDL-PL%,0.0023,0.0036,Phospholipids to Total-Lipids in Medium VLDL percentage
XS-VLDL-PL%,0.0043,0.0030,Phospholipids to Total-Lipids in Very Small VLDL percentage
XL-VLDL-CE,0.0010,0.0028,Cholesteryl Esters in Very Large VLDL
IDL-FC%,0.0013,0.0027,Free Cholesterol to Total-Lipids in IDL percentage
L-HDL-CE,0.0015,0.0027,Cholesteryl Esters in Large HDL
L-LDL-C%,0.0030,0.0025,Cholesterol to Total-Lipids in Large LDL percentage
S-HDL-CE,0.0022,0.0024,Cholesteryl Esters in Small HDL
L-HDL-PL%,0.0015,0.0022,Phospholipids to Total-Lipids in Large HDL percentage
XL-HDL-CE%,0.0023,0.0021,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
Omega-6/Omega-3,0.0032,0.0021,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
S-HDL-L,0.0020,0.0019,Total-Lipids in Small HDL
Total-BCAA,0.0018,0.0013,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
XL-VLDL-PL%,0.0007,0.0011,Phospholipids to Total-Lipids in Very Large VLDL percentage
S-LDL-C%,0.0015,0.0010,Cholesterol to Total-Lipids in Small LDL percentage
S-HDL-TG,0.0007,0.0009,Triglycerides in Small HDL
S-LDL-CE%,0.0012,0.0007,Cholesteryl Esters to Total-Lipids in Small LDL percentage
XXL-VLDL-C%,0.0003,0.0003,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-HDL-TG%,0.0002,0.0002,Triglycerides to Total-Lipids in Very Large HDL percentage
