Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Gly,0.1090,0.1576,Glycine
Albumin,0.1150,0.0784,Albumin
GlycA,0.0768,0.0721,Glycoprotein Acetyls
IDL-TG%,0.0487,0.0631,Triglycerides to Total-Lipids in IDL percentage
Citrate,0.0672,0.0556,Citrate
Acetoacetate,0.0577,0.0495,Acetoacetate
Acetate,0.0392,0.0369,Acetate
Val,0.0443,0.0367,Valine
S-LDL-FC,0.0297,0.0355,Free Cholesterol in Small LDL
Gln,0.0250,0.0297,Glutamine
Sc-ala,0.0453,0.0260,Spectrometer-corrected alanine
L-HDL-PL%,0.0340,0.0249,Phospholipids to Total-Lipids in Large HDL percentage
Tyr,0.0195,0.0206,Tyrosine
LDL-size,0.0232,0.0205,Average Diameter for LDL Particles
XS-VLDL-CE%,0.0105,0.0177,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
His,0.0135,0.0163,Histidine
S-VLDL-FC%,0.0117,0.0156,Free Cholesterol to Total-Lipids in Small VLDL percentage
3-Hydroxybutyrate,0.0118,0.0131,3-Hydroxybutyrate
Unsaturation,0.0158,0.0114,Degree of Unsaturation
Lactate,0.0112,0.0112,Lactate
Omega-3,0.0085,0.0108,Omega-3 Fatty Acids
Pyruvate,0.0027,0.0107,Pyruvate
XXL-VLDL-PL%,0.0078,0.0105,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
IDL-PL%,0.0080,0.0103,Phospholipids to Total-Lipids in IDL percentage
Ile,0.0067,0.0100,Isoleucine
M-LDL-FC,0.0092,0.0079,Free Cholesterol in Medium LDL
M-HDL-PL%,0.0077,0.0079,Phospholipids to Total-Lipids in Medium HDL percentage
Glu-lactate,0.0065,0.0077,Glucose-lactate
XL-HDL-PL%,0.0025,0.0076,Phospholipids to Total-Lipids in Very Large HDL percentage
S-VLDL-PL%,0.0053,0.0075,Phospholipids to Total-Lipids in Small VLDL percentage
SFA%,0.0132,0.0072,Saturated Fatty Acids to Total-Fatty Acids percentage
IDL-FC%,0.0075,0.0066,Free Cholesterol to Total-Lipids in IDL percentage
Total-BCAA,0.0047,0.0063,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
PUFA,0.0083,0.0062,Polyunsaturated Fatty Acids
Ala,0.0033,0.0062,Alanine
IDL-CE%,0.0033,0.0061,Cholesteryl Esters to Total-Lipids in IDL percentage
L-LDL-CE%,0.0040,0.0054,Cholesteryl Esters to Total-Lipids in Large LDL percentage
DHA,0.0068,0.0051,Docosahexaenoic Acid
Acetone,0.0052,0.0046,Acetone
L-LDL-PL%,0.0053,0.0043,Phospholipids to Total-Lipids in Large LDL percentage
Glu,0.0103,0.0040,Glucose
IDL-C%,0.0018,0.0040,Cholesterol to Total-Lipids in IDL percentage
XL-HDL-FC%,0.0013,0.0038,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Omega-6/Omega-3,0.0030,0.0032,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Phe,0.0052,0.0028,Phenylalanine
HDL-size,0.0035,0.0027,Average Diameter for HDL Particles
M-HDL-C%,0.0020,0.0027,Cholesterol to Total-Lipids in Medium HDL percentage
Creatinine,0.0032,0.0026,Creatinine
LA%,0.0032,0.0025,Linoleic Acid to Total-Fatty Acids percentage
S-VLDL-CE%,0.0025,0.0024,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
Omega-3%,0.0030,0.0024,Omega-3 Fatty Acids to Total-Fatty Acids percentage
L-HDL-CE%,0.0018,0.0023,Cholesteryl Esters to Total-Lipids in Large HDL percentage
M-LDL-C,0.0018,0.0021,Cholesterol in Medium LDL
XL-VLDL-TG%,0.0013,0.0016,Triglycerides to Total-Lipids in Very Large VLDL percentage
S-HDL-CE%,0.0007,0.0016,Cholesteryl Esters to Total-Lipids in Small HDL percentage
M-LDL-C%,0.0022,0.0014,Cholesterol to Total-Lipids in Medium LDL percentage
XS-VLDL-PL%,0.0003,0.0014,Phospholipids to Total-Lipids in Very Small VLDL percentage
XS-VLDL-L,0.0022,0.0013,Total-Lipids in Very Small VLDL
S-HDL-CE,0.0012,0.0013,Cholesteryl Esters in Small HDL
XL-HDL-L,0.0010,0.0012,Total-Lipids in Very Large HDL
M-LDL-PL%,0.0012,0.0012,Phospholipids to Total-Lipids in Medium LDL percentage
SM,0.0015,0.0011,Sphingomyelins
XXL-VLDL-FC%,0.0008,0.0011,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
SFA,0.0010,0.0010,Saturated Fatty Acids
LA,0.0008,0.0009,Linoleic Acid
L-HDL-C,0.0008,0.0009,Cholesterol in Large HDL
L-VLDL-FC%,0.0007,0.0008,Free Cholesterol to Total-Lipids in Large VLDL percentage
S-LDL-FC%,0.0003,0.0007,Free Cholesterol to Total-Lipids in Small LDL percentage
L-HDL-P,0.0007,0.0007,Concentration of Large HDL Particles
L-LDL-TG%,0.0005,0.0006,Triglycerides to Total-Lipids in Large LDL percentage
IDL-P,0.0007,0.0005,Concentration of IDL Particles
Omega-6,0.0005,0.0005,Omega-6 Fatty Acids
XXL-VLDL-C%,0.0017,0.0005,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-HDL-TG%,0.0005,0.0003,Triglycerides to Total-Lipids in Very Large HDL percentage
XS-VLDL-FC%,0.0002,0.0003,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
LDL-FC,0.0003,0.0002,Free Cholesterol in LDL
S-LDL-TG%,0.0005,0.0002,Triglycerides to Total-Lipids in Small LDL percentage
VLDL-size,0.0003,0.0002,Average Diameter for VLDL Particles
