Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.636 [0.579 - 0.685],0.590 [0.587 - 0.592],0.591 [0.502 - 0.673],0.590 [0.587 - 0.592],0.001 [0.001 - 0.001],0.181 [0.091 - 0.262],0.001 [0.001 - 0.002]
Demographic,0.696 [0.648 - 0.732],0.636 [0.634 - 0.639],0.637 [0.533 - 0.717],0.636 [0.634 - 0.639],0.001 [0.001 - 0.001],0.274 [0.168 - 0.354],0.002 [0.001 - 0.002]
Metabolite+Demographic,0.744 [0.699 - 0.779],0.663 [0.661 - 0.665],0.667 [0.559 - 0.740],0.663 [0.661 - 0.665],0.001 [0.001 - 0.001],0.330 [0.222 - 0.403],0.002 [0.002 - 0.002]
