Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.606 [0.590 - 0.622],0.572 [0.570 - 0.574],0.573 [0.547 - 0.597],0.572 [0.569 - 0.574],0.012 [0.012 - 0.013],0.145 [0.119 - 0.166],0.024 [0.023 - 0.026]
Demographic,0.600 [0.591 - 0.618],0.577 [0.575 - 0.580],0.576 [0.551 - 0.596],0.577 [0.575 - 0.580],0.013 [0.012 - 0.013],0.152 [0.127 - 0.172],0.025 [0.023 - 0.026]
Metabolite+Demographic,0.633 [0.617 - 0.646],0.601 [0.599 - 0.603],0.600 [0.578 - 0.623],0.601 [0.599 - 0.604],0.014 [0.013 - 0.015],0.202 [0.179 - 0.224],0.027 [0.026 - 0.029]
