Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.486 [0.441 - 0.538],0.483 [0.481 - 0.485],0.475 [0.416 - 0.562],0.483 [0.481 - 0.485],0.001 [0.001 - 0.001],-0.041 [-0.102 - 0.046],0.002 [0.001 - 0.002]
Demographic,0.464 [0.413 - 0.499],0.491 [0.489 - 0.493],0.488 [0.416 - 0.543],0.491 [0.489 - 0.493],0.001 [0.001 - 0.001],-0.021 [-0.093 - 0.034],0.002 [0.001 - 0.002]
Metabolite+Demographic,0.496 [0.450 - 0.541],0.506 [0.504 - 0.508],0.508 [0.440 - 0.578],0.506 [0.504 - 0.508],0.001 [0.001 - 0.001],0.014 [-0.055 - 0.084],0.002 [0.001 - 0.002]
