Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.563 [0.517 - 0.605],0.542 [0.540 - 0.545],0.544 [0.469 - 0.606],0.542 [0.540 - 0.545],0.001 [0.001 - 0.001],0.086 [0.009 - 0.148],0.002 [0.002 - 0.002]
Demographic,0.572 [0.526 - 0.618],0.525 [0.523 - 0.527],0.524 [0.435 - 0.602],0.525 [0.523 - 0.527],0.001 [0.001 - 0.001],0.050 [-0.040 - 0.127],0.002 [0.001 - 0.002]
Metabolite+Demographic,0.577 [0.534 - 0.616],0.577 [0.575 - 0.579],0.578 [0.508 - 0.641],0.577 [0.575 - 0.579],0.001 [0.001 - 0.001],0.156 [0.087 - 0.217],0.002 [0.002 - 0.003]
