Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.597 [0.563 - 0.634],0.581 [0.578 - 0.583],0.589 [0.528 - 0.655],0.580 [0.578 - 0.583],0.001 [0.001 - 0.001],0.170 [0.108 - 0.235],0.002 [0.002 - 0.003]
Demographic,0.624 [0.590 - 0.655],0.583 [0.581 - 0.585],0.583 [0.527 - 0.640],0.583 [0.581 - 0.585],0.001 [0.001 - 0.001],0.166 [0.110 - 0.224],0.002 [0.002 - 0.003]
Metabolite+Demographic,0.655 [0.616 - 0.689],0.607 [0.605 - 0.609],0.613 [0.549 - 0.684],0.607 [0.605 - 0.609],0.001 [0.001 - 0.001],0.220 [0.157 - 0.291],0.002 [0.002 - 0.003]
