Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.562 [0.546 - 0.574],0.544 [0.543 - 0.547],0.544 [0.520 - 0.564],0.544 [0.543 - 0.547],0.010 [0.009 - 0.010],0.088 [0.064 - 0.109],0.019 [0.018 - 0.020]
Demographic,0.572 [0.560 - 0.585],0.555 [0.553 - 0.557],0.557 [0.535 - 0.576],0.555 [0.553 - 0.558],0.010 [0.010 - 0.011],0.112 [0.090 - 0.132],0.020 [0.019 - 0.021]
Metabolite+Demographic,0.586 [0.572 - 0.602],0.565 [0.563 - 0.567],0.565 [0.539 - 0.586],0.565 [0.563 - 0.567],0.011 [0.010 - 0.011],0.130 [0.103 - 0.152],0.021 [0.019 - 0.022]
