Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.497 [0.469 - 0.527],0.509 [0.507 - 0.511],0.512 [0.470 - 0.563],0.509 [0.506 - 0.511],0.003 [0.003 - 0.003],0.020 [-0.022 - 0.071],0.006 [0.005 - 0.006]
Demographic,0.625 [0.603 - 0.646],0.596 [0.594 - 0.599],0.602 [0.556 - 0.641],0.596 [0.594 - 0.599],0.004 [0.004 - 0.005],0.198 [0.152 - 0.237],0.008 [0.007 - 0.009]
Metabolite+Demographic,0.616 [0.592 - 0.636],0.590 [0.588 - 0.593],0.597 [0.558 - 0.631],0.590 [0.588 - 0.592],0.004 [0.004 - 0.005],0.186 [0.148 - 0.222],0.008 [0.007 - 0.009]
