Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.766 [0.748 - 0.788],0.697 [0.695 - 0.698],0.694 [0.663 - 0.734],0.697 [0.695 - 0.698],0.006 [0.005 - 0.006],0.391 [0.361 - 0.430],0.011 [0.010 - 0.012]
Demographic,0.928 [0.919 - 0.934],0.859 [0.857 - 0.860],0.854 [0.825 - 0.881],0.859 [0.857 - 0.860],0.014 [0.013 - 0.016],0.712 [0.683 - 0.740],0.028 [0.026 - 0.031]
Metabolite+Demographic,0.945 [0.937 - 0.951],0.886 [0.885 - 0.887],0.885 [0.860 - 0.915],0.886 [0.885 - 0.887],0.018 [0.017 - 0.020],0.771 [0.747 - 0.800],0.036 [0.033 - 0.039]
