Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.536 [0.486 - 0.602],0.523 [0.520 - 0.525],0.527 [0.433 - 0.615],0.523 [0.520 - 0.525],0.001 [0.001 - 0.001],0.049 [-0.047 - 0.138],0.002 [0.001 - 0.002]
Demographic,0.494 [0.449 - 0.551],0.486 [0.483 - 0.489],0.479 [0.417 - 0.562],0.486 [0.483 - 0.489],0.001 [0.001 - 0.001],-0.035 [-0.099 - 0.046],0.001 [0.001 - 0.002]
Metabolite+Demographic,0.540 [0.492 - 0.589],0.531 [0.528 - 0.534],0.530 [0.444 - 0.610],0.531 [0.528 - 0.534],0.001 [0.001 - 0.001],0.061 [-0.027 - 0.142],0.002 [0.001 - 0.002]
