Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.765 [0.720 - 0.809],0.720 [0.718 - 0.722],0.720 [0.655 - 0.794],0.720 [0.718 - 0.722],0.001 [0.001 - 0.002],0.441 [0.375 - 0.514],0.003 [0.002 - 0.003]
Demographic,0.774 [0.725 - 0.819],0.720 [0.718 - 0.722],0.731 [0.647 - 0.802],0.720 [0.718 - 0.722],0.001 [0.001 - 0.002],0.451 [0.367 - 0.522],0.003 [0.002 - 0.003]
Metabolite+Demographic,0.795 [0.745 - 0.840],0.742 [0.740 - 0.744],0.740 [0.665 - 0.830],0.742 [0.740 - 0.744],0.002 [0.001 - 0.002],0.481 [0.407 - 0.573],0.003 [0.002 - 0.004]
