Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
LA%,0.1342,0.2676,Linoleic Acid to Total-Fatty Acids percentage
GlycA,0.2203,0.2016,Glycoprotein Acetyls
Albumin,0.2677,0.1935,Albumin
L-LDL-TG%,0.0510,0.1203,Triglycerides to Total-Lipids in Large LDL percentage
L-HDL-PL%,0.0363,0.0396,Phospholipids to Total-Lipids in Large HDL percentage
VLDL-size,0.0447,0.0279,Average Diameter for VLDL Particles
Glu,0.0370,0.0237,Glucose
IDL-CE%,0.0185,0.0158,Cholesteryl Esters to Total-Lipids in IDL percentage
S-HDL-PL%,0.0167,0.0133,Phospholipids to Total-Lipids in Small HDL percentage
L-HDL-CE%,0.0202,0.0126,Cholesteryl Esters to Total-Lipids in Large HDL percentage
L-LDL-C%,0.0107,0.0112,Cholesterol to Total-Lipids in Large LDL percentage
Creatinine,0.0125,0.0066,Creatinine
XS-VLDL-PL%,0.0113,0.0062,Phospholipids to Total-Lipids in Very Small VLDL percentage
XL-HDL-FC,0.0128,0.0062,Free Cholesterol in Very Large HDL
Citrate,0.0122,0.0057,Citrate
His,0.0127,0.0052,Histidine
Acetoacetate,0.0115,0.0049,Acetoacetate
S-HDL-PL,0.0082,0.0048,Phospholipids in Small HDL
Total-BCAA,0.0080,0.0047,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Ile,0.0065,0.0034,Isoleucine
XXL-VLDL-FC%,0.0073,0.0033,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Val,0.0063,0.0029,Valine
PUFA%,0.0048,0.0028,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
LA,0.0023,0.0026,Linoleic Acid
SM,0.0050,0.0024,Sphingomyelins
Total-P,0.0042,0.0024,Total-Concentration of Lipoprotein Particles
Glu-lactate,0.0040,0.0021,Glucose-lactate
Leu,0.0030,0.0013,Leucine
Tyr,0.0028,0.0013,Tyrosine
XXL-VLDL-CE,0.0020,0.0012,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
M-HDL-PL,0.0017,0.0009,Phospholipids in Medium HDL
L-LDL-CE%,0.0010,0.0006,Cholesteryl Esters to Total-Lipids in Large LDL percentage
XS-VLDL-P,0.0010,0.0005,Concentration of Very Small VLDL Particles
IDL-PL%,0.0005,0.0004,Phospholipids to Total-Lipids in IDL percentage
S-HDL-CE,0.0005,0.0002,Cholesteryl Esters in Small HDL
Sc-ala,0.0003,0.0001,Spectrometer-corrected alanine
Lactate,0.0002,0.0001,Lactate
Gly,0.0002,7.1288e-05,Glycine
