Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Creatinine,0.2617,0.3325,Creatinine
Omega-6/Omega-3,0.1310,0.2020,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Albumin,0.1017,0.0768,Albumin
S-LDL-CE%,0.0663,0.0629,Cholesteryl Esters to Total-Lipids in Small LDL percentage
IDL-PL,0.0697,0.0537,Phospholipids in IDL
LA%,0.0358,0.0507,Linoleic Acid to Total-Fatty Acids percentage
DHA%,0.0363,0.0292,Docosahexaenoic Acid to Total-Fatty Acids percentage
Omega-3%,0.0325,0.0268,Omega-3 Fatty Acids to Total-Fatty Acids percentage
His,0.0360,0.0197,Histidine
S-LDL-C%,0.0235,0.0172,Cholesterol to Total-Lipids in Small LDL percentage
S-VLDL-PL%,0.0212,0.0166,Phospholipids to Total-Lipids in Small VLDL percentage
Gly,0.0230,0.0128,Glycine
LA,0.0120,0.0125,Linoleic Acid
XS-VLDL-CE,0.0160,0.0111,Cholesteryl Esters in Very Small VLDL
Gln,0.0200,0.0090,Glutamine
Omega-6%,0.0158,0.0089,Omega-6 Fatty Acids to Total-Fatty Acids percentage
S-HDL-FC%,0.0163,0.0088,Free Cholesterol to Total-Lipids in Small HDL percentage
Ile,0.0112,0.0061,Isoleucine
IDL-CE,0.0042,0.0052,Cholesteryl Esters in IDL
SFA%,0.0095,0.0049,Saturated Fatty Acids to Total-Fatty Acids percentage
Total-BCAA,0.0062,0.0040,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Acetone,0.0065,0.0038,Acetone
Pyruvate,0.0065,0.0037,Pyruvate
Acetoacetate,0.0053,0.0028,Acetoacetate
L-LDL-TG%,0.0038,0.0027,Triglycerides to Total-Lipids in Large LDL percentage
Glu,0.0058,0.0027,Glucose
GlycA,0.0042,0.0023,Glycoprotein Acetyls
3-Hydroxybutyrate,0.0032,0.0017,3-Hydroxybutyrate
DHA,0.0022,0.0015,Docosahexaenoic Acid
IDL-PL%,0.0018,0.0015,Phospholipids to Total-Lipids in IDL percentage
S-LDL-PL%,0.0023,0.0013,Phospholipids to Total-Lipids in Small LDL percentage
Omega-3,0.0020,0.0011,Omega-3 Fatty Acids
Leu,0.0013,0.0006,Leucine
IDL-CE%,0.0008,0.0006,Cholesteryl Esters to Total-Lipids in IDL percentage
Citrate,0.0010,0.0005,Citrate
Lactate,0.0008,0.0004,Lactate
M-LDL-TG%,0.0007,0.0004,Triglycerides to Total-Lipids in Medium LDL percentage
Tyr,0.0008,0.0003,Tyrosine
LDL-size,0.0003,0.0002,Average Diameter for LDL Particles
L-HDL-PL%,0.0003,0.0002,Phospholipids to Total-Lipids in Large HDL percentage
L-HDL-TG,0.0002,9.0192e-05,Triglycerides in Large HDL
XS-VLDL-TG%,0.0002,7.2251e-05,Triglycerides to Total-Lipids in Very Small VLDL percentage
