Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
GlycA,0.2653,0.4301,Glycoprotein Acetyls
Albumin,0.2253,0.1718,Albumin
MUFA%,0.0643,0.1261,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
L-LDL-C%,0.1062,0.0706,Cholesterol to Total-Lipids in Large LDL percentage
L-HDL-CE%,0.0397,0.0438,Cholesteryl Esters to Total-Lipids in Large HDL percentage
Creatinine,0.0435,0.0235,Creatinine
DHA,0.0338,0.0226,Docosahexaenoic Acid
L-LDL-CE%,0.0482,0.0207,Cholesteryl Esters to Total-Lipids in Large LDL percentage
L-HDL-CE,0.0228,0.0137,Cholesteryl Esters in Large HDL
DHA%,0.0243,0.0131,Docosahexaenoic Acid to Total-Fatty Acids percentage
Citrate,0.0272,0.0111,Citrate
XS-VLDL-PL%,0.0217,0.0107,Phospholipids to Total-Lipids in Very Small VLDL percentage
ApoA1,0.0190,0.0090,Apolipoprotein A1
PUFA/MUFA,0.0062,0.0075,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
Omega-3,0.0105,0.0053,Omega-3 Fatty Acids
L-HDL-PL%,0.0087,0.0048,Phospholipids to Total-Lipids in Large HDL percentage
L-HDL-C,0.0048,0.0025,Cholesterol in Large HDL
PUFA,0.0047,0.0023,Polyunsaturated Fatty Acids
XL-HDL-FC%,0.0047,0.0017,Free Cholesterol to Total-Lipids in Very Large HDL percentage
XL-HDL-CE,0.0032,0.0014,Cholesteryl Esters in Very Large HDL
HDL-CE,0.0020,0.0014,Cholesteryl Esters in HDL
L-HDL-C%,0.0013,0.0012,Cholesterol to Total-Lipids in Large HDL percentage
IDL-CE%,0.0030,0.0011,Cholesteryl Esters to Total-Lipids in IDL percentage
LA%,0.0027,0.0011,Linoleic Acid to Total-Fatty Acids percentage
M-HDL-PL%,0.0010,0.0009,Phospholipids to Total-Lipids in Medium HDL percentage
Total-PL,0.0017,0.0006,Total-Phospholipids in Lipoprotein Particles
HDL-size,0.0012,0.0004,Average Diameter for HDL Particles
LDL-size,0.0007,0.0003,Average Diameter for LDL Particles
XL-HDL-CE%,0.0010,0.0002,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
L-HDL-P,0.0005,0.0002,Concentration of Large HDL Particles
PUFA%,0.0002,7.9404e-05,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
Leu,0.0003,6.5182e-05,Leucine
Omega-3%,0.0002,6.1612e-05,Omega-3 Fatty Acids to Total-Fatty Acids percentage
LA,0.0002,4.6881e-05,Linoleic Acid
Glu-lactate,0.0002,4.1617e-05,Glucose-lactate
