Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Creatinine,0.1077,0.1062,Creatinine
Gln,0.0842,0.0705,Glutamine
Gly,0.0730,0.0606,Glycine
PUFA,0.0600,0.0563,Polyunsaturated Fatty Acids
L-HDL-FC%,0.0632,0.0554,Free Cholesterol to Total-Lipids in Large HDL percentage
S-VLDL-PL%,0.0315,0.0350,Phospholipids to Total-Lipids in Small VLDL percentage
Lactate,0.0330,0.0340,Lactate
Albumin,0.0323,0.0301,Albumin
His,0.0238,0.0272,Histidine
Acetoacetate,0.0232,0.0261,Acetoacetate
Ile,0.0242,0.0259,Isoleucine
Ala,0.0140,0.0208,Alanine
IDL-CE%,0.0245,0.0199,Cholesteryl Esters to Total-Lipids in IDL percentage
Tyr,0.0168,0.0189,Tyrosine
Sc-ala,0.0173,0.0182,Spectrometer-corrected alanine
DHA,0.0205,0.0174,Docosahexaenoic Acid
Acetone,0.0135,0.0173,Acetone
S-VLDL-FC%,0.0152,0.0167,Free Cholesterol to Total-Lipids in Small VLDL percentage
L-LDL-PL%,0.0178,0.0164,Phospholipids to Total-Lipids in Large LDL percentage
Pyruvate,0.0163,0.0162,Pyruvate
Citrate,0.0188,0.0161,Citrate
IDL-FC,0.0108,0.0133,Free Cholesterol in IDL
XS-VLDL-FC%,0.0083,0.0127,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
Phe,0.0073,0.0118,Phenylalanine
S-LDL-C%,0.0110,0.0117,Cholesterol to Total-Lipids in Small LDL percentage
Acetate,0.0120,0.0113,Acetate
LDL-size,0.0138,0.0111,Average Diameter for LDL Particles
XS-VLDL-TG%,0.0082,0.0105,Triglycerides to Total-Lipids in Very Small VLDL percentage
IDL-PL%,0.0112,0.0104,Phospholipids to Total-Lipids in IDL percentage
S-HDL-FC%,0.0062,0.0096,Free Cholesterol to Total-Lipids in Small HDL percentage
IDL-FC%,0.0117,0.0095,Free Cholesterol to Total-Lipids in IDL percentage
XL-HDL-FC%,0.0103,0.0095,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Leu,0.0065,0.0093,Leucine
DHA%,0.0082,0.0091,Docosahexaenoic Acid to Total-Fatty Acids percentage
MUFA%,0.0088,0.0090,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
SFA%,0.0053,0.0088,Saturated Fatty Acids to Total-Fatty Acids percentage
3-Hydroxybutyrate,0.0065,0.0086,3-Hydroxybutyrate
L-LDL-CE%,0.0058,0.0084,Cholesteryl Esters to Total-Lipids in Large LDL percentage
L-LDL-C%,0.0058,0.0083,Cholesterol to Total-Lipids in Large LDL percentage
Glu-lactate,0.0088,0.0079,Glucose-lactate
IDL-P,0.0082,0.0074,Concentration of IDL Particles
XXL-VLDL-FC%,0.0062,0.0073,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XXL-VLDL-PL%,0.0092,0.0071,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-HDL-CE,0.0043,0.0058,Cholesteryl Esters in Small HDL
M-LDL-PL%,0.0053,0.0057,Phospholipids to Total-Lipids in Medium LDL percentage
XL-VLDL-PL%,0.0050,0.0056,Phospholipids to Total-Lipids in Very Large VLDL percentage
PUFA/MUFA,0.0042,0.0050,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
Glu,0.0053,0.0046,Glucose
XXL-VLDL-CE%,0.0030,0.0043,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
ApoB/ApoA1,0.0023,0.0041,Apolipoprotein B to Apolipoprotein A1 ratio
M-HDL-C,0.0027,0.0039,Cholesterol in Medium HDL
MUFA,0.0038,0.0038,Monounsaturated Fatty Acids
L-VLDL-FC%,0.0030,0.0038,Free Cholesterol to Total-Lipids in Large VLDL percentage
M-VLDL-PL%,0.0037,0.0035,Phospholipids to Total-Lipids in Medium VLDL percentage
M-HDL-TG,0.0037,0.0035,Triglycerides in Medium HDL
XS-VLDL-FC,0.0040,0.0034,Free Cholesterol in Very Small VLDL
LA%,0.0045,0.0031,Linoleic Acid to Total-Fatty Acids percentage
L-HDL-CE%,0.0072,0.0029,Cholesteryl Esters to Total-Lipids in Large HDL percentage
Omega-6/Omega-3,0.0043,0.0025,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Omega-3,0.0017,0.0024,Omega-3 Fatty Acids
XXL-VLDL-CE,0.0015,0.0024,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
XXL-VLDL-TG%,0.0012,0.0019,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-VLDL-PL%,0.0007,0.0014,Phospholipids to Total-Lipids in Large VLDL percentage
Omega-3%,0.0005,0.0013,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Unsaturation,0.0007,0.0012,Degree of Unsaturation
M-HDL-TG%,0.0013,0.0011,Triglycerides to Total-Lipids in Medium HDL percentage
L-VLDL-CE%,0.0007,0.0010,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
XL-VLDL-TG%,0.0012,0.0009,Triglycerides to Total-Lipids in Very Large VLDL percentage
XL-VLDL-FC%,0.0012,0.0006,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
Val,0.0005,0.0006,Valine
S-VLDL-CE,0.0008,0.0006,Cholesteryl Esters in Small VLDL
PUFA%,0.0005,0.0005,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
S-VLDL-CE%,0.0003,0.0003,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
