Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
L-HDL-PL%,0.1542,0.3996,Phospholipids to Total-Lipids in Large HDL percentage
GlycA,0.2658,0.1780,Glycoprotein Acetyls
Albumin,0.2635,0.1222,Albumin
PUFA/MUFA,0.0665,0.1190,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
LA%,0.0532,0.0796,Linoleic Acid to Total-Fatty Acids percentage
L-LDL-C%,0.0432,0.0325,Cholesterol to Total-Lipids in Large LDL percentage
DHA,0.0425,0.0253,Docosahexaenoic Acid
MUFA%,0.0057,0.0110,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
LA,0.0228,0.0089,Linoleic Acid
Glu-lactate,0.0237,0.0067,Glucose-lactate
XS-VLDL-PL%,0.0143,0.0047,Phospholipids to Total-Lipids in Very Small VLDL percentage
Omega-3%,0.0133,0.0034,Omega-3 Fatty Acids to Total-Fatty Acids percentage
XL-HDL-FC%,0.0108,0.0031,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Omega-3,0.0050,0.0018,Omega-3 Fatty Acids
S-VLDL-CE%,0.0028,0.0007,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
Pyruvate,0.0018,0.0005,Pyruvate
L-LDL-CE%,0.0022,0.0005,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Tyr,0.0017,0.0004,Tyrosine
S-VLDL-TG%,0.0013,0.0004,Triglycerides to Total-Lipids in Small VLDL percentage
HDL-CE,0.0010,0.0003,Cholesteryl Esters in HDL
DHA%,0.0005,0.0003,Docosahexaenoic Acid to Total-Fatty Acids percentage
VLDL-size,0.0008,0.0003,Average Diameter for VLDL Particles
S-LDL-CE%,0.0008,0.0002,Cholesteryl Esters to Total-Lipids in Small LDL percentage
L-VLDL-FC%,0.0005,0.0001,Free Cholesterol to Total-Lipids in Large VLDL percentage
L-HDL-TG,0.0005,0.0001,Triglycerides in Large HDL
XL-HDL-TG,0.0003,0.0001,Triglycerides in Very Large HDL
L-HDL-P,0.0003,8.9503e-05,Concentration of Large HDL Particles
Glu,0.0003,7.8841e-05,Glucose
XS-VLDL-FC%,0.0003,6.8383e-05,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
3-Hydroxybutyrate,0.0002,3.7349e-05,3-Hydroxybutyrate
