Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
S-HDL-FC,0.0823,0.0939,Free Cholesterol in Small HDL
Albumin,0.0625,0.0715,Albumin
His,0.0558,0.0502,Histidine
M-LDL-PL%,0.0593,0.0434,Phospholipids to Total-Lipids in Medium LDL percentage
L-LDL-CE%,0.0307,0.0385,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Lactate,0.0292,0.0357,Lactate
M-LDL-C%,0.0133,0.0348,Cholesterol to Total-Lipids in Medium LDL percentage
Citrate,0.0457,0.0338,Citrate
Gly,0.0440,0.0337,Glycine
Acetate,0.0445,0.0317,Acetate
IDL-PL%,0.0273,0.0303,Phospholipids to Total-Lipids in IDL percentage
Gln,0.0325,0.0259,Glutamine
Glu,0.0347,0.0258,Glucose
Creatinine,0.0135,0.0249,Creatinine
LA%,0.0192,0.0248,Linoleic Acid to Total-Fatty Acids percentage
Glu-lactate,0.0277,0.0229,Glucose-lactate
Ile,0.0302,0.0219,Isoleucine
Pyruvate,0.0152,0.0194,Pyruvate
Ala,0.0147,0.0190,Alanine
SFA%,0.0242,0.0184,Saturated Fatty Acids to Total-Fatty Acids percentage
3-Hydroxybutyrate,0.0100,0.0175,3-Hydroxybutyrate
Leu,0.0137,0.0159,Leucine
Phe,0.0133,0.0157,Phenylalanine
LDL-CE,0.0137,0.0144,Cholesteryl Esters in LDL
XS-VLDL-PL%,0.0117,0.0114,Phospholipids to Total-Lipids in Very Small VLDL percentage
S-HDL-PL,0.0142,0.0104,Phospholipids in Small HDL
S-HDL-PL%,0.0073,0.0103,Phospholipids to Total-Lipids in Small HDL percentage
XXL-VLDL-CE%,0.0088,0.0098,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-LDL-P,0.0088,0.0092,Concentration of Medium LDL Particles
Phosphoglyc,0.0122,0.0089,Phosphoglycerides
M-LDL-CE%,0.0057,0.0088,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
XXL-VLDL-C%,0.0057,0.0086,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
IDL-FC%,0.0088,0.0083,Free Cholesterol to Total-Lipids in IDL percentage
L-HDL-PL%,0.0038,0.0082,Phospholipids to Total-Lipids in Large HDL percentage
SM,0.0118,0.0081,Sphingomyelins
L-LDL-L,0.0095,0.0081,Total-Lipids in Large LDL
L-VLDL-FC%,0.0107,0.0080,Free Cholesterol to Total-Lipids in Large VLDL percentage
Tyr,0.0058,0.0079,Tyrosine
L-VLDL-TG%,0.0035,0.0076,Triglycerides to Total-Lipids in Large VLDL percentage
Omega-6/Omega-3,0.0052,0.0075,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
LDL-size,0.0085,0.0074,Average Diameter for LDL Particles
XXL-VLDL-TG%,0.0092,0.0061,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Val,0.0023,0.0052,Valine
S-HDL-L,0.0042,0.0050,Total-Lipids in Small HDL
Acetone,0.0030,0.0048,Acetone
XXL-VLDL-P,0.0030,0.0046,Concentration of Chylomicrons and Extremely Large VLDL Particles
M-HDL-PL,0.0018,0.0045,Phospholipids in Medium HDL
XS-VLDL-FC%,0.0047,0.0044,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
S-VLDL-CE%,0.0055,0.0043,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
S-LDL-PL%,0.0058,0.0040,Phospholipids to Total-Lipids in Small LDL percentage
XXL-VLDL-PL%,0.0047,0.0039,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Acetoacetate,0.0035,0.0038,Acetoacetate
VLDL-P,0.0042,0.0034,Concentration of VLDL Particles
S-LDL-TG,0.0018,0.0030,Triglycerides in Small LDL
L-HDL-TG,0.0058,0.0026,Triglycerides in Large HDL
S-HDL-C,0.0050,0.0025,Cholesterol in Small HDL
M-HDL-TG,0.0033,0.0024,Triglycerides in Medium HDL
L-LDL-PL%,0.0017,0.0024,Phospholipids to Total-Lipids in Large LDL percentage
IDL-CE%,0.0025,0.0021,Cholesteryl Esters to Total-Lipids in IDL percentage
Omega-3%,0.0015,0.0020,Omega-3 Fatty Acids to Total-Fatty Acids percentage
HDL-size,0.0023,0.0018,Average Diameter for HDL Particles
Sc-ala,0.0015,0.0017,Spectrometer-corrected alanine
MUFA%,0.0022,0.0016,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XS-VLDL-CE,0.0033,0.0016,Cholesteryl Esters in Very Small VLDL
GlycA,0.0083,0.0015,Glycoprotein Acetyls
Total-BCAA,0.0012,0.0013,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
L-HDL-TG%,0.0010,0.0011,Triglycerides to Total-Lipids in Large HDL percentage
XS-VLDL-TG,0.0015,0.0011,Triglycerides in Very Small VLDL
DHA%,0.0015,0.0010,Docosahexaenoic Acid to Total-Fatty Acids percentage
L-HDL-P,0.0017,0.0009,Concentration of Large HDL Particles
S-LDL-TG%,0.0012,0.0008,Triglycerides to Total-Lipids in Small LDL percentage
XXL-VLDL-FC%,0.0012,0.0007,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-VLDL-TG%,0.0002,0.0006,Triglycerides to Total-Lipids in Very Large VLDL percentage
XL-HDL-FC%,0.0002,0.0003,Free Cholesterol to Total-Lipids in Very Large HDL percentage
S-LDL-C%,0.0002,0.0002,Cholesterol to Total-Lipids in Small LDL percentage
L-HDL-CE,0.0002,0.0002,Cholesteryl Esters in Large HDL
