Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
LDL-CE,"0.019 [-0.015,0.054]",1.000,,Cholesteryl Esters in LDL
Total-CE,"0.019 [-0.017,0.054]",1.000,,Total-Esterified Cholesterol
M-LDL-FC%,"0.014 [-0.025,0.053]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
VLDL-CE,"0.010 [-0.023,0.044]",1.000,,Cholesteryl Esters in VLDL
HDL-CE,"0.001 [-0.036,0.038]",1.000,,Cholesteryl Esters in HDL
PUFA,"-0.010 [-0.045,0.026]",1.000,,Polyunsaturated Fatty Acids
LA,"-0.013 [-0.048,0.022]",1.000,,Linoleic Acid
M-LDL-TG%,"-0.038 [-0.074,-0.002]",1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
Omega-3,"-0.051 [-0.086,-0.016]",1.000,,Omega-3 Fatty Acids
DHA,"-0.066 [-0.102,-0.031]",1.000,,Docosahexaenoic Acid
