Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-FC%,"0.048 [0.039,0.057]",9.702e-19,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Omega-6/Omega-3,"0.038 [0.030,0.046]",1.445e-16,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
XL-HDL-C%,"0.032 [0.023,0.041]",1.881e-07,***,Cholesterol to Total-Lipids in Very Large HDL percentage
L-HDL-PL%,"0.031 [0.022,0.040]",4.504e-06,***,Phospholipids to Total-Lipids in Large HDL percentage
MUFA%,"0.028 [0.019,0.036]",3.921e-05,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-HDL-PL%,"0.024 [0.016,0.033]",0.008,**,Phospholipids to Total-Lipids in Medium HDL percentage
XL-HDL-TG%,"0.023 [0.014,0.031]",0.020,*,Triglycerides to Total-Lipids in Very Large HDL percentage
L-VLDL-PL%,"0.018 [0.011,0.025]",0.042,*,Phospholipids to Total-Lipids in Large VLDL percentage
SM,"-0.021 [-0.029,-0.013]",0.022,*,Sphingomyelins
Cholines,"-0.021 [-0.029,-0.013]",0.039,*,Total-Cholines
M-HDL-CE,"-0.022 [-0.030,-0.014]",0.008,**,Cholesteryl Esters in Medium HDL
M-HDL-P,"-0.022 [-0.030,-0.015]",0.003,**,Concentration of Medium HDL Particles
L-LDL-C%,"-0.023 [-0.031,-0.014]",0.019,*,Cholesterol to Total-Lipids in Large LDL percentage
Albumin,"-0.023 [-0.030,-0.015]",8.239e-04,***,Albumin
M-HDL-C,"-0.023 [-0.031,-0.015]",0.002,**,Cholesterol in Medium HDL
PC,"-0.023 [-0.031,-0.015]",0.003,**,Phosphatidylcholines
PUFA/MUFA,"-0.024 [-0.032,-0.015]",0.012,*,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
ApoA1,"-0.026 [-0.034,-0.018]",2.239e-05,***,Apolipoprotein A1
M-HDL-FC,"-0.026 [-0.034,-0.019]",5.852e-06,***,Free Cholesterol in Medium HDL
L-HDL-CE%,"-0.027 [-0.036,-0.017]",0.006,**,Cholesteryl Esters to Total-Lipids in Large HDL percentage
Unsaturation,"-0.027 [-0.035,-0.019]",2.178e-05,***,Degree of Unsaturation
HDL-PL,"-0.031 [-0.039,-0.022]",2.452e-08,***,Phospholipids in HDL
L-HDL-C%,"-0.032 [-0.041,-0.022]",1.916e-05,***,Cholesterol to Total-Lipids in Large HDL percentage
S-HDL-FC%,"-0.032 [-0.040,-0.025]",6.932e-12,***,Free Cholesterol to Total-Lipids in Small HDL percentage
HDL-L,"-0.033 [-0.041,-0.025]",3.856e-10,***,Total-Lipids in HDL
HDL-CE,"-0.034 [-0.042,-0.026]",4.578e-11,***,Cholesteryl Esters in HDL
HDL-C,"-0.035 [-0.044,-0.027]",3.407e-12,***,HDL Cholesterol
Omega-3,"-0.036 [-0.044,-0.029]",2.462e-15,***,Omega-3 Fatty Acids
HDL-FC,"-0.037 [-0.045,-0.029]",6.274e-15,***,Free Cholesterol in HDL
L-HDL-FC%,"-0.038 [-0.048,-0.028]",3.011e-09,***,Free Cholesterol to Total-Lipids in Large HDL percentage
XL-HDL-FC,"-0.038 [-0.045,-0.031]",9.966e-20,***,Free Cholesterol in Very Large HDL
XL-HDL-PL%,"-0.040 [-0.049,-0.030]",1.078e-10,***,Phospholipids to Total-Lipids in Very Large HDL percentage
Omega-3%,"-0.041 [-0.048,-0.033]",1.703e-19,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
L-HDL-PL,"-0.042 [-0.050,-0.034]",6.108e-20,***,Phospholipids in Large HDL
L-HDL-P,"-0.043 [-0.051,-0.036]",1.074e-22,***,Concentration of Large HDL Particles
XL-HDL-P,"-0.043 [-0.051,-0.036]",3.958e-25,***,Concentration of Very Large HDL Particles
XL-HDL-C,"-0.044 [-0.051,-0.036]",1.303e-24,***,Cholesterol in Very Large HDL
XL-HDL-PL,"-0.044 [-0.051,-0.036]",8.466e-25,***,Phospholipids in Very Large HDL
L-HDL-FC,"-0.044 [-0.052,-0.036]",3.301e-23,***,Free Cholesterol in Large HDL
L-HDL-CE,"-0.044 [-0.052,-0.036]",4.864e-22,***,Cholesteryl Esters in Large HDL
XL-HDL-CE,"-0.044 [-0.052,-0.037]",3.352e-25,***,Cholesteryl Esters in Very Large HDL
XL-HDL-L,"-0.044 [-0.052,-0.037]",2.889e-25,***,Total-Lipids in Very Large HDL
L-HDL-C,"-0.045 [-0.053,-0.037]",1.783e-22,***,Cholesterol in Large HDL
L-HDL-L,"-0.045 [-0.053,-0.037]",1.124e-21,***,Total-Lipids in Large HDL
M-HDL-FC%,"-0.045 [-0.054,-0.036]",8.639e-18,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
DHA,"-0.045 [-0.053,-0.038]",5.918e-25,***,Docosahexaenoic Acid
HDL-size,"-0.046 [-0.054,-0.038]",3.461e-23,***,Average Diameter for HDL Particles
DHA%,"-0.046 [-0.054,-0.038]",5.075e-23,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
