Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
Creatinine,"1.056 [1.038,1.074]",1.830e-04,***,Creatinine
XL-VLDL-CE,"1.055 [1.041,1.070]",6.620e-09,***,Cholesteryl Esters in Very Large VLDL
L-VLDL-CE,"1.053 [1.039,1.068]",1.335e-08,***,Cholesteryl Esters in Large VLDL
S-HDL-L,"1.051 [1.036,1.065]",3.721e-07,***,Total-Lipids in Small HDL
S-HDL-PL,"1.050 [1.036,1.065]",5.872e-07,***,Phospholipids in Small HDL
S-LDL-CE%,"1.050 [1.035,1.064]",1.276e-06,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
VLDL-FC,"1.048 [1.033,1.062]",9.151e-06,***,Free Cholesterol in VLDL
VLDL-P,"1.046 [1.032,1.060]",2.640e-05,***,Concentration of VLDL Particles
M-VLDL-L,"1.045 [1.031,1.060]",9.259e-05,***,Total-Lipids in Medium VLDL
M-LDL-CE%,"1.040 [1.026,1.055]",0.005,**,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
S-VLDL-PL,"1.038 [1.024,1.052]",0.018,*,Phospholipids in Small VLDL
S-HDL-P,"1.037 [1.023,1.051]",0.039,*,Concentration of Small HDL Particles
S-VLDL-CE,"1.036 [1.022,1.050]",0.049,*,Cholesteryl Esters in Small VLDL
XXL-VLDL-PL%,"1.034 [1.022,1.047]",0.027,*,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Acetate,"0.962 [0.948,0.975]",0.012,*,Acetate
S-HDL-CE%,"0.961 [0.948,0.975]",0.007,**,Cholesteryl Esters to Total-Lipids in Small HDL percentage
XXL-VLDL-FC%,"0.961 [0.947,0.974]",0.004,**,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
HDL-FC,"0.958 [0.944,0.973]",0.005,**,Free Cholesterol in HDL
L-VLDL-C%,"0.957 [0.944,0.970]",7.464e-05,***,Cholesterol to Total-Lipids in Large VLDL percentage
S-VLDL-CE%,"0.955 [0.942,0.968]",1.657e-05,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
DHA%,"0.955 [0.940,0.969]",5.124e-04,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
S-LDL-PL%,"0.953 [0.941,0.966]",1.502e-06,***,Phospholipids to Total-Lipids in Small LDL percentage
M-LDL-C%,"0.953 [0.940,0.967]",5.436e-06,***,Cholesterol to Total-Lipids in Medium LDL percentage
S-HDL-FC%,"0.953 [0.939,0.966]",3.489e-06,***,Free Cholesterol to Total-Lipids in Small HDL percentage
Unsaturation,"0.951 [0.937,0.966]",2.236e-05,***,Degree of Unsaturation
HDL-C,"0.951 [0.936,0.965]",1.742e-05,***,HDL Cholesterol
HDL-CE,"0.950 [0.936,0.964]",5.734e-06,***,Cholesteryl Esters in HDL
S-HDL-C%,"0.947 [0.934,0.961]",1.260e-08,***,Cholesterol to Total-Lipids in Small HDL percentage
M-VLDL-PL%,"0.942 [0.929,0.956]",3.095e-10,***,Phospholipids to Total-Lipids in Medium VLDL percentage
Citrate,"0.941 [0.928,0.954]",1.428e-12,***,Citrate
XS-VLDL-FC%,"0.940 [0.926,0.955]",3.307e-10,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
L-VLDL-CE%,"0.940 [0.926,0.953]",5.716e-12,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
L-LDL-C%,"0.939 [0.925,0.954]",2.309e-10,***,Cholesterol to Total-Lipids in Large LDL percentage
XL-VLDL-FC%,"0.938 [0.926,0.951]",1.380e-14,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
S-VLDL-C%,"0.938 [0.925,0.952]",4.274e-13,***,Cholesterol to Total-Lipids in Small VLDL percentage
L-HDL-PL,"0.938 [0.924,0.952]",2.107e-11,***,Phospholipids in Large HDL
IDL-CE%,"0.937 [0.924,0.951]",3.524e-13,***,Cholesteryl Esters to Total-Lipids in IDL percentage
IDL-FC%,"0.936 [0.922,0.950]",1.556e-13,***,Free Cholesterol to Total-Lipids in IDL percentage
XL-HDL-PL%,"0.933 [0.917,0.949]",9.916e-10,***,Phospholipids to Total-Lipids in Very Large HDL percentage
L-HDL-P,"0.933 [0.919,0.947]",4.996e-15,***,Concentration of Large HDL Particles
M-HDL-FC%,"0.932 [0.917,0.948]",1.720e-11,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
XL-HDL-P,"0.931 [0.917,0.944]",5.846e-18,***,Concentration of Very Large HDL Particles
L-HDL-FC,"0.930 [0.917,0.944]",1.372e-16,***,Free Cholesterol in Large HDL
L-HDL-L,"0.930 [0.916,0.944]",3.465e-15,***,Total-Lipids in Large HDL
XL-VLDL-CE%,"0.929 [0.916,0.943]",9.808e-19,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
XL-VLDL-C%,"0.929 [0.916,0.943]",4.878e-19,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
M-VLDL-FC%,"0.929 [0.915,0.943]",3.917e-17,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
LA%,"0.929 [0.915,0.943]",9.147e-16,***,Linoleic Acid to Total-Fatty Acids percentage
XL-HDL-PL,"0.927 [0.913,0.940]",5.010e-20,***,Phospholipids in Very Large HDL
M-HDL-CE%,"0.926 [0.912,0.940]",1.707e-18,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
S-VLDL-PL%,"0.926 [0.913,0.939]",2.061e-20,***,Phospholipids to Total-Lipids in Small VLDL percentage
HDL-size,"0.925 [0.911,0.939]",3.107e-18,***,Average Diameter for HDL Particles
XL-HDL-L,"0.924 [0.911,0.938]",2.689e-21,***,Total-Lipids in Very Large HDL
XL-HDL-FC,"0.924 [0.912,0.937]",6.108e-24,***,Free Cholesterol in Very Large HDL
L-HDL-C,"0.923 [0.909,0.937]",4.287e-20,***,Cholesterol in Large HDL
L-HDL-CE,"0.923 [0.909,0.936]",1.591e-20,***,Cholesteryl Esters in Large HDL
S-VLDL-FC%,"0.922 [0.909,0.936]",5.419e-22,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
IDL-C%,"0.921 [0.907,0.935]",1.620e-22,***,Cholesterol to Total-Lipids in IDL percentage
L-HDL-FC%,"0.921 [0.905,0.937]",3.452e-15,***,Free Cholesterol to Total-Lipids in Large HDL percentage
S-LDL-FC%,"0.921 [0.907,0.934]",9.373e-24,***,Free Cholesterol to Total-Lipids in Small LDL percentage
XL-HDL-CE,"0.920 [0.907,0.934]",3.313e-24,***,Cholesteryl Esters in Very Large HDL
XL-HDL-C,"0.920 [0.907,0.933]",6.327e-25,***,Cholesterol in Very Large HDL
M-HDL-C%,"0.919 [0.905,0.933]",2.316e-22,***,Cholesterol to Total-Lipids in Medium HDL percentage
Omega-6%,"0.918 [0.904,0.933]",4.026e-21,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
M-VLDL-C%,"0.916 [0.902,0.930]",7.296e-24,***,Cholesterol to Total-Lipids in Medium VLDL percentage
PUFA%,"0.916 [0.901,0.931]",6.044e-22,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
M-VLDL-CE%,"0.913 [0.899,0.927]",1.279e-24,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-LDL-FC%,"0.906 [0.892,0.920]",1.632e-31,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
PUFA/MUFA,"0.905 [0.891,0.920]",2.198e-29,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
XS-VLDL-C%,"0.905 [0.891,0.919]",7.539e-31,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-CE%,"0.903 [0.889,0.917]",1.017e-31,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
L-LDL-FC%,"0.900 [0.887,0.914]",5.388e-38,***,Free Cholesterol to Total-Lipids in Large LDL percentage
L-HDL-CE%,"0.900 [0.885,0.915]",8.325e-29,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
L-HDL-C%,"0.895 [0.880,0.910]",4.981e-32,***,Cholesterol to Total-Lipids in Large HDL percentage
