Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-FC%,"0.050 [0.041,0.059]",2.242e-22,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
XL-HDL-C%,"0.034 [0.025,0.042]",2.961e-09,***,Cholesterol to Total-Lipids in Very Large HDL percentage
L-HDL-PL%,"0.033 [0.024,0.042]",2.229e-08,***,Phospholipids to Total-Lipids in Large HDL percentage
Omega-6/Omega-3,"0.032 [0.025,0.040]",1.283e-11,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
M-HDL-PL%,"0.027 [0.019,0.035]",5.225e-05,***,Phospholipids to Total-Lipids in Medium HDL percentage
MUFA%,"0.023 [0.015,0.031]",0.009,**,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XL-HDL-TG,"-0.020 [-0.027,-0.012]",0.035,*,Triglycerides in Very Large HDL
M-HDL-P,"-0.020 [-0.028,-0.013]",0.023,*,Concentration of Medium HDL Particles
L-HDL-TG,"-0.021 [-0.028,-0.014]",0.003,**,Triglycerides in Large HDL
M-HDL-C,"-0.021 [-0.028,-0.013]",0.025,*,Cholesterol in Medium HDL
Total-PL,"-0.021 [-0.029,-0.013]",0.028,*,Total-Phospholipids in Lipoprotein Particles
Cholines,"-0.022 [-0.030,-0.014]",0.008,**,Total-Cholines
L-LDL-C%,"-0.022 [-0.030,-0.014]",0.027,*,Cholesterol to Total-Lipids in Large LDL percentage
SM,"-0.023 [-0.031,-0.016]",4.120e-04,***,Sphingomyelins
PC,"-0.024 [-0.031,-0.016]",5.521e-04,***,Phosphatidylcholines
ApoA1,"-0.024 [-0.032,-0.017]",1.495e-04,***,Apolipoprotein A1
M-HDL-FC,"-0.024 [-0.032,-0.017]",5.254e-05,***,Free Cholesterol in Medium HDL
Unsaturation,"-0.024 [-0.032,-0.017]",3.975e-04,***,Degree of Unsaturation
L-HDL-CE%,"-0.026 [-0.035,-0.016]",0.012,*,Cholesteryl Esters to Total-Lipids in Large HDL percentage
HDL-PL,"-0.028 [-0.036,-0.020]",6.266e-07,***,Phospholipids in HDL
L-HDL-C%,"-0.030 [-0.039,-0.021]",4.137e-05,***,Cholesterol to Total-Lipids in Large HDL percentage
HDL-L,"-0.031 [-0.039,-0.023]",4.974e-09,***,Total-Lipids in HDL
HDL-CE,"-0.032 [-0.040,-0.024]",9.344e-10,***,Cholesteryl Esters in HDL
HDL-C,"-0.033 [-0.041,-0.025]",5.204e-11,***,HDL Cholesterol
Omega-3,"-0.035 [-0.042,-0.027]",1.067e-14,***,Omega-3 Fatty Acids
XL-HDL-FC,"-0.035 [-0.042,-0.028]",1.027e-17,***,Free Cholesterol in Very Large HDL
Omega-3%,"-0.036 [-0.043,-0.028]",5.451e-15,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
HDL-FC,"-0.036 [-0.043,-0.028]",3.278e-14,***,Free Cholesterol in HDL
S-HDL-FC%,"-0.036 [-0.043,-0.029]",6.528e-17,***,Free Cholesterol to Total-Lipids in Small HDL percentage
L-HDL-FC%,"-0.036 [-0.046,-0.027]",8.373e-09,***,Free Cholesterol to Total-Lipids in Large HDL percentage
XL-HDL-PL%,"-0.038 [-0.048,-0.029]",2.973e-10,***,Phospholipids to Total-Lipids in Very Large HDL percentage
L-HDL-PL,"-0.040 [-0.048,-0.032]",8.888e-19,***,Phospholipids in Large HDL
XL-HDL-C,"-0.042 [-0.049,-0.034]",9.951e-24,***,Cholesterol in Very Large HDL
L-HDL-FC,"-0.042 [-0.049,-0.034]",5.946e-22,***,Free Cholesterol in Large HDL
L-HDL-P,"-0.042 [-0.049,-0.034]",3.706e-22,***,Concentration of Large HDL Particles
L-HDL-CE,"-0.042 [-0.050,-0.034]",3.814e-21,***,Cholesteryl Esters in Large HDL
XL-HDL-PL,"-0.042 [-0.049,-0.035]",5.413e-24,***,Phospholipids in Very Large HDL
XL-HDL-P,"-0.042 [-0.050,-0.035]",2.470e-25,***,Concentration of Very Large HDL Particles
L-HDL-C,"-0.043 [-0.050,-0.035]",1.367e-21,***,Cholesterol in Large HDL
XL-HDL-CE,"-0.043 [-0.050,-0.035]",1.231e-24,***,Cholesteryl Esters in Very Large HDL
XL-HDL-L,"-0.043 [-0.050,-0.036]",8.725e-25,***,Total-Lipids in Very Large HDL
L-HDL-L,"-0.043 [-0.051,-0.035]",5.077e-21,***,Total-Lipids in Large HDL
HDL-size,"-0.044 [-0.052,-0.036]",1.195e-22,***,Average Diameter for HDL Particles
DHA%,"-0.045 [-0.053,-0.037]",2.015e-22,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
M-HDL-FC%,"-0.045 [-0.053,-0.036]",1.776e-18,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
DHA,"-0.046 [-0.053,-0.038]",7.442e-27,***,Docosahexaenoic Acid
