Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-PL%,"0.092 [0.087,0.097]",0.000e+00,***,Phospholipids to Total-Lipids in Very Large HDL percentage
HDL-size,"0.080 [0.076,0.084]",0.000e+00,***,Average Diameter for HDL Particles
XL-HDL-PL,"0.073 [0.069,0.077]",0.000e+00,***,Phospholipids in Very Large HDL
XL-HDL-L,"0.069 [0.065,0.073]",2.239e-282,***,Total-Lipids in Very Large HDL
XL-HDL-FC,"0.068 [0.064,0.071]",3.495e-300,***,Free Cholesterol in Very Large HDL
XL-HDL-C,"0.063 [0.060,0.067]",1.283e-239,***,Cholesterol in Very Large HDL
XL-HDL-P,"0.061 [0.057,0.065]",2.944e-227,***,Concentration of Very Large HDL Particles
XL-HDL-CE,"0.061 [0.057,0.065]",4.173e-217,***,Cholesteryl Esters in Very Large HDL
Creatinine,"0.059 [0.055,0.064]",5.453e-132,***,Creatinine
S-LDL-PL%,"0.058 [0.054,0.061]",3.403e-210,***,Phospholipids to Total-Lipids in Small LDL percentage
L-HDL-FC%,"0.055 [0.050,0.059]",1.460e-105,***,Free Cholesterol to Total-Lipids in Large HDL percentage
PUFA/MUFA,"0.054 [0.050,0.058]",8.798e-131,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
L-HDL-C,"0.054 [0.050,0.058]",2.482e-150,***,Cholesterol in Large HDL
L-HDL-CE,"0.053 [0.049,0.057]",3.398e-148,***,Cholesteryl Esters in Large HDL
L-HDL-FC,"0.053 [0.049,0.057]",3.769e-155,***,Free Cholesterol in Large HDL
L-HDL-L,"0.052 [0.048,0.056]",8.954e-134,***,Total-Lipids in Large HDL
L-HDL-P,"0.050 [0.046,0.053]",1.102e-136,***,Concentration of Large HDL Particles
L-HDL-PL,"0.047 [0.043,0.051]",2.263e-113,***,Phospholipids in Large HDL
S-HDL-PL%,"0.046 [0.042,0.050]",5.938e-119,***,Phospholipids to Total-Lipids in Small HDL percentage
Omega-6%,"0.043 [0.039,0.048]",1.469e-83,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
L-HDL-C%,"0.043 [0.038,0.048]",2.354e-66,***,Cholesterol to Total-Lipids in Large HDL percentage
Acetate,"0.042 [0.038,0.046]",1.447e-104,***,Acetate
PUFA%,"0.039 [0.035,0.044]",7.222e-66,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
L-HDL-CE%,"0.036 [0.031,0.041]",9.292e-46,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
S-HDL-FC%,"0.036 [0.032,0.039]",1.753e-73,***,Free Cholesterol to Total-Lipids in Small HDL percentage
LA%,"0.035 [0.031,0.039]",1.119e-56,***,Linoleic Acid to Total-Fatty Acids percentage
Gln,"0.034 [0.030,0.038]",3.213e-67,***,Glutamine
L-LDL-FC%,"0.034 [0.030,0.038]",1.381e-55,***,Free Cholesterol to Total-Lipids in Large LDL percentage
XL-VLDL-FC%,"0.033 [0.029,0.036]",2.176e-65,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
Gly,"0.032 [0.029,0.036]",1.797e-75,***,Glycine
M-LDL-FC%,"0.032 [0.028,0.036]",1.465e-45,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
Citrate,"0.029 [0.025,0.032]",2.724e-47,***,Citrate
Acetone,"0.026 [0.022,0.030]",3.100e-37,***,Acetone
IDL-PL%,"0.025 [0.022,0.029]",7.863e-39,***,Phospholipids to Total-Lipids in IDL percentage
L-VLDL-CE%,"0.023 [0.020,0.027]",2.139e-27,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
L-HDL-TG,"0.023 [0.019,0.027]",1.321e-30,***,Triglycerides in Large HDL
XS-VLDL-CE%,"0.023 [0.018,0.027]",1.398e-19,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
M-VLDL-CE%,"0.022 [0.017,0.026]",1.226e-17,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-LDL-TG%,"0.021 [0.017,0.025]",3.203e-21,***,Triglycerides to Total-Lipids in Medium LDL percentage
XL-VLDL-C%,"0.020 [0.017,0.024]",1.545e-21,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
