Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
GlycA,"1.868 [1.747,1.989]",5.522e-193,***,Glycoprotein Acetyls
Glu-lactate,"1.579 [1.461,1.697]",3.043e-145,***,Glucose-lactate
MUFA%,"1.553 [1.424,1.683]",2.325e-115,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
L-HDL-PL%,"1.477 [1.337,1.616]",2.663e-89,***,Phospholipids to Total-Lipids in Large HDL percentage
MUFA,"1.425 [1.302,1.547]",5.696e-108,***,Monounsaturated Fatty Acids
XXL-VLDL-PL,"1.379 [1.253,1.505]",7.648e-96,***,Phospholipids in Chylomicrons and Extremely Large VLDL
XL-HDL-TG%,"1.374 [1.247,1.502]",5.814e-93,***,Triglycerides to Total-Lipids in Very Large HDL percentage
XXL-VLDL-L,"1.373 [1.246,1.499]",2.139e-94,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-P,"1.372 [1.245,1.499]",4.332e-93,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
XXL-VLDL-TG,"1.361 [1.232,1.490]",1.485e-89,***,Triglycerides in Chylomicrons and Extremely Large VLDL
S-HDL-TG,"1.353 [1.235,1.470]",3.319e-106,***,Triglycerides in Small HDL
XXL-VLDL-FC,"1.327 [1.203,1.452]",6.227e-91,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
XXL-VLDL-C,"1.321 [1.198,1.444]",3.664e-92,***,Cholesterol in Chylomicrons and Extremely Large VLDL
XXL-VLDL-CE,"1.293 [1.170,1.415]",1.245e-89,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
XL-VLDL-TG,"1.275 [1.150,1.401]",9.601e-83,***,Triglycerides in Very Large VLDL
L-HDL-TG%,"1.271 [1.140,1.401]",8.774e-76,***,Triglycerides to Total-Lipids in Large HDL percentage
S-LDL-TG,"1.248 [1.123,1.372]",5.036e-80,***,Triglycerides in Small LDL
Total-TG,"1.236 [1.115,1.357]",1.350e-83,***,Total-Triglycerides
XL-VLDL-L,"1.224 [1.101,1.346]",1.287e-79,***,Total-Lipids in Very Large VLDL
M-HDL-PL%,"1.222 [1.090,1.355]",4.788e-67,***,Phospholipids to Total-Lipids in Medium HDL percentage
XL-VLDL-P,"1.220 [1.097,1.343]",2.136e-78,***,Concentration of Very Large VLDL Particles
SFA,"1.206 [1.083,1.328]",9.873e-77,***,Saturated Fatty Acids
VLDL-TG,"1.204 [1.082,1.325]",1.074e-78,***,Triglycerides in VLDL
M-HDL-TG,"1.190 [1.077,1.303]",1.139e-88,***,Triglycerides in Medium HDL
XL-VLDL-PL,"1.182 [1.061,1.304]",5.745e-75,***,Phospholipids in Very Large VLDL
TG/PG,"1.168 [1.037,1.299]",8.416e-63,***,Triglycerides to Phosphoglycerides ratio
HDL-TG,"1.144 [1.030,1.258]",3.426e-80,***,Triglycerides in HDL
Total-FA,"1.143 [1.021,1.264]",1.083e-70,***,Total-Fatty Acids
XL-VLDL-FC,"1.127 [1.007,1.248]",1.399e-69,***,Free Cholesterol in Very Large VLDL
M-HDL-TG%,"1.125 [1.006,1.243]",2.085e-71,***,Triglycerides to Total-Lipids in Medium HDL percentage
VLDL-size,"1.124 [1.000,1.248]",6.418e-65,***,Average Diameter for VLDL Particles
Glu,"1.105 [0.985,1.224]",1.043e-67,***,Glucose
L-VLDL-PL,"1.105 [0.985,1.224]",7.634e-68,***,Phospholipids in Large VLDL
L-VLDL-P,"1.102 [0.981,1.222]",7.571e-66,***,Concentration of Large VLDL Particles
M-LDL-TG,"1.098 [0.976,1.221]",1.407e-63,***,Triglycerides in Medium LDL
S-VLDL-TG,"1.080 [0.963,1.197]",4.013e-67,***,Triglycerides in Small VLDL
S-HDL-TG%,"1.076 [0.957,1.194]",1.877e-65,***,Triglycerides to Total-Lipids in Small HDL percentage
L-VLDL-FC,"1.072 [0.953,1.191]",2.622e-64,***,Free Cholesterol in Large VLDL
LDL-TG,"1.065 [0.944,1.185]",1.121e-61,***,Triglycerides in LDL
L-VLDL-TG,"1.064 [0.942,1.186]",5.470e-60,***,Triglycerides in Large VLDL
VLDL-L,"1.064 [0.947,1.181]",2.452e-65,***,Total-Lipids in VLDL
L-VLDL-L,"1.060 [0.941,1.179]",1.768e-62,***,Total-Lipids in Large VLDL
S-LDL-TG%,"1.031 [0.909,1.152]",1.242e-56,***,Triglycerides to Total-Lipids in Small LDL percentage
XL-VLDL-C,"1.024 [0.907,1.141]",3.337e-60,***,Cholesterol in Very Large VLDL
XS-VLDL-TG,"1.019 [0.902,1.136]",1.098e-59,***,Triglycerides in Very Small VLDL
M-VLDL-TG,"1.008 [0.891,1.126]",1.782e-57,***,Triglycerides in Medium VLDL
L-LDL-TG,"0.989 [0.871,1.108]",1.960e-54,***,Triglycerides in Large LDL
VLDL-PL,"0.963 [0.847,1.078]",1.568e-54,***,Phospholipids in VLDL
S-HDL-PL,"0.962 [0.849,1.075]",5.386e-57,***,Phospholipids in Small HDL
IDL-TG,"0.958 [0.841,1.075]",1.586e-52,***,Triglycerides in IDL
L-VLDL-C,"0.941 [0.826,1.056]",4.275e-52,***,Cholesterol in Large VLDL
S-HDL-L,"0.918 [0.806,1.030]",2.432e-52,***,Total-Lipids in Small HDL
Phe,"0.914 [0.798,1.030]",2.786e-48,***,Phenylalanine
XL-VLDL-CE,"0.904 [0.790,1.019]",1.681e-48,***,Cholesteryl Esters in Very Large VLDL
S-LDL-CE%,"0.870 [0.757,0.982]",1.871e-46,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
S-VLDL-L,"0.865 [0.751,0.978]",3.787e-45,***,Total-Lipids in Small VLDL
Ile,"0.864 [0.744,0.985]",1.248e-39,***,Isoleucine
VLDL-FC,"0.857 [0.743,0.971]",1.413e-43,***,Free Cholesterol in VLDL
S-VLDL-P,"0.853 [0.739,0.967]",2.626e-43,***,Concentration of Small VLDL Particles
VLDL-P,"0.812 [0.699,0.925]",2.343e-39,***,Concentration of VLDL Particles
L-VLDL-CE,"0.798 [0.686,0.911]",1.584e-38,***,Cholesteryl Esters in Large VLDL
L-VLDL-PL%,"0.792 [0.690,0.893]",2.267e-47,***,Phospholipids to Total-Lipids in Large VLDL percentage
XL-HDL-FC%,"0.791 [0.649,0.933]",2.861e-22,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
XS-VLDL-TG%,"0.790 [0.667,0.913]",9.031e-31,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-VLDL-L,"0.768 [0.654,0.882]",1.876e-34,***,Total-Lipids in Medium VLDL
S-HDL-FC,"0.743 [0.629,0.857]",7.092e-32,***,Free Cholesterol in Small HDL
XL-HDL-TG,"0.734 [0.619,0.850]",3.447e-30,***,Triglycerides in Very Large HDL
VLDL-C,"0.729 [0.616,0.841]",2.033e-31,***,VLDL Cholesterol
L-LDL-TG%,"0.727 [0.602,0.852]",1.602e-24,***,Triglycerides to Total-Lipids in Large LDL percentage
Omega-6,"0.721 [0.603,0.839]",9.976e-28,***,Omega-6 Fatty Acids
M-VLDL-TG%,"0.717 [0.599,0.835]",3.041e-27,***,Triglycerides to Total-Lipids in Medium VLDL percentage
Total-L,"0.713 [0.595,0.832]",1.309e-26,***,Total-Lipids in Lipoprotein Particles
IDL-TG%,"0.704 [0.579,0.829]",5.713e-23,***,Triglycerides to Total-Lipids in IDL percentage
S-HDL-P,"0.701 [0.590,0.811]",4.471e-30,***,Concentration of Small HDL Particles
Phosphoglyc,"0.697 [0.575,0.818]",6.952e-24,***,Phosphoglycerides
LA,"0.670 [0.554,0.787]",6.060e-24,***,Linoleic Acid
PUFA,"0.665 [0.545,0.784]",2.174e-22,***,Polyunsaturated Fatty Acids
S-VLDL-PL,"0.663 [0.551,0.775]",9.548e-26,***,Phospholipids in Small VLDL
SFA%,"0.661 [0.536,0.786]",8.955e-20,***,Saturated Fatty Acids to Total-Fatty Acids percentage
M-VLDL-P,"0.656 [0.544,0.769]",8.027e-25,***,Concentration of Medium VLDL Particles
M-VLDL-PL,"0.639 [0.527,0.751]",2.138e-23,***,Phospholipids in Medium VLDL
S-VLDL-CE,"0.633 [0.522,0.744]",8.444e-24,***,Cholesteryl Esters in Small VLDL
Sc-ala,"0.629 [0.515,0.744]",1.026e-21,***,Spectrometer-corrected alanine
Val,"0.629 [0.509,0.749]",3.006e-19,***,Valine
XL-VLDL-TG%,"0.625 [0.517,0.734]",3.265e-24,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
Total-PL,"0.625 [0.504,0.746]",1.210e-18,***,Total-Phospholipids in Lipoprotein Particles
VLDL-CE,"0.624 [0.512,0.736]",1.960e-22,***,Cholesteryl Esters in VLDL
Total-BCAA,"0.610 [0.489,0.731]",1.241e-17,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
M-LDL-TG%,"0.607 [0.487,0.727]",7.284e-18,***,Triglycerides to Total-Lipids in Medium LDL percentage
S-HDL-C,"0.606 [0.494,0.717]",3.590e-21,***,Cholesterol in Small HDL
Lactate,"0.594 [0.489,0.698]",2.461e-23,***,Lactate
L-HDL-TG,"0.589 [0.478,0.701]",1.059e-19,***,Triglycerides in Large HDL
Cholines,"0.587 [0.465,0.709]",9.202e-16,***,Total-Cholines
S-VLDL-C,"0.586 [0.475,0.697]",1.138e-19,***,Cholesterol in Small VLDL
XS-VLDL-L,"0.582 [0.468,0.695]",2.573e-18,***,Total-Lipids in Very Small VLDL
S-VLDL-TG%,"0.582 [0.468,0.696]",4.030e-18,***,Triglycerides to Total-Lipids in Small VLDL percentage
XS-VLDL-PL,"0.575 [0.462,0.688]",5.508e-18,***,Phospholipids in Very Small VLDL
M-LDL-CE,"0.569 [0.455,0.683]",2.969e-17,***,Cholesteryl Esters in Medium LDL
PC,"0.562 [0.440,0.683]",3.139e-14,***,Phosphatidylcholines
S-LDL-CE,"0.554 [0.440,0.668]",3.447e-16,***,Cholesteryl Esters in Small LDL
XS-VLDL-P,"0.549 [0.437,0.661]",2.143e-16,***,Concentration of Very Small VLDL Particles
Remnant-C,"0.547 [0.432,0.661]",2.600e-15,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Tyr,"0.541 [0.423,0.658]",4.958e-14,***,Tyrosine
M-LDL-L,"0.536 [0.422,0.650]",5.562e-15,***,Total-Lipids in Medium LDL
S-HDL-CE,"0.535 [0.425,0.645]",4.337e-16,***,Cholesteryl Esters in Small HDL
M-LDL-PL,"0.534 [0.421,0.646]",3.244e-15,***,Phospholipids in Medium LDL
M-VLDL-FC,"0.512 [0.401,0.624]",6.435e-14,***,Free Cholesterol in Medium VLDL
Ala,"0.489 [0.373,0.606]",5.079e-11,***,Alanine
S-VLDL-FC,"0.489 [0.378,0.601]",1.949e-12,***,Free Cholesterol in Small VLDL
Pyruvate,"0.485 [0.392,0.577]",2.991e-19,***,Pyruvate
M-LDL-CE%,"0.485 [0.371,0.598]",1.230e-11,***,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
M-LDL-C,"0.483 [0.370,0.597]",1.659e-11,***,Cholesterol in Medium LDL
S-LDL-P,"0.475 [0.362,0.587]",3.469e-11,***,Concentration of Small LDL Particles
M-LDL-P,"0.461 [0.348,0.575]",3.738e-10,***,Concentration of Medium LDL Particles
Non-HDL-C,"0.455 [0.340,0.571]",2.552e-09,***,Total-Cholesterol Minus HDL-C
M-HDL-PL,"0.449 [0.330,0.569]",3.982e-08,***,Phospholipids in Medium HDL
S-LDL-L,"0.442 [0.328,0.556]",5.546e-09,***,Total-Lipids in Small LDL
XS-VLDL-FC,"0.437 [0.324,0.550]",6.796e-09,***,Free Cholesterol in Very Small VLDL
ApoB,"0.436 [0.323,0.549]",1.005e-08,***,Apolipoprotein B
LDL-CE,"0.431 [0.317,0.546]",3.527e-08,***,Cholesteryl Esters in LDL
S-LDL-C,"0.417 [0.304,0.530]",1.101e-07,***,Cholesterol in Small LDL
LDL-L,"0.414 [0.299,0.529]",3.724e-07,***,Total-Lipids in LDL
LDL-PL,"0.399 [0.285,0.512]",1.173e-06,***,Phospholipids in LDL
Total-FC,"0.396 [0.279,0.514]",8.176e-06,***,Total-Free Cholesterol
IDL-P,"0.382 [0.271,0.494]",3.778e-06,***,Concentration of IDL Particles
LDL-P,"0.381 [0.269,0.494]",7.060e-06,***,Concentration of LDL Particles
Leu,"0.379 [0.255,0.504]",5.243e-04,***,Leucine
LDL-C,"0.356 [0.241,0.471]",2.823e-04,***,LDL Cholesterol
L-LDL-L,"0.356 [0.240,0.471]",3.551e-04,***,Total-Lipids in Large LDL
L-LDL-PL,"0.355 [0.242,0.469]",2.029e-04,***,Phospholipids in Large LDL
S-HDL-PL%,"0.354 [0.235,0.472]",0.001,**,Phospholipids to Total-Lipids in Small HDL percentage
L-LDL-CE,"0.351 [0.236,0.465]",4.801e-04,***,Cholesteryl Esters in Large LDL
XXL-VLDL-PL%,"0.348 [0.248,0.449]",2.167e-06,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Total-P,"0.346 [0.229,0.463]",0.002,**,Total-Concentration of Lipoprotein Particles
XS-VLDL-C,"0.342 [0.228,0.456]",9.642e-04,***,Cholesterol in Very Small VLDL
L-VLDL-FC%,"0.328 [0.224,0.432]",1.691e-04,***,Free Cholesterol to Total-Lipids in Large VLDL percentage
Total-C,"0.326 [0.206,0.446]",0.024,*,Total-Cholesterol
IDL-L,"0.323 [0.205,0.441]",0.017,*,Total-Lipids in IDL
ApoB/ApoA1,"0.322 [0.205,0.440]",0.015,*,Apolipoprotein B to Apolipoprotein A1 ratio
L-LDL-P,"0.315 [0.202,0.427]",0.010,**,Concentration of Large LDL Particles
Acetoacetate,"0.311 [0.196,0.425]",0.024,*,Acetoacetate
XL-VLDL-PL%,"0.291 [0.188,0.395]",0.008,**,Phospholipids to Total-Lipids in Very Large VLDL percentage
Albumin,"-0.323 [-0.437,-0.209]",0.007,**,Albumin
S-VLDL-CE%,"-0.353 [-0.468,-0.238]",3.866e-04,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
HDL-C,"-0.371 [-0.496,-0.246]",0.001,**,HDL Cholesterol
IDL-C%,"-0.380 [-0.506,-0.255]",6.297e-04,***,Cholesterol to Total-Lipids in IDL percentage
IDL-PL%,"-0.393 [-0.504,-0.282]",1.070e-06,***,Phospholipids to Total-Lipids in IDL percentage
HDL-CE,"-0.422 [-0.546,-0.297]",7.295e-06,***,Cholesteryl Esters in HDL
L-VLDL-C%,"-0.428 [-0.541,-0.315]",2.987e-08,***,Cholesterol to Total-Lipids in Large VLDL percentage
LDL-size,"-0.433 [-0.557,-0.310]",1.462e-06,***,Average Diameter for LDL Particles
M-VLDL-PL%,"-0.444 [-0.565,-0.323]",1.557e-07,***,Phospholipids to Total-Lipids in Medium VLDL percentage
Omega-3%,"-0.473 [-0.591,-0.356]",8.369e-10,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
XXL-VLDL-C%,"-0.497 [-0.609,-0.385]",6.013e-13,***,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-LDL-C%,"-0.509 [-0.627,-0.391]",6.397e-12,***,Cholesterol to Total-Lipids in Medium LDL percentage
S-HDL-FC%,"-0.529 [-0.643,-0.414]",2.853e-14,***,Free Cholesterol to Total-Lipids in Small HDL percentage
L-HDL-PL,"-0.543 [-0.665,-0.421]",6.346e-13,***,Phospholipids in Large HDL
M-HDL-FC%,"-0.559 [-0.696,-0.422]",2.699e-10,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
S-VLDL-C%,"-0.577 [-0.696,-0.459]",3.451e-16,***,Cholesterol to Total-Lipids in Small VLDL percentage
L-HDL-FC%,"-0.586 [-0.734,-0.438]",1.677e-09,***,Free Cholesterol to Total-Lipids in Large HDL percentage
XL-HDL-CE%,"-0.586 [-0.719,-0.454]",8.879e-13,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
Gly,"-0.604 [-0.708,-0.500]",1.513e-24,***,Glycine
Acetate,"-0.613 [-0.728,-0.498]",4.827e-20,***,Acetate
L-HDL-FC,"-0.649 [-0.768,-0.531]",1.478e-21,***,Free Cholesterol in Large HDL
