Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
M-VLDL-L,"0.031 [0.028,0.034]",2.890e-83,***,Total-Lipids in Medium VLDL
L-VLDL-PL%,"0.030 [0.027,0.033]",8.406e-93,***,Phospholipids to Total-Lipids in Large VLDL percentage
Val,"0.028 [0.025,0.031]",6.230e-60,***,Valine
Total-FA,"0.027 [0.024,0.031]",6.789e-56,***,Total-Fatty Acids
SFA,"0.026 [0.022,0.029]",7.511e-48,***,Saturated Fatty Acids
Total-BCAA,"0.026 [0.022,0.029]",1.540e-51,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Acetate,"0.025 [0.022,0.029]",4.301e-54,***,Acetate
L-HDL-TG,"0.025 [0.022,0.028]",5.398e-57,***,Triglycerides in Large HDL
Gln,"0.025 [0.022,0.028]",1.138e-51,***,Glutamine
M-VLDL-P,"0.025 [0.022,0.028]",3.432e-54,***,Concentration of Medium VLDL Particles
Ile,"0.024 [0.021,0.027]",6.409e-47,***,Isoleucine
VLDL-C,"0.024 [0.021,0.027]",2.359e-49,***,VLDL Cholesterol
M-VLDL-PL,"0.024 [0.021,0.027]",1.703e-48,***,Phospholipids in Medium VLDL
S-VLDL-PL,"0.024 [0.021,0.027]",7.220e-49,***,Phospholipids in Small VLDL
XXL-VLDL-TG%,"0.022 [0.019,0.025]",2.240e-45,***,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
IDL-PL%,"0.022 [0.019,0.025]",5.468e-43,***,Phospholipids to Total-Lipids in IDL percentage
Creatinine,"0.022 [0.018,0.026]",5.277e-23,***,Creatinine
S-VLDL-CE,"0.021 [0.018,0.024]",3.475e-38,***,Cholesteryl Esters in Small VLDL
XS-VLDL-PL,"0.020 [0.017,0.023]",6.980e-35,***,Phospholipids in Very Small VLDL
Leu,"0.020 [0.017,0.023]",1.917e-30,***,Leucine
ApoB/ApoA1,"0.020 [0.016,0.023]",7.715e-30,***,Apolipoprotein B to Apolipoprotein A1 ratio
S-VLDL-C,"0.019 [0.016,0.022]",4.031e-29,***,Cholesterol in Small VLDL
LA,"0.018 [0.015,0.022]",4.783e-25,***,Linoleic Acid
VLDL-CE,"0.018 [0.015,0.021]",8.306e-27,***,Cholesteryl Esters in VLDL
M-LDL-CE%,"0.018 [0.015,0.021]",6.094e-26,***,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
M-VLDL-FC,"0.017 [0.014,0.020]",8.975e-25,***,Free Cholesterol in Medium VLDL
L-HDL-PL%,"0.017 [0.013,0.021]",4.392e-14,***,Phospholipids to Total-Lipids in Large HDL percentage
S-LDL-P,"0.017 [0.014,0.020]",1.957e-21,***,Concentration of Small LDL Particles
L-LDL-CE%,"0.016 [0.013,0.019]",1.358e-21,***,Cholesteryl Esters to Total-Lipids in Large LDL percentage
XS-VLDL-L,"0.016 [0.013,0.019]",1.060e-20,***,Total-Lipids in Very Small VLDL
S-LDL-CE%,"0.016 [0.013,0.019]",1.363e-20,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
XL-HDL-FC%,"0.016 [0.012,0.020]",4.467e-11,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
S-VLDL-FC,"0.014 [0.011,0.017]",8.946e-16,***,Free Cholesterol in Small VLDL
XS-VLDL-P,"0.014 [0.011,0.017]",2.384e-15,***,Concentration of Very Small VLDL Particles
PUFA,"0.014 [0.011,0.017]",1.279e-12,***,Polyunsaturated Fatty Acids
Omega-6,"0.013 [0.010,0.017]",3.920e-11,***,Omega-6 Fatty Acids
S-LDL-CE,"0.013 [0.010,0.016]",7.917e-11,***,Cholesteryl Esters in Small LDL
Citrate,"0.013 [0.010,0.016]",1.855e-10,***,Citrate
Phe,"0.012 [0.009,0.015]",8.461e-10,***,Phenylalanine
Total-L,"0.012 [0.009,0.015]",3.467e-08,***,Total-Lipids in Lipoprotein Particles
Glu-lactate,"0.011 [0.008,0.015]",3.143e-07,***,Glucose-lactate
Albumin,"0.011 [0.008,0.014]",3.173e-07,***,Albumin
XS-VLDL-FC,"0.011 [0.008,0.014]",5.622e-08,***,Free Cholesterol in Very Small VLDL
S-LDL-L,"0.010 [0.007,0.013]",7.670e-06,***,Total-Lipids in Small LDL
LDL-P,"0.010 [0.007,0.013]",5.069e-06,***,Concentration of LDL Particles
M-LDL-CE,"0.010 [0.007,0.013]",1.588e-04,***,Cholesteryl Esters in Medium LDL
Omega-3,"0.010 [0.006,0.013]",4.467e-04,***,Omega-3 Fatty Acids
ApoB,"0.009 [0.006,0.012]",2.790e-04,***,Apolipoprotein B
L-LDL-P,"0.009 [0.006,0.012]",3.150e-04,***,Concentration of Large LDL Particles
Acetoacetate,"0.009 [0.006,0.012]",2.908e-04,***,Acetoacetate
XL-VLDL-PL%,"0.009 [0.007,0.012]",1.232e-05,***,Phospholipids to Total-Lipids in Very Large VLDL percentage
Gly,"0.009 [0.006,0.012]",2.194e-05,***,Glycine
M-LDL-P,"0.009 [0.006,0.012]",0.006,**,Concentration of Medium LDL Particles
His,"0.008 [0.005,0.011]",0.024,*,Histidine
L-VLDL-TG%,"0.008 [0.005,0.011]",0.003,**,Triglycerides to Total-Lipids in Large VLDL percentage
S-LDL-FC,"-0.009 [-0.012,-0.006]",0.002,**,Free Cholesterol in Small LDL
DHA,"-0.009 [-0.012,-0.006]",0.008,**,Docosahexaenoic Acid
XL-HDL-P,"-0.009 [-0.012,-0.006]",6.024e-04,***,Concentration of Very Large HDL Particles
IDL-L,"-0.009 [-0.013,-0.006]",0.001,**,Total-Lipids in IDL
M-LDL-PL%,"-0.010 [-0.013,-0.007]",2.415e-05,***,Phospholipids to Total-Lipids in Medium LDL percentage
Total-CE,"-0.010 [-0.013,-0.007]",1.784e-04,***,Total-Esterified Cholesterol
XL-HDL-FC,"-0.011 [-0.014,-0.008]",1.389e-08,***,Free Cholesterol in Very Large HDL
LDL-FC,"-0.012 [-0.015,-0.008]",4.770e-08,***,Free Cholesterol in LDL
S-HDL-P,"-0.013 [-0.016,-0.010]",1.547e-11,***,Concentration of Small HDL Particles
LA%,"-0.013 [-0.016,-0.010]",1.930e-08,***,Linoleic Acid to Total-Fatty Acids percentage
L-LDL-FC,"-0.013 [-0.016,-0.010]",7.152e-12,***,Free Cholesterol in Large LDL
XL-HDL-PL,"-0.013 [-0.016,-0.010]",5.891e-12,***,Phospholipids in Very Large HDL
XL-HDL-L,"-0.014 [-0.017,-0.011]",3.677e-13,***,Total-Lipids in Very Large HDL
IDL-CE,"-0.014 [-0.017,-0.011]",3.465e-13,***,Cholesteryl Esters in IDL
LDL-size,"-0.014 [-0.018,-0.011]",1.015e-12,***,Average Diameter for LDL Particles
S-LDL-PL%,"-0.015 [-0.018,-0.012]",3.686e-17,***,Phospholipids to Total-Lipids in Small LDL percentage
IDL-C,"-0.015 [-0.018,-0.012]",8.799e-16,***,Cholesterol in IDL
M-HDL-PL,"-0.017 [-0.020,-0.013]",4.718e-19,***,Phospholipids in Medium HDL
3-Hydroxybutyrate,"-0.017 [-0.020,-0.014]",1.479e-24,***,3-Hydroxybutyrate
IDL-FC,"-0.017 [-0.020,-0.014]",6.348e-22,***,Free Cholesterol in IDL
HDL-size,"-0.018 [-0.021,-0.014]",3.143e-20,***,Average Diameter for HDL Particles
S-HDL-C,"-0.018 [-0.021,-0.015]",1.348e-25,***,Cholesterol in Small HDL
XL-HDL-C,"-0.018 [-0.021,-0.015]",3.891e-26,***,Cholesterol in Very Large HDL
HDL-PL,"-0.020 [-0.023,-0.017]",7.503e-27,***,Phospholipids in HDL
XL-HDL-CE,"-0.020 [-0.023,-0.017]",2.997e-31,***,Cholesteryl Esters in Very Large HDL
XL-HDL-C%,"-0.020 [-0.024,-0.017]",1.936e-23,***,Cholesterol to Total-Lipids in Very Large HDL percentage
Total-P,"-0.021 [-0.024,-0.018]",2.227e-32,***,Total-Concentration of Lipoprotein Particles
M-HDL-L,"-0.021 [-0.024,-0.018]",1.437e-31,***,Total-Lipids in Medium HDL
SM,"-0.021 [-0.024,-0.018]",3.811e-32,***,Sphingomyelins
S-HDL-CE,"-0.022 [-0.025,-0.019]",2.126e-40,***,Cholesteryl Esters in Small HDL
ApoA1,"-0.022 [-0.025,-0.019]",6.822e-34,***,Apolipoprotein A1
XXL-VLDL-CE%,"-0.023 [-0.025,-0.020]",5.051e-47,***,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
HDL-FC,"-0.023 [-0.026,-0.019]",2.693e-37,***,Free Cholesterol in HDL
M-HDL-P,"-0.023 [-0.026,-0.020]",6.547e-42,***,Concentration of Medium HDL Particles
HDL-P,"-0.023 [-0.026,-0.020]",1.806e-42,***,Concentration of HDL Particles
HDL-L,"-0.023 [-0.027,-0.020]",1.793e-37,***,Total-Lipids in HDL
M-HDL-FC,"-0.024 [-0.027,-0.020]",5.899e-42,***,Free Cholesterol in Medium HDL
L-HDL-P,"-0.024 [-0.027,-0.020]",1.145e-42,***,Concentration of Large HDL Particles
L-HDL-FC,"-0.024 [-0.027,-0.021]",5.360e-43,***,Free Cholesterol in Large HDL
L-HDL-PL,"-0.026 [-0.029,-0.022]",1.682e-47,***,Phospholipids in Large HDL
S-LDL-C%,"-0.026 [-0.029,-0.023]",7.891e-55,***,Cholesterol to Total-Lipids in Small LDL percentage
L-LDL-C%,"-0.026 [-0.030,-0.023]",3.364e-45,***,Cholesterol to Total-Lipids in Large LDL percentage
L-HDL-L,"-0.027 [-0.030,-0.023]",9.423e-50,***,Total-Lipids in Large HDL
L-LDL-PL%,"-0.027 [-0.030,-0.024]",3.686e-66,***,Phospholipids to Total-Lipids in Large LDL percentage
XL-VLDL-FC%,"-0.027 [-0.030,-0.025]",1.499e-67,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
DHA%,"-0.028 [-0.031,-0.024]",4.901e-54,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
L-VLDL-C%,"-0.028 [-0.032,-0.025]",9.483e-71,***,Cholesterol to Total-Lipids in Large VLDL percentage
M-HDL-FC%,"-0.029 [-0.032,-0.025]",2.812e-47,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
