Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
GlycA,"1.452 [1.428,1.477]",0.000e+00,***,Glycoprotein Acetyls
L-LDL-TG%,"0.565 [0.539,0.591]",0.000e+00,***,Triglycerides to Total-Lipids in Large LDL percentage
XS-VLDL-PL%,"0.506 [0.481,0.531]",0.000e+00,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
IDL-TG%,"0.499 [0.473,0.525]",6.064e-301,***,Triglycerides to Total-Lipids in IDL percentage
MUFA%,"0.486 [0.459,0.513]",1.579e-258,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-HDL-PL%,"0.478 [0.450,0.506]",4.332e-247,***,Phospholipids to Total-Lipids in Medium HDL percentage
M-LDL-TG%,"0.475 [0.450,0.500]",8.761e-298,***,Triglycerides to Total-Lipids in Medium LDL percentage
S-LDL-TG%,"0.358 [0.333,0.384]",1.976e-162,***,Triglycerides to Total-Lipids in Small LDL percentage
IDL-TG,"0.345 [0.320,0.369]",5.921e-160,***,Triglycerides in IDL
XS-VLDL-TG,"0.342 [0.317,0.367]",7.837e-157,***,Triglycerides in Very Small VLDL
IDL-PL%,"0.340 [0.316,0.363]",8.657e-173,***,Phospholipids to Total-Lipids in IDL percentage
L-HDL-PL%,"0.335 [0.306,0.364]",2.119e-107,***,Phospholipids to Total-Lipids in Large HDL percentage
L-LDL-TG,"0.322 [0.297,0.347]",1.398e-134,***,Triglycerides in Large LDL
S-HDL-TG%,"0.319 [0.294,0.344]",2.175e-132,***,Triglycerides to Total-Lipids in Small HDL percentage
LDL-TG,"0.305 [0.280,0.330]",1.652e-116,***,Triglycerides in LDL
XS-VLDL-TG%,"0.299 [0.273,0.325]",6.817e-106,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-LDL-TG,"0.277 [0.251,0.303]",3.745e-92,***,Triglycerides in Medium LDL
MUFA,"0.255 [0.229,0.281]",4.393e-76,***,Monounsaturated Fatty Acids
M-HDL-TG%,"0.246 [0.221,0.271]",6.179e-77,***,Triglycerides to Total-Lipids in Medium HDL percentage
TG/PG,"0.243 [0.216,0.271]",1.493e-61,***,Triglycerides to Phosphoglycerides ratio
S-LDL-TG,"0.231 [0.205,0.257]",3.479e-61,***,Triglycerides in Small LDL
S-HDL-TG,"0.222 [0.197,0.247]",1.134e-62,***,Triglycerides in Small HDL
XXL-VLDL-PL%,"0.222 [0.200,0.243]",3.971e-87,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-VLDL-TG,"0.216 [0.191,0.241]",1.533e-59,***,Triglycerides in Small VLDL
XS-VLDL-PL,"0.213 [0.190,0.237]",2.660e-63,***,Phospholipids in Very Small VLDL
L-HDL-TG%,"0.204 [0.176,0.231]",1.393e-42,***,Triglycerides to Total-Lipids in Large HDL percentage
3-Hydroxybutyrate,"0.203 [0.181,0.226]",1.826e-63,***,3-Hydroxybutyrate
XXL-VLDL-PL,"0.201 [0.175,0.228]",1.223e-44,***,Phospholipids in Chylomicrons and Extremely Large VLDL
S-VLDL-TG%,"0.194 [0.170,0.219]",2.804e-50,***,Triglycerides to Total-Lipids in Small VLDL percentage
XXL-VLDL-FC,"0.193 [0.167,0.219]",5.014e-42,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
L-VLDL-PL%,"0.191 [0.169,0.213]",2.561e-59,***,Phospholipids to Total-Lipids in Large VLDL percentage
XXL-VLDL-P,"0.186 [0.160,0.213]",3.205e-37,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
XXL-VLDL-C,"0.183 [0.157,0.209]",4.980e-38,***,Cholesterol in Chylomicrons and Extremely Large VLDL
L-VLDL-FC%,"0.180 [0.158,0.202]",9.923e-52,***,Free Cholesterol to Total-Lipids in Large VLDL percentage
Acetoacetate,"0.177 [0.153,0.201]",5.797e-43,***,Acetoacetate
XXL-VLDL-CE,"0.173 [0.147,0.198]",1.306e-33,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
S-HDL-PL%,"0.172 [0.147,0.197]",7.614e-37,***,Phospholipids to Total-Lipids in Small HDL percentage
XXL-VLDL-L,"0.167 [0.141,0.194]",1.044e-29,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
HDL-TG,"0.165 [0.141,0.189]",1.276e-35,***,Triglycerides in HDL
Lactate,"0.161 [0.138,0.185]",9.883e-35,***,Lactate
XS-VLDL-L,"0.160 [0.136,0.184]",1.459e-33,***,Total-Lipids in Very Small VLDL
XL-HDL-TG,"0.160 [0.135,0.184]",3.713e-32,***,Triglycerides in Very Large HDL
Total-TG,"0.156 [0.130,0.181]",1.994e-27,***,Total-Triglycerides
M-HDL-TG,"0.155 [0.131,0.179]",7.712e-32,***,Triglycerides in Medium HDL
XL-HDL-TG%,"0.155 [0.128,0.182]",7.477e-24,***,Triglycerides to Total-Lipids in Very Large HDL percentage
XXL-VLDL-TG,"0.149 [0.122,0.176]",3.127e-22,***,Triglycerides in Chylomicrons and Extremely Large VLDL
XS-VLDL-FC,"0.142 [0.119,0.166]",2.661e-26,***,Free Cholesterol in Very Small VLDL
S-VLDL-P,"0.140 [0.116,0.164]",1.603e-24,***,Concentration of Small VLDL Particles
S-LDL-PL%,"0.139 [0.115,0.163]",4.745e-25,***,Phospholipids to Total-Lipids in Small LDL percentage
XS-VLDL-P,"0.139 [0.115,0.162]",5.587e-25,***,Concentration of Very Small VLDL Particles
SFA%,"0.137 [0.111,0.163]",1.543e-19,***,Saturated Fatty Acids to Total-Fatty Acids percentage
SFA,"0.134 [0.108,0.160]",1.441e-18,***,Saturated Fatty Acids
XL-VLDL-PL,"0.132 [0.106,0.158]",1.976e-18,***,Phospholipids in Very Large VLDL
XL-VLDL-P,"0.132 [0.106,0.158]",6.180e-18,***,Concentration of Very Large VLDL Particles
XL-VLDL-TG,"0.131 [0.105,0.157]",6.091e-17,***,Triglycerides in Very Large VLDL
Omega-6/Omega-3,"0.129 [0.104,0.154]",1.785e-18,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
S-VLDL-L,"0.128 [0.103,0.152]",8.068e-20,***,Total-Lipids in Small VLDL
XL-VLDL-FC,"0.124 [0.099,0.150]",2.557e-16,***,Free Cholesterol in Very Large VLDL
XL-VLDL-L,"0.123 [0.097,0.149]",3.109e-15,***,Total-Lipids in Very Large VLDL
Phe,"0.120 [0.097,0.144]",7.601e-18,***,Phenylalanine
VLDL-TG,"0.120 [0.094,0.146]",1.048e-14,***,Triglycerides in VLDL
XL-HDL-FC%,"0.118 [0.088,0.148]",3.855e-09,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
XL-HDL-PL%,"0.117 [0.086,0.148]",4.048e-08,***,Phospholipids to Total-Lipids in Very Large HDL percentage
Glu-lactate,"0.116 [0.091,0.141]",1.694e-14,***,Glucose-lactate
M-VLDL-TG%,"0.113 [0.088,0.138]",2.144e-13,***,Triglycerides to Total-Lipids in Medium VLDL percentage
Pyruvate,"0.113 [0.089,0.137]",8.660e-15,***,Pyruvate
L-VLDL-PL,"0.113 [0.087,0.138]",6.326e-13,***,Phospholipids in Large VLDL
Total-FA,"0.107 [0.082,0.133]",7.211e-11,***,Total-Fatty Acids
L-VLDL-P,"0.104 [0.079,0.130]",3.400e-10,***,Concentration of Large VLDL Particles
VLDL-PL,"0.103 [0.079,0.128]",3.493e-11,***,Phospholipids in VLDL
VLDL-P,"0.102 [0.078,0.126]",2.387e-11,***,Concentration of VLDL Particles
L-VLDL-FC,"0.100 [0.075,0.125]",1.565e-09,***,Free Cholesterol in Large VLDL
S-VLDL-CE,"0.096 [0.072,0.119]",3.465e-10,***,Cholesteryl Esters in Small VLDL
XL-VLDL-C,"0.094 [0.069,0.119]",2.788e-08,***,Cholesterol in Very Large VLDL
VLDL-L,"0.094 [0.069,0.118]",3.904e-08,***,Total-Lipids in VLDL
XL-VLDL-PL%,"0.092 [0.070,0.114]",3.733e-11,***,Phospholipids to Total-Lipids in Very Large VLDL percentage
L-VLDL-C,"0.083 [0.059,0.108]",5.845e-06,***,Cholesterol in Large VLDL
L-HDL-TG,"0.074 [0.051,0.098]",1.677e-04,***,Triglycerides in Large HDL
VLDL-FC,"0.072 [0.048,0.097]",0.001,**,Free Cholesterol in VLDL
L-VLDL-C%,"0.072 [0.048,0.096]",7.535e-04,***,Cholesterol to Total-Lipids in Large VLDL percentage
L-VLDL-CE,"0.068 [0.044,0.091]",0.007,**,Cholesteryl Esters in Large VLDL
L-VLDL-L,"0.067 [0.042,0.093]",0.039,*,Total-Lipids in Large VLDL
XL-VLDL-CE,"0.066 [0.041,0.090]",0.029,*,Cholesteryl Esters in Very Large VLDL
LDL-P,"-0.065 [-0.089,-0.041]",0.021,*,Concentration of LDL Particles
Remnant-C,"-0.070 [-0.095,-0.046]",0.004,**,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
S-LDL-PL,"-0.072 [-0.096,-0.048]",8.721e-04,***,Phospholipids in Small LDL
XL-HDL-P,"-0.072 [-0.096,-0.048]",8.759e-04,***,Concentration of Very Large HDL Particles
IDL-PL,"-0.076 [-0.100,-0.051]",3.272e-04,***,Phospholipids in IDL
Acetone,"-0.076 [-0.101,-0.052]",2.454e-04,***,Acetone
HDL-size,"-0.078 [-0.104,-0.052]",0.001,**,Average Diameter for HDL Particles
M-LDL-PL%,"-0.080 [-0.103,-0.057]",4.596e-06,***,Phospholipids to Total-Lipids in Medium LDL percentage
XL-HDL-C,"-0.082 [-0.106,-0.057]",1.077e-05,***,Cholesterol in Very Large HDL
M-VLDL-C,"-0.083 [-0.107,-0.059]",2.081e-06,***,Cholesterol in Medium VLDL
M-LDL-P,"-0.086 [-0.110,-0.062]",5.216e-07,***,Concentration of Medium LDL Particles
S-HDL-PL,"-0.089 [-0.113,-0.065]",8.002e-08,***,Phospholipids in Small HDL
XL-VLDL-C%,"-0.090 [-0.114,-0.065]",1.252e-07,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
Total-L,"-0.091 [-0.117,-0.066]",3.975e-07,***,Total-Lipids in Lipoprotein Particles
M-HDL-PL,"-0.098 [-0.123,-0.073]",5.247e-09,***,Phospholipids in Medium HDL
Total-PL,"-0.099 [-0.125,-0.073]",1.810e-08,***,Total-Phospholipids in Lipoprotein Particles
Phosphoglyc,"-0.099 [-0.125,-0.073]",1.775e-08,***,Phosphoglycerides
S-LDL-L,"-0.099 [-0.123,-0.075]",1.695e-10,***,Total-Lipids in Small LDL
XL-HDL-CE,"-0.105 [-0.130,-0.081]",8.644e-12,***,Cholesteryl Esters in Very Large HDL
S-HDL-FC,"-0.107 [-0.132,-0.083]",1.301e-12,***,Free Cholesterol in Small HDL
S-LDL-CE,"-0.109 [-0.133,-0.085]",3.092e-13,***,Cholesteryl Esters in Small LDL
XL-VLDL-CE%,"-0.113 [-0.138,-0.089]",4.033e-14,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
IDL-P,"-0.114 [-0.137,-0.090]",5.540e-16,***,Concentration of IDL Particles
L-HDL-PL,"-0.116 [-0.142,-0.090]",3.962e-13,***,Phospholipids in Large HDL
M-LDL-CE,"-0.116 [-0.140,-0.092]",1.712e-15,***,Cholesteryl Esters in Medium LDL
L-HDL-FC,"-0.119 [-0.144,-0.094]",5.971e-15,***,Free Cholesterol in Large HDL
M-VLDL-CE,"-0.119 [-0.143,-0.095]",4.750e-17,***,Cholesteryl Esters in Medium VLDL
S-HDL-L,"-0.121 [-0.145,-0.097]",1.018e-17,***,Total-Lipids in Small HDL
Omega-3,"-0.122 [-0.147,-0.098]",7.635e-17,***,Omega-3 Fatty Acids
M-LDL-L,"-0.124 [-0.148,-0.100]",1.627e-18,***,Total-Lipids in Medium LDL
Cholines,"-0.125 [-0.151,-0.099]",1.353e-15,***,Total-Cholines
S-LDL-CE%,"-0.125 [-0.149,-0.101]",4.219e-19,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
HDL-PL,"-0.126 [-0.153,-0.100]",5.879e-16,***,Phospholipids in HDL
M-VLDL-C%,"-0.127 [-0.154,-0.100]",1.816e-14,***,Cholesterol to Total-Lipids in Medium VLDL percentage
IDL-FC,"-0.129 [-0.154,-0.105]",1.677e-19,***,Free Cholesterol in IDL
Non-HDL-C,"-0.129 [-0.154,-0.105]",1.254e-19,***,Total-Cholesterol Minus HDL-C
M-LDL-PL,"-0.133 [-0.157,-0.109]",2.979e-22,***,Phospholipids in Medium LDL
IDL-L,"-0.134 [-0.159,-0.109]",1.851e-20,***,Total-Lipids in IDL
