Code,N_snp,Beta(95%CI),P(Bonferroni),P-star,LONGNAME,Chapter_name
K11_OTHDISDIG,25,0.490 [0.465-0.51],1.000e-315,***,Other diseases of the digestive system,Digestive
E4_LIPOPROTNAS,242,0.456 [0.417-0.50],2.179e-109,***,"Disorder of lipoprotein metabolism, unspecified",Endocrine and metabolic
N14_RENALTUB,449,0.378 [0.365-0.39],1.000e-315,***,Renal tubulo-interstitial diseases,Genitourinary
K11_OESSTODUO,43,0.327 [0.268-0.39],1.879e-22,***,"Diseases of oesophagus, stomach and duodenum",Digestive
E4_HYPERLIPNAS,1251,0.322 [0.296-0.35],1.156e-127,***,"Hyperlipidaemia, other/unspecified",Endocrine and metabolic
M13_SOFTTISSUE,1904,0.287 [0.268-0.31],5.218e-175,***,Soft tissue disorders,Musculoskeletal
E4_FH,518,0.264 [0.232-0.30],6.536e-55,***,Familial hypercholesterolemia,Endocrine and metabolic
I9_POSTAMI,149,0.251 [0.202-0.30],8.176e-19,***,Status post-ami,Circulatory
E4_METABOLIA,4834,0.247 [0.229-0.27],1.556e-142,***,Metabolic disorders,Endocrine and metabolic
CD2_BENIGN_COLON_NOS,212,0.223 [0.156-0.29],1.750e-05,***,"Benign neoplasm: Colon, unspecified",Neoplasms
K11_FUNCDYSP,169,0.191 [0.181-0.20],1.000e-315,***,Functional dyspepsia,Digestive
G6_MIGRAINE_WITH_AURA,143,0.189 [0.178-0.20],1.646e-281,***,Migraine with aura,Nervous
JOINTPAIN,1595,0.165 [0.155-0.18],7.029e-201,***,Pain in joint,Musculoskeletal
K11_OTHENTERCOL,751,0.162 [0.154-0.17],1.000e-315,***,Other noninfective gastroenteritis and colitis,Digestive
G6_NERPLEX,2804,0.153 [0.143-0.16],1.595e-175,***,"Nerve, nerve root and plexus disorders",Nervous
PD_DEMENTIA,12,0.136 [0.090-0.18],0.001,**,Dementia due to Parkinson's disease,Mental and behavioural
D3_AGRANULOCYTOSIS,347,0.133 [0.130-0.14],1.000e-315,***,Agranulocytosis,Blood and immune
E4_LIPOPROT,7076,0.127 [0.114-0.14],1.376e-75,***,Disorders of lipoprotein metabolism and other lipidaemias,Endocrine and metabolic
I9_ATHSCLE,3616,0.122 [0.116-0.13],6.052e-290,***,"Atherosclerosis, excluding cerebral and coronary sclerosis",Circulatory
M13_MUSCLE,168,0.122 [0.117-0.13],1.000e-315,***,Disorders of muscles,Musculoskeletal
F5_ALCOHOL_DEPENDENCE,95,0.119 [0.097-0.14],6.744e-21,***,Alcohol dependence,Mental and behavioural
CD2_NONFOLLICULAR_LYMPHOMA,1093,0.114 [0.112-0.12],1.000e-315,***,Non-follicular lymphoma,Neoplasms
CD2_BENIGN_PAROTID,171,0.110 [0.103-0.12],1.078e-197,***,Benign neoplasm: Parotid gland,Neoplasms
I9_UAP,1483,0.108 [0.093-0.12],7.420e-36,***,Unstable angina pectoris,Circulatory
I9_OTHPER,110,0.106 [0.089-0.12],5.376e-27,***,Other peripheral vascular diseases,Circulatory
CD2_BENIGN_EAR_RESP,224,0.106 [0.095-0.12],3.265e-69,***,Benign neoplasm of middle ear and respiratory system,Neoplasms
AB1_SEXUAL_TRANSMISSION,7171,0.100 [0.098-0.10],1.000e-315,***,Infections with a predominantly sexual mode of transmission,Infectious and parasitic
AUD,259,0.097 [0.083-0.11],1.009e-36,***,"Alcohol use disorder, ICD-based",Mental and behavioural
O15_PRETERM,17,0.097 [0.072-0.12],3.357e-09,***,Preterm labour and delivery,Pregnancy
K11_HAEMORR,329,0.095 [0.076-0.11],4.520e-17,***,Haemorrhoids and perianal venous thrombosis,Digestive
K11_OTHINFLIV,466,0.090 [0.088-0.09],1.000e-315,***,Other inflammatory liver diseases,Digestive
H7_RETIVASCOCCLUSION,8,0.085 [0.059-0.11],5.491e-05,***,Retinal vascular occlusion,Eye and adnexa
E4_ENDOMETPOSTOP,4212,0.084 [0.083-0.09],1.000e-315,***,"Postprocedural endocrine and metabolic disorders, not elsewhere classified",Endocrine and metabolic
M13_DORSALGIANAS,1009,0.079 [0.072-0.09],4.153e-80,***,Other/unspecified dorsalgia,Musculoskeletal
CD2_BENIGN_COLORECANI,1443,0.079 [0.061-0.10],3.563e-11,***,"Benign neoplasm of colon, rectum, anus and anal canal",Neoplasms
AB1_BACT_INTEST_OTH,357,0.078 [0.070-0.09],7.018e-84,***,Other bacterial intestinal infections,Infectious and parasitic
M13_SHOULDER,206,0.075 [0.053-0.10],4.607e-06,***,Shoulder lesions,Musculoskeletal
K11_CHOLANGI,1455,0.074 [0.073-0.08],1.000e-315,***,"Cholangitis (primary sclerosing, PSC)",Digestive
KRA_PSY_SUBSTANCE,742,0.073 [0.062-0.08],4.361e-34,***,Substance abuse,Mental and behavioural
E4_ADDISON,668,0.068 [0.065-0.07],1.000e-315,***,Adrenocortical insufficiency,Endocrine and metabolic
H8_HL_MIX_NAS,509,0.066 [0.056-0.08],2.014e-31,***,Mixed conductive and sensorineural hearing loss,Ear and mastoid
L12_GRANULOMATOUSSKIN,404,0.063 [0.061-0.06],1.000e-315,***,Granulomatous disorders of skin and subcutaneous tissue,Skin
M13_MCTD,5075,0.062 [0.061-0.06],1.000e-315,***,Mixed connective tissue disease,Musculoskeletal
K11_ORAL_LICHEN_PLANUS,6,0.060 [0.048-0.07],2.491e-17,***,Oral lichen planus,Digestive
N14_CHRONKIDNEYDIS,1777,0.060 [0.054-0.07],7.131e-94,***,Chronic kidney disease,Genitourinary
M13_CONNECTNAS,4565,0.058 [0.056-0.06],1.000e-315,***,Other specified/unspecified systemic involvement of connective tissue,Musculoskeletal
G6_CARPTU,3265,0.057 [0.051-0.06],5.097e-77,***,Carpal tunnel syndrome,Nervous
AB1_SEXUAL_TRANSMISSION_NOS,10411,0.057 [0.055-0.06],1.000e-315,***,"Other predominantly sexually transmitted diseases, not elsewhere classified",Infectious and parasitic
H7_ORBIT,4635,0.056 [0.055-0.06],1.000e-315,***,Disorders of orbit,Eye and adnexa
C3_CERVIX_UTERI,81,0.055 [0.051-0.06],8.090e-158,***,Malignant neoplasm of cervix uteri,Neoplasms
M13_MYOSITIS,988,0.053 [0.052-0.05],1.000e-315,***,Myositis,Musculoskeletal
L12_OTHERCONTACT,39,0.052 [0.033-0.07],0.030,*,Other contact dermatitis,Skin
N14_NEPHROTICSYND,824,0.051 [0.049-0.05],1.000e-315,***,Nephrotic syndrome,Genitourinary
L12_OTHERSKINSUBCUTIS,3364,0.050 [0.042-0.06],6.378e-33,***,Other disorders of skin and subcutaneous tissue,Skin
M13_INTERVERTEB,3685,0.049 [0.043-0.06],2.381e-45,***,Other intervertebral disc disorders,Musculoskeletal
NEURODEGOTH,4178,0.049 [0.044-0.05],1.139e-84,***,Other degenerative diseases of the nervous system,Nervous
D3_ITP,120,0.049 [0.040-0.06],9.939e-21,***,Idiopathic thrombocytopenic purpura,Blood and immune
F5_PANIC,375,0.048 [0.039-0.06],3.751e-21,***,Panic disorder,Mental and behavioural
M13_THORACISPINEPAIN,151,0.048 [0.039-0.06],2.367e-22,***,Pain in thoracic spine,Musculoskeletal
RESP_ILL_DIS_CLASS_ELSEWHERE,55,0.047 [0.044-0.05],1.383e-165,***,Respiratory disorders in diseases classified elsewhere,Respiratory
N14_FIOTHNAS,100,0.047 [0.035-0.06],4.967e-09,***,"Female infertility, cervical, vaginal, other or unspecified origin",Genitourinary
I9_IHD,7725,0.046 [0.038-0.05],1.029e-22,***,"Ischaemic heart disease, wide definition",Circulatory
M13_DORSOPATHYOTH,5393,0.046 [0.039-0.05],1.338e-33,***,"Other dorsopathies, not elsewhere classified",Musculoskeletal
E4_THYROID,25555,0.045 [0.043-0.05],1.000e-315,***,Disorders of the thyroid gland,Endocrine and metabolic
M13_OTHERJOINT,3314,0.044 [0.037-0.05],3.618e-24,***,Other joint disorders,Musculoskeletal
L12_LICHENSIMPLEX,206,0.044 [0.041-0.05],1.288e-173,***,Lichen simplex chronicus,Skin
CD2_HODGKIN_LYMPHOMA,268,0.044 [0.042-0.05],1.000e-315,***,"Hodgkin lymphoma, hilmo",Neoplasms
E4_GOITRENOD,331,0.042 [0.036-0.05],9.616e-40,***,Nontoxic single thyroid nodule,Endocrine and metabolic
N14_FEMALEINFERT,80,0.042 [0.027-0.06],0.017,*,Female infertility,Genitourinary
N14_FEMALE_GENITAL_LSIL,2422,0.041 [0.038-0.04],2.561e-129,***,"LSIL lesion of the cervix uteri, vagina or vulva",Genitourinary
H7_CONJUNCTIVITISACUNONATOPIC,214,0.040 [0.028-0.05],1.784e-06,***,"Conjunctivitis (acute, non atopic)",Eye and adnexa
I9_CORATHER,8695,0.039 [0.032-0.05],2.204e-26,***,Coronary atherosclerosis,Circulatory
L12_LUPUS,5381,0.038 [0.038-0.04],1.000e-315,***,Cutaneous lupus erythematosus,Skin
I9_CHD,6392,0.038 [0.031-0.05],3.445e-17,***,Major coronary heart disease event,Circulatory
I9_ANGINA,5810,0.038 [0.031-0.05],3.662e-17,***,Angina pectoris,Circulatory
K11_MALABSORB,6958,0.038 [0.037-0.04],1.000e-315,***,Intestinal malabsorption,Digestive
F5_SOMATOFORM,95,0.038 [0.026-0.05],2.050e-05,***,Somatoform disorder,Mental and behavioural
M13_SPONDYLOSIS,854,0.037 [0.029-0.04],1.755e-14,***,Spondylosis,Musculoskeletal
K11_OTHDIG,23141,0.036 [0.035-0.04],1.000e-315,***,Diseases of the digestive system,Digestive
ULCEROTH,633,0.036 [0.033-0.04],1.111e-124,***,Other ulcerative colitis,Digestive
E4_THYROIDITAUTOIM,932,0.036 [0.034-0.04],1.000e-315,***,Autoimmune thyroiditis,Endocrine and metabolic
M13_SJOGREN,13564,0.034 [0.033-0.03],1.000e-315,***,Sicca syndrome [Sjögren],Musculoskeletal
