Code,N_snp,Beta(95%CI),P(Bonferroni),P-star,LONGNAME,Chapter_name
N14_RENALTUB,449,0.360 [0.349-0.37],1.000e-315,***,Renal tubulo-interstitial diseases,Genitourinary
M13_SOFTTISSUE,1904,0.198 [0.184-0.21],1.668e-160,***,Soft tissue disorders,Musculoskeletal
K11_OESSTODUO,43,0.151 [0.114-0.19],3.750e-10,***,"Diseases of oesophagus, stomach and duodenum",Digestive
K11_OTHENTERCOL,751,0.137 [0.131-0.14],1.000e-315,***,Other noninfective gastroenteritis and colitis,Digestive
G6_NERPLEX,2804,0.135 [0.127-0.14],1.924e-221,***,"Nerve, nerve root and plexus disorders",Nervous
K11_FUNCDYSP,169,0.128 [0.114-0.14],8.418e-70,***,Functional dyspepsia,Digestive
JOINTPAIN,1595,0.128 [0.118-0.14],1.425e-151,***,Pain in joint,Musculoskeletal
M13_MUSCLE,168,0.125 [0.118-0.13],1.000e-315,***,Disorders of muscles,Musculoskeletal
K11_CHRONGASTR,210,0.119 [0.110-0.13],6.012e-137,***,Chronic gastritis,Digestive
O15_ABORT_MEDICAL,68,0.119 [0.085-0.15],3.173e-06,***,Medical abortion,Pregnancy
D3_AGRANULOCYTOSIS,347,0.119 [0.115-0.12],1.000e-315,***,Agranulocytosis,Blood and immune
AB1_GASTROENTERITIS_NOS,923,0.110 [0.097-0.12],1.258e-53,***,Diarrhoea and gastroenteritis of presumed infectious origin,Infectious and parasitic
H7_LACRIMALSYSTEM,110,0.109 [0.077-0.14],4.139e-06,***,Disorders of lacrimal system,Eye and adnexa
H7_LIDLACRIMALORBIT,197,0.100 [0.075-0.13],1.783e-09,***,"Disorders of eyelid, lacrimal system and orbit",Eye and adnexa
CD2_BENIGN_PAROTID,171,0.089 [0.082-0.09],5.826e-166,***,Benign neoplasm: Parotid gland,Neoplasms
K11_OTHINFLIV,466,0.086 [0.084-0.09],1.000e-315,***,Other inflammatory liver diseases,Digestive
L12_DERMATITISNAS,2477,0.084 [0.078-0.09],1.786e-156,***,Dermatitis,Skin
C3_BILIARY_GALLBLADDER,192,0.084 [0.058-0.11],4.378e-05,***,"Malignant neoplasm of intrahepatic ducts, biliary tract and gallbladder",Neoplasms
H7_VITRBODYGLOBE,276,0.082 [0.072-0.09],3.720e-50,***,Disorders of vitreous body,Eye and adnexa
M13_OSTEOCHONDRO,166,0.075 [0.058-0.09],7.503e-13,***,Osteopathies and chondropathies,Musculoskeletal
E4_LIPOPROTNAS,242,0.071 [0.054-0.09],7.433e-11,***,"Disorder of lipoprotein metabolism, unspecified",Endocrine and metabolic
N14_CHRONKIDNEYDIS,1777,0.071 [0.066-0.08],2.464e-176,***,Chronic kidney disease,Genitourinary
AB1_SEXUAL_TRANSMISSION,7171,0.071 [0.069-0.07],1.000e-315,***,Infections with a predominantly sexual mode of transmission,Infectious and parasitic
I9_ATHSCLE,3616,0.070 [0.067-0.07],1.000e-315,***,"Atherosclerosis, excluding cerebral and coronary sclerosis",Circulatory
CD2_BENIGN_EAR_RESP,224,0.069 [0.061-0.08],3.375e-59,***,Benign neoplasm of middle ear and respiratory system,Neoplasms
NAFLD,505,0.068 [0.053-0.08],3.464e-13,***,Nonalcoholic fatty liver disease,Digestive
L12_OTHERSKINSUBCUTIS,3364,0.066 [0.061-0.07],1.598e-113,***,Other disorders of skin and subcutaneous tissue,Skin
AUD,259,0.066 [0.058-0.07],1.223e-54,***,"Alcohol use disorder, ICD-based",Mental and behavioural
