Code,N_snp,Beta(95%CI),P(Bonferroni),P-star,LONGNAME,Chapter_name
N14_RENALTUB,449,0.528 [0.512-0.54],1.000e-315,***,Renal tubulo-interstitial diseases,Genitourinary
E4_LIPOPROTNAS,242,0.359 [0.307-0.41],2.614e-37,***,"Disorder of lipoprotein metabolism, unspecified",Endocrine and metabolic
M13_SOFTTISSUE,1904,0.322 [0.300-0.34],9.822e-180,***,Soft tissue disorders,Musculoskeletal
K11_OESSTODUO,43,0.315 [0.251-0.38],1.575e-16,***,"Diseases of oesophagus, stomach and duodenum",Digestive
K11_CHRONGASTR,210,0.291 [0.281-0.30],1.000e-315,***,Chronic gastritis,Digestive
K11_FUNCDYSP,169,0.261 [0.251-0.27],1.000e-315,***,Functional dyspepsia,Digestive
JOINTPAIN,1595,0.224 [0.208-0.24],2.078e-163,***,Pain in joint,Musculoskeletal
E4_HYPERLIPNAS,1251,0.221 [0.191-0.25],4.250e-43,***,"Hyperlipidaemia, other/unspecified",Endocrine and metabolic
L12_DERMATITISNAS,2477,0.221 [0.212-0.23],1.000e-315,***,Dermatitis,Skin
M13_LOWBACKPAIN,1988,0.205 [0.195-0.22],1.000e-315,***,Low back pain,Musculoskeletal
M13_MUSCLE,168,0.205 [0.200-0.21],1.000e-315,***,Disorders of muscles,Musculoskeletal
K11_OTHENTERCOL,751,0.200 [0.190-0.21],1.000e-315,***,Other noninfective gastroenteritis and colitis,Digestive
G6_MIGRAINE_WITH_AURA,143,0.193 [0.183-0.20],1.212e-272,***,Migraine with aura,Nervous
D3_AGRANULOCYTOSIS,347,0.179 [0.174-0.18],1.000e-315,***,Agranulocytosis,Blood and immune
G6_NERPLEX,2804,0.168 [0.156-0.18],4.969e-158,***,"Nerve, nerve root and plexus disorders",Nervous
E4_FH,518,0.163 [0.124-0.20],1.100e-10,***,Familial hypercholesterolemia,Endocrine and metabolic
M13_DORSALGIANAS,1009,0.158 [0.148-0.17],8.756e-175,***,Other/unspecified dorsalgia,Musculoskeletal
CD2_BENIGN_COLON_NOS,212,0.153 [0.106-0.20],3.249e-05,***,"Benign neoplasm: Colon, unspecified",Neoplasms
O15_PRETERM,17,0.151 [0.126-0.18],7.237e-27,***,Preterm labour and delivery,Pregnancy
E4_METABOLIA,4834,0.149 [0.127-0.17],3.470e-35,***,Metabolic disorders,Endocrine and metabolic
PD_DEMENTIA,12,0.135 [0.088-0.18],0.005,**,Dementia due to Parkinson's disease,Mental and behavioural
M13_DORSOPATHYOTH,5393,0.135 [0.127-0.14],4.257e-235,***,"Other dorsopathies, not elsewhere classified",Musculoskeletal
H7_LACRIMALSYSTEM,110,0.130 [0.085-0.18],0.003,**,Disorders of lacrimal system,Eye and adnexa
L12_OTHERSKINSUBCUTIS,3364,0.128 [0.119-0.14],4.740e-165,***,Other disorders of skin and subcutaneous tissue,Skin
L12_OTHERCONTACT,39,0.128 [0.093-0.16],1.383e-07,***,Other contact dermatitis,Skin
K11_OTHINFLIV,466,0.126 [0.124-0.13],1.000e-315,***,Other inflammatory liver diseases,Digestive
CD2_BENIGN_PAROTID,171,0.126 [0.117-0.14],5.422e-146,***,Benign neoplasm: Parotid gland,Neoplasms
AB1_SEXUAL_TRANSMISSION,7171,0.121 [0.119-0.12],1.000e-315,***,Infections with a predominantly sexual mode of transmission,Infectious and parasitic
K11_OTHDISDIG,25,0.119 [0.094-0.14],2.107e-15,***,Other diseases of the digestive system,Digestive
I9_POSTAMI,149,0.118 [0.084-0.15],4.359e-06,***,Status post-ami,Circulatory
AB1_GASTROENTERITIS_NOS,923,0.118 [0.096-0.14],1.700e-21,***,Diarrhoea and gastroenteritis of presumed infectious origin,Infectious and parasitic
I9_ATHSCLE,3616,0.117 [0.111-0.12],1.333e-291,***,"Atherosclerosis, excluding cerebral and coronary sclerosis",Circulatory
L12_URTICA_NAS,213,0.113 [0.094-0.13],2.529e-26,***,Other and unspecified urticaria,Skin
CD2_BENIGN_EAR_RESP,224,0.111 [0.098-0.12],3.301e-62,***,Benign neoplasm of middle ear and respiratory system,Neoplasms
N14_EROSECTROPUT,31,0.106 [0.092-0.12],1.575e-49,***,Erosion and ectropion of cervix uteri,Genitourinary
M13_OTHERJOINT,3314,0.106 [0.096-0.11],3.980e-110,***,Other joint disorders,Musculoskeletal
M13_SPONDYLOSIS,854,0.103 [0.088-0.12],3.200e-35,***,Spondylosis,Musculoskeletal
K11_CHOLANGI,1455,0.100 [0.098-0.10],1.000e-315,***,"Cholangitis (primary sclerosing, PSC)",Digestive
M13_THORACISPINEPAIN,151,0.097 [0.088-0.11],9.062e-101,***,Pain in thoracic spine,Musculoskeletal
I9_OTHPER,110,0.095 [0.078-0.11],2.076e-21,***,Other peripheral vascular diseases,Circulatory
E4_ENDOMETPOSTOP,4212,0.094 [0.092-0.10],1.000e-315,***,"Postprocedural endocrine and metabolic disorders, not elsewhere classified",Endocrine and metabolic
M13_INTERVERTEB,3685,0.093 [0.085-0.10],4.769e-120,***,Other intervertebral disc disorders,Musculoskeletal
