Code,N_snp,Beta(95%CI),P(Bonferroni),P-star,LONGNAME,Chapter_name
N14_RENALTUB,449,0.262 [0.252-0.27],1.000e-315,***,Renal tubulo-interstitial diseases,Genitourinary
M13_LIMBPAIN,197,0.184 [0.126-0.24],9.927e-05,***,Pain in limb,Musculoskeletal
N14_URETHRAOTH,610,0.178 [0.164-0.19],3.959e-129,***,Other disorders of urethra and urinary system,Genitourinary
M13_SOFTTISSUE,1904,0.162 [0.150-0.17],5.183e-141,***,Soft tissue disorders,Musculoskeletal
H7_LIDLACRIMALORBIT,197,0.140 [0.116-0.17],2.241e-23,***,"Disorders of eyelid, lacrimal system and orbit",Eye and adnexa
K11_FUNCDYSP,169,0.133 [0.125-0.14],8.908e-239,***,Functional dyspepsia,Digestive
F5_ANXIETY,71,0.128 [0.101-0.15],3.376e-15,***,Other anxiety disorders,Mental and behavioural
O15_ABORT_MEDICAL,68,0.115 [0.083-0.15],3.346e-07,***,Medical abortion,Pregnancy
K11_OTHENTERCOL,751,0.106 [0.100-0.11],3.254e-284,***,Other noninfective gastroenteritis and colitis,Digestive
N14_URINOTH,1485,0.103 [0.091-0.11],2.822e-68,***,Other diseases of urinary system,Genitourinary
N14_PYELONEPHR,67,0.101 [0.082-0.12],1.453e-19,***,Acute tubulo-interstitial nephritis,Genitourinary
F5_ALCOHOL_DEPENDENCE,95,0.092 [0.072-0.11],1.051e-13,***,Alcohol dependence,Mental and behavioural
N14_POSTMENBLEED,14,0.088 [0.059-0.12],0.001,**,Postmenopausal bleeding,Genitourinary
PHLEBI_THROMBOP_LOWER_EXTREMITI_UNSPE,25,0.087 [0.073-0.10],2.652e-31,***,"Phlebitis and thrombophlebitis of lower extremities, unspecified, drug-induced",Ear and mastoid
D3_AGRANULOCYTOSIS,347,0.084 [0.081-0.09],1.000e-315,***,Agranulocytosis,Blood and immune
M13_MUSCLE,168,0.082 [0.077-0.09],5.606e-231,***,Disorders of muscles,Musculoskeletal
H7_LACRIMALSYSTEM,110,0.076 [0.052-0.10],1.410e-04,***,Disorders of lacrimal system,Eye and adnexa
M13_INTERVERTEB,3685,0.074 [0.070-0.08],2.053e-221,***,Other intervertebral disc disorders,Musculoskeletal
CD2_BENIGN_PAROTID,171,0.074 [0.069-0.08],2.400e-269,***,Benign neoplasm: Parotid gland,Neoplasms
JOINTPAIN,1595,0.072 [0.063-0.08],4.751e-53,***,Pain in joint,Musculoskeletal
CD2_BENIGN_EAR_RESP,224,0.067 [0.061-0.07],1.232e-86,***,Benign neoplasm of middle ear and respiratory system,Neoplasms
J10_ACUTEUPPERINFEC,241,0.066 [0.052-0.08],4.449e-15,***,Acute upper respiratory infections of multiple and unspecified sites,Respiratory
O15_PUERP_INFECT_OTHER,10,0.065 [0.046-0.08],3.463e-06,***,Other puerperal infections,Pregnancy
O15_LABOUR_FETAL_STRESS,65,0.063 [0.049-0.08],2.200e-12,***,Labour and delivery complicated by fetal stress [distress],Pregnancy
K11_FISTULA,485,0.062 [0.057-0.07],3.736e-151,***,Colonic or urogenital fistula,Digestive
M13_ENTESOPATHYOTH,48,0.060 [0.040-0.08],0.001,**,Other enthesopathies,Musculoskeletal
AB1_BACTINF_NOS,96,0.059 [0.048-0.07],3.178e-21,***,"Bacterial infection, other or unspecified",Infectious and parasitic
K11_OTHINFLIV,466,0.059 [0.057-0.06],1.000e-315,***,Other inflammatory liver diseases,Digestive
K11_CHOLANGI,1455,0.058 [0.057-0.06],1.000e-315,***,"Cholangitis (primary sclerosing, PSC)",Digestive
L12_LICHENSIMPLEX,206,0.057 [0.054-0.06],3.703e-255,***,Lichen simplex chronicus,Skin
M13_MYALGIA,253,0.054 [0.046-0.06],3.156e-30,***,Myalgia,Musculoskeletal
AB1_SEXUAL_TRANSMISSION,7171,0.054 [0.052-0.06],1.000e-315,***,Infections with a predominantly sexual mode of transmission,Infectious and parasitic
E4_ENDOMETPOSTOP,4212,0.052 [0.051-0.05],1.000e-315,***,"Postprocedural endocrine and metabolic disorders, not elsewhere classified",Endocrine and metabolic
I9_OTHPER,110,0.052 [0.041-0.06],1.266e-14,***,Other peripheral vascular diseases,Circulatory
G6_NERPLEX,2804,0.049 [0.040-0.06],2.533e-20,***,"Nerve, nerve root and plexus disorders",Nervous
AUD,259,0.049 [0.037-0.06],3.954e-10,***,"Alcohol use disorder, ICD-based",Mental and behavioural
L12_DERMATITISNAS,2477,0.048 [0.043-0.05],2.107e-71,***,Dermatitis,Skin
L12_DERMATITISECZEMA,8563,0.042 [0.039-0.05],5.713e-130,***,Dermatitis and eczema,Skin
L12_GRANULOMATOUSSKIN,404,0.042 [0.040-0.04],1.000e-315,***,Granulomatous disorders of skin and subcutaneous tissue,Skin
E4_ADDISON,668,0.040 [0.038-0.04],1.000e-315,***,Adrenocortical insufficiency,Endocrine and metabolic
L12_OTHERCONTACT,39,0.040 [0.029-0.05],2.912e-07,***,Other contact dermatitis,Skin
AB1_OTHER_BACTERIAL,478,0.039 [0.030-0.05],9.701e-11,***,Other bacterial diseases,Infectious and parasitic
M13_MYOSITIS,988,0.037 [0.036-0.04],1.000e-315,***,Myositis,Musculoskeletal
M13_MCTD,5075,0.035 [0.035-0.04],1.000e-315,***,Mixed connective tissue disease,Musculoskeletal
CD2_NONFOLLICULAR_LYMPHOMA,1094,0.035 [0.033-0.04],1.435e-151,***,Non-follicular lymphoma,Neoplasms
NEURODEGOTH,4178,0.035 [0.032-0.04],4.455e-203,***,Other degenerative diseases of the nervous system,Nervous
O15_DELIV_PERIN_LACER,75,0.035 [0.022-0.05],0.040,*,Perineal laceration during delivery,Pregnancy
N14_FEMALE_GENITAL_LSIL,2422,0.034 [0.032-0.04],1.000e-218,***,"LSIL lesion of the cervix uteri, vagina or vulva",Genitourinary
D3_ITP,120,0.034 [0.029-0.04],1.595e-31,***,Idiopathic thrombocytopenic purpura,Blood and immune
G6_TRINEU,93,0.034 [0.028-0.04],2.204e-21,***,Trigeminal neuralgia,Nervous
M13_CONNECTNAS,4565,0.033 [0.033-0.03],1.000e-315,***,Other specified/unspecified systemic involvement of connective tissue,Musculoskeletal
G6_PARKINSON,2693,0.033 [0.032-0.03],1.000e-315,***,Parkinson's disease,Nervous
N14_NEPHROTICSYND,824,0.032 [0.030-0.03],4.286e-263,***,Nephrotic syndrome,Genitourinary
